"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"P12385",-22.8607964272,-21.6348698656,NA,-22.5334188228,-22.9017391372,NA,9,9,9,4,6,6,0.305335214072353,0.737623762376238,0.469745833600001
"P12429",NA,NA,NA,-22.8080937709,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P12611",-23.1609239748,-22.8730461129,-22.8788341945,-23.3753337227,-23.1611843055,NA,1,2,2,2,3,1,0.391893295718553,0.795876288659794,0.297324253366668
"P12612",-21.7461580786,-22.2479287727,-23.2073703087,NA,NA,-22.7274149437,9,5,12,5,7,6,NA,NA,NA
"P12688",-21.7610987189,-22.2157934203,-21.9983104283,-23.9323394752,-23.3740010463,-23.5780019868,9,8,11,4,4,3,0.00227348157982078,0.0416666666666667,1.63637998026666
"P12695",-20.8377274301,-20.4542280814,-21.0064831695,-21.045001646,-21.6222857446,-22.1800642261,11,10,6,5,7,5,0.063384002655161,0.411167512690355,0.849637645233333
"P12709",-18.3279581217,-18.3782780457,-18.3405333392,-19.0370568319,-18.9055965987,-18.9941409103,48,48,51,31,34,28,0.091336043810156,0.481335952848723,0.6300082781
"P12754",NA,-23.9543556902,NA,NA,NA,NA,1,1,3,NA,1,NA,NA,NA,NA
"P12758",NA,NA,NA,-21.7395160245,-21.8725464463,-21.1716160437,NA,1,NA,2,4,3,NA,NA,NA
"P12814",-20.9186745263,-20.3654116591,-20.4749916713,-20.6138702316,-19.9038888899,-20.3054952123,46,47,54,49,56,59,0.399405575838035,0.796742671009772,-0.311941174299999
"P12829",-19.9145707017,-18.9048288345,-19.1031321365,-18.9433839289,-18.4461298661,-19.6231777569,11,13,12,15,16,11,0.451812811151676,0.808277541083384,-0.303280040266667
"P12945",-22.7471833826,-22.7960448353,-22.790271811,-23.8691354126,NA,-22.9729476023,8,9,7,4,3,3,0.131491536674411,0.525602409638554,0.643208164483333
"P12955",-22.3975857235,-22.6179593418,-22.7381414281,NA,NA,NA,2,1,1,1,1,2,NA,NA,NA
"P12956",-18.7892740527,-19.2266556494,-18.657719449,-18.968074038,-18.8760532205,-18.5769679764,31,37,41,42,40,49,0.789742781281115,0.928516228748068,-0.0841846387333334
"P12962",-21.4016907427,-21.3362096907,-21.6448589148,-21.6230330379,-21.5195233255,-21.7850821187,1,1,1,1,1,1,0.577923332227016,0.867326732673267,0.181626377966666
"P13010",-19.9044602808,-19.6451855525,-19.6158386261,-19.7108851596,-19.6271740756,-19.4097194158,32,32,32,30,30,33,0.66308430136077,0.909750566893424,-0.139235269466667
"P13024",NA,NA,NA,NA,NA,-23.1378312202,NA,NA,NA,NA,NA,2,NA,NA,NA
"P13029",NA,NA,NA,NA,-23.5821922046,-21.3388383625,1,1,NA,5,6,9,NA,NA,NA
"P13073",-19.9062053279,-20.0659176946,-20.2812085682,-19.6246882156,-20.4085586307,-20.6896405102,10,5,8,8,9,10,0.661893627613674,0.908677873693776,0.156518588600001
"P13164",NA,NA,NA,NA,NA,-21.2266180509,NA,NA,NA,NA,NA,1,NA,NA,NA
"P13188",-22.7873184429,-22.3217747166,-21.0976909313,-23.204025335,-24.2913584801,-23.2822747537,11,18,21,7,12,11,0.0101432127447727,0.150793650793651,1.523624826
"P13298",-21.5974410764,-20.7129382518,-20.7634461002,-21.7161511175,NA,-21.9866539221,3,3,5,4,3,4,0.0718398606040491,0.423963133640553,0.826794043666666
"P13473",NA,-23.1411046429,-22.1024772071,-23.2760072886,-22.9437791998,-22.1348901095,3,3,5,6,5,4,0.685407567208762,0.913254073095553,0.163101274300001
"P13489",-19.2513842268,-19.5242763305,-19.9572066257,-18.9279783269,-19.0191424326,-19.3426755734,14,16,11,19,20,18,0.218422336541653,0.659849300322928,-0.4810236167
"P13517",-20.6959247703,-21.3603824389,-22.3891973501,-21.6209827393,NA,-21.494498494,6,5,4,4,2,2,0.839691171589778,0.93941660433807,0.0759057635500007
"P13586",-23.8585226356,-22.8458378248,-24.0136404165,NA,NA,-24.3627934523,6,7,5,3,2,2,NA,NA,NA
"P13598",-22.2891513132,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA
"P13639",-17.8317311734,-17.7437273105,-17.6389987679,-17.7211910626,-17.5609033264,-17.5093777409,129,128,152,150,155,170,0.651388483239296,0.90399632521819,-0.140995040633332
"P13663",-19.694094424,-20.2085253769,-19.9954113727,-21.0191062161,-20.2951405176,-20.6252315625,16,12,17,8,10,10,0.103215565881182,0.504378283712785,0.6804823742
"P13667",-19.2182269107,-20.1017675038,-19.580635229,-19.2328510652,-19.800503673,-19.5391449852,28,26,30,34,29,34,0.747160471291072,0.928516228748068,-0.109376640033336
"P13674",-21.6906936891,-22.1406453097,-22.1622534827,-21.6724391738,-21.9999387972,-23.2690915385,5,5,5,4,2,3,0.445080650514437,0.808277541083384,0.315959009333334
"P13693",-19.367965016,-19.1165222167,-19.2932304999,-19.3845170005,-19.1188910293,-18.6815744862,15,15,13,15,17,16,0.567471291072021,0.867326732673267,-0.197578405533335
"P13796",-19.7229560337,-20.3116124731,-19.8622986897,-19.5675488796,-19.2300760918,-19.5516018186,32,33,35,39,36,35,0.185187188848324,0.612590799031477,-0.515880135499998
"P13798",-21.5823719919,-21.0100306715,-22.6382143178,-21.2694342836,-22.0048220566,-21.3300786882,7,10,7,10,6,7,0.601397776302688,0.880975609756098,-0.208760650933336
"P13804",-18.7095952928,-19.6300848531,-19.1678080405,-19.1494285508,-19.8646576268,-18.8091376185,17,16,17,19,17,17,0.7657731496847,0.928516228748068,0.105245203233334
"P13807",NA,NA,NA,-22.625464407,-23.4230351903,-23.6041943919,2,2,1,5,1,1,NA,NA,NA
"P13861",-22.0643233858,-21.7225638566,-21.4015181088,-21.7898790562,-21.7466077669,-22.6655067098,6,7,4,10,5,7,0.385552605376701,0.795595320027529,0.337862727233329
"P13984",-22.2847054476,NA,NA,-20.7041370696,-22.2557409752,-21.4883955122,1,1,4,5,5,8,NA,NA,NA
"P13987",NA,-21.5612294266,-21.6233147548,-22.4659569735,-21.5325718454,-21.4812164777,2,2,3,4,2,4,0.544213740458015,0.85872430152873,0.234309674833334
"P13995",-22.3930080451,-22.4772077365,NA,-22.2595460395,-22.1568663381,NA,2,2,2,2,3,2,0.483271490209094,0.82983682983683,-0.226901701999999
"P14020",-20.0112190374,-20.1505700816,-20.638043475,-20.6251089628,-21.8889285195,NA,7,8,8,8,6,9,0.050281115167607,0.37719298245614,0.990407876483332
"P14065",-22.5031480912,-22.2011096064,-22.0429807426,-22.0182345851,-22.0716670683,-22.3309762166,6,8,3,3,2,3,0.732777796216396,0.928516228748068,-0.108786856733332
"P14120",-18.6007441007,-18.7779877715,-19.3428558333,-19.4822777522,-19.3873293284,-19.454102664,6,8,5,5,5,4,0.175282442748092,0.592269326683292,0.534040679700002
"P14126",-18.1515163433,-18.2295093095,-18.8545032732,-19.497536869,-18.8890421817,-19.0438345147,46,42,49,30,29,34,0.0886775638898108,0.478,0.731628213133334
"P14164",-23.7864926725,-24.2745331,-24.1888310063,NA,-24.549132173,-24.1729080482,4,2,4,1,2,3,0.442178891470295,0.808277541083384,0.277734517666669
"P14306",-21.4900159987,-20.5939491241,-20.6505447876,NA,-21.8325414384,NA,7,5,6,3,3,2,NA,NA,NA
"P14314",-21.1447998388,-20.8825807204,-21.0247378486,-21.1874227485,-21.1890745384,-20.8151158717,11,15,10,18,13,18,0.868079488881513,0.947731397459165,0.0464982502666658
"P14317",NA,NA,-22.9715510529,NA,NA,-22.8687418265,6,4,7,5,4,7,NA,NA,NA
"P14324",-20.8435970207,-20.7337952988,-20.4574367927,-20.2327544881,-21.5991804933,-20.232328472,8,6,8,7,7,9,0.955737470959177,0.968424588511925,0.00981144706666726
"P14373",-23.7711617954,NA,-23.4988329452,-22.5510490625,NA,NA,5,3,2,4,NA,3,NA,NA,NA
"P14406",-19.1957129606,NA,NA,-20.4942986478,NA,NA,2,1,NA,2,1,1,NA,NA,NA
"P14540",-15.8458003372,-15.8305051111,-15.9705775967,-16.5245476974,-16.3368643252,-16.4579801341,82,94,96,60,62,66,0.130111018918022,0.525345622119816,0.557503037233333
"P14550",-20.0298479313,-20.7291749925,-20.0529100527,-20.3577180569,-20.4228743236,-19.9749559694,10,9,12,11,11,13,0.933589943577829,0.962186318322448,-0.0187948755333345
"P14618",-18.3789640823,-17.9001195813,-17.921245161,-17.8324308924,-17.7585657014,-17.7692553847,55,53,56,54,59,72,0.419727846000664,0.802453195610071,-0.280025615366668
"P14625",-19.043688294,-19.4944835908,-19.0628460918,-19.2932546626,-19.2846831187,-19.4755616505,44,34,41,44,43,46,0.64465997344839,0.900834105653383,0.150827151733331
"P14635",NA,NA,NA,NA,NA,-22.7064227356,NA,NA,5,2,1,4,NA,NA,NA
"P14678",-18.3519422075,-18.5201700414,-18.0607900045,-18.2479676704,-17.776071378,-18.0824463549,18,17,21,23,26,21,0.435194158645868,0.808277541083384,-0.275472283366668
"P14735",-23.0541585568,-22.8360568377,-23.5825859712,-23.4127116848,-22.6881064855,NA,9,10,10,5,9,10,0.759564885496183,0.928516228748068,-0.107191370083331
"P14742",-21.9296398797,-22.4613610492,-22.0891487089,-24.0977014633,-23.5390864324,-22.8077079286,6,5,8,6,8,7,0.012286923332227,0.171428571428571,1.32144872883333
"P14743",-22.6202490856,NA,NA,-23.7112053328,NA,NA,2,1,NA,2,NA,2,NA,NA,NA
"P14747",NA,NA,-23.7742036899,NA,NA,NA,6,6,5,2,4,3,NA,NA,NA
"P14832",-19.4492446284,-19.1610271746,-19.3663766961,-19.6644851321,-19.5657715669,-20.3774766005,10,8,10,8,7,10,0.178097743113176,0.600493218249075,0.543694933466668
"P14843",-21.294955233,NA,NA,-21.921461438,-22.0165167205,NA,6,2,NA,2,3,2,NA,NA,NA
"P14854",-18.4618312685,-18.1721935785,-19.428086796,-17.5560686761,-18.5526164206,-18.0076277255,9,6,8,10,8,9,0.152206604712911,0.562758620689655,-0.648599606933335
"P14859",NA,NA,-23.880729554,NA,-23.9744564613,-23.0432749011,NA,NA,3,3,3,4,NA,NA,NA
"P14866",-19.0474304182,-18.7963272407,-18.9351395366,-18.9947131263,-18.7631903965,-18.6305552153,34,32,42,41,40,45,0.682876535014935,0.913254073095553,-0.130146152466668
"P14868",-18.5944425099,-18.7365961211,-18.5835503341,-18.8951499985,-18.8210547313,-18.4755588513,35,37,43,43,34,49,0.762324427480916,0.928516228748068,0.0923915386666643
"P14904",-22.9852515685,NA,NA,NA,NA,NA,4,4,2,1,NA,NA,NA,NA,NA
"P14906",-23.3423339425,-21.9239988997,-22.1192715219,-22.7174871829,-22.4868885419,-22.6251822602,6,9,8,6,6,4,0.694041486890143,0.915536105032823,0.147984540300001
"P14907",-21.7345984457,-22.6737700485,-23.5716864684,NA,-23.9384438285,NA,6,6,4,2,2,NA,NA,NA,NA
"P14927",-20.7996908518,-19.7605957269,-20.849251077,-20.4802111082,-18.9199517435,-19.4070282456,11,7,11,8,9,12,0.0825248921340856,0.460251046025105,-0.867448852799999
"P15019",-19.5488884424,-19.0146664468,-19.0586077316,-19.0184275665,-19.737061987,-19.4719839109,18,23,25,22,21,17,0.569990209093926,0.867326732673267,0.201770281200002
"P15104",-20.3770937713,-20.2182222314,-21.0488563068,-20.3269811541,-20.5367442935,-20.0521945743,6,4,3,6,4,8,0.507173249253236,0.841987716359576,-0.242750762533333
"P15108",-20.0743121978,-20.4611257002,-20.3236134595,-20.6925830486,-20.4405284194,-21.6208224394,65,69,72,52,48,55,0.144491536674411,0.545454545454545,0.631627516633333
"P15153",NA,-21.313161601,-21.3807685149,NA,NA,NA,3,5,4,5,4,5,NA,NA,NA
"P15170",NA,-21.7467683122,-21.7705245875,-22.1919516849,-22.1043698241,-21.6142836446,14,18,20,20,19,27,0.547351145038168,0.859749739311783,0.211555268016671
"P15180",-21.1265279749,-20.6682616489,-20.8034623319,-21.5918589707,-22.2538900736,-22.2125390876,20,19,25,14,16,17,0.0157965482907401,0.191860465116279,1.15334539206667
"P15254",NA,NA,NA,-23.4775320227,-23.9410908862,-23.0044437651,NA,NA,NA,2,4,6,NA,NA,NA
"P15274",-22.8123699502,-22.8382885809,-22.4865188314,NA,NA,-24.2135224276,11,7,5,2,2,5,NA,NA,NA
"P15288",NA,NA,NA,-21.3232789365,-21.4142554671,-21.1705017639,1,NA,NA,10,10,8,NA,NA,NA
"P15303",-21.8670502805,-21.3534616255,-21.2676212856,-21.663732051,-22.2238723313,-22.2473372447,11,17,12,10,9,9,0.173658479920345,0.591194968553459,0.548936145133336
"P15311",-20.7939279502,-21.2319688078,-23.0195504747,-20.9363745815,-20.5427902775,-20.9112739725,18,21,18,19,19,24,0.0898401924991703,0.479041916167665,-0.885002800399999
"P15367",-21.3620881883,NA,-21.4308708615,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"P15374",-19.8263383582,-19.4705211462,-19.6740990474,-20.1230589899,-19.3132466667,-19.9542556773,7,6,8,7,7,8,0.684265847992034,0.913254073095553,0.139867594033333
"P15454",-19.133572658,-18.2657013354,-21.3944352635,-19.5083021712,-19.4950593011,-19.5954916756,7,10,7,5,5,4,0.872072187188848,0.94925697716564,-0.0649520363333345
"P15531",-18.0710780777,-18.2702887904,-18.4610141417,-18.4917552474,-18.3491459626,-18.1524802014,39,36,37,29,27,39,0.830084965151012,0.935289691497366,0.0636668005333334
"P15559",-22.2440682564,-22.1084077534,-21.1042357929,-22.4630787485,-21.1126187382,-21.3468747885,6,4,5,3,5,4,0.654132923996017,0.905045871559633,-0.178046509166666
"P15565",NA,-23.8695830202,-23.0703645684,NA,NA,NA,2,2,2,NA,1,1,NA,NA,NA
"P15624",-20.1265888742,-19.9439125335,-19.8766086857,-20.7245453941,-20.7167798299,-21.5297573036,18,16,19,11,10,9,0.0306042150680385,0.280769230769231,1.0079908114
"P15625",-20.6736335349,-21.9470491373,-22.9426316629,-22.1215898483,-22.9210309223,-22.9495131229,12,6,9,5,6,6,0.115271324261533,0.50990099009901,0.809606519466669
"P15639",-22.6262413699,NA,-23.3063541221,-20.3249072185,-20.5579514547,-20.4518049523,1,NA,3,9,10,13,0.000329405907733156,0,-2.52140987083333
"P15640",NA,NA,NA,-21.13325883,-21.3009811263,-22.9041549181,NA,NA,NA,5,7,4,NA,NA,NA
"P15646",-20.3059928035,-20.6372155529,-20.3839599013,-20.926343243,-22.1120456365,-20.8708747379,11,11,11,5,7,5,0.0657208762031198,0.412621359223301,0.860698453233333
"P15703",-21.4110254041,-20.7589053091,-20.5062002325,-21.7688438511,-22.2929811091,NA,4,5,6,2,3,3,0.0239385994025888,0.265116279069767,1.13886883153333
"P15705",-19.5782638439,-19.11080946,-19.3379928579,-20.0422587453,-19.56240611,-19.7283100247,22,26,26,17,16,19,0.247894291403916,0.699608610567515,0.435302906066667
"P15873",-20.3488686873,-22.862108309,-20.3772418642,-21.6124289447,-20.8745724888,-21.9163842891,10,6,10,9,7,4,0.565943743776966,0.867111339148281,0.271722287366668
"P15880",-18.2472434308,-18.9760261479,-18.5071746497,-18.4959090988,-18.5052194319,-18.2547987694,28,26,30,29,35,34,0.641335877862595,0.898375870069606,-0.158172309433333
"P15891",-19.9745535923,-20.3583241889,-20.4628479958,-20.5279587464,-21.0445268718,-20.9666205897,15,16,16,11,14,13,0.14462495851311,0.545454545454545,0.581126810299999
"P15924",-25.9221057468,NA,-25.9212920621,NA,NA,NA,3,NA,2,NA,NA,3,NA,NA,NA
"P15927",-22.2701328972,-20.4024612058,-21.6437750044,-20.9452137843,-20.8967484076,-22.257910958,4,7,7,5,6,4,0.849509293063392,0.941916389197188,-0.0721653191666682
"P15976",-21.6826525413,-21.4058926452,-21.210721534,-21.1910847658,-21.7464305823,-21.1550087012,6,3,3,5,4,3,0.825486060404912,0.935289691497366,-0.0689142237333336
"P15992",-16.993946117,-16.8140558128,-17.5549023828,-17.5932881147,-17.5288895693,-17.9409787126,29,27,24,17,24,21,0.160420345170926,0.571805006587615,0.566750694666666
"P16083",-21.0467559157,NA,-20.6122230914,-20.4428555528,-20.2867802799,-20.9993301825,3,4,4,7,4,5,0.497283438433455,0.83427922814983,-0.253167498483332
"P16120",-19.9016429622,-20.1423539882,-19.6000773971,-19.9016627365,-19.9321586212,-19.6078216362,20,18,19,12,16,16,0.824559243279124,0.934922436625047,-0.067477117866666
"P16140",-18.6985787972,-18.4236012106,-18.7823875449,-19.2748496403,-19.1212003805,-19.3381577518,36,30,34,22,25,28,0.112471622967142,0.509337860780985,0.609880073300001
"P16150",-22.6822963509,-22.6717305787,NA,NA,-22.8104877838,NA,3,2,1,4,4,NA,NA,NA,NA
"P16152",NA,NA,-20.7275224154,-21.7707229465,-21.1571291129,-20.5136145782,2,7,9,4,7,4,NA,NA,NA
"P16157",-20.7940856715,-21.3584110514,-20.7070822632,-20.7580768309,-20.4042576054,-20.8055238458,30,32,39,36,39,38,0.413908562894125,0.796742671009772,-0.297240234666667
"P16278",-21.8997494276,-22.3674129346,-23.5065388908,-21.8073905147,-21.7243058249,-22.3426375992,4,7,6,8,5,7,0.167244938599403,0.579821200510856,-0.633122438066668
"P16370",-22.5125490252,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"P16387",-20.0208888982,-19.9504260645,-20.2369203422,-20.8240046092,-20.9676112038,-20.7315672012,18,20,12,7,7,10,0.0556531695984069,0.404432132963989,0.771649236433333
"P16451",-22.5079498512,-21.6210090114,-23.0154663325,NA,NA,-23.0177987568,4,3,4,NA,NA,2,NA,NA,NA
"P16474",-20.5945722184,-20.647770039,-21.4168601417,-20.6444858862,-21.1492779169,-21.7587508329,31,27,32,30,25,9,0.450807168934617,0.808277541083384,0.297770745633333
"P16521",-19.4006208856,-19.3088954471,-19.2130844649,-19.5794491371,-19.7736647466,-19.8085065492,57,67,63,47,48,41,0.244544142051112,0.699307616221563,0.4130065451
"P16547",-22.6921242207,-21.5984811987,-21.9341925591,-21.949407212,-22.6282236928,-21.9532378562,5,7,10,5,7,5,0.770141387321606,0.928516228748068,0.102023594166667
"P16550",-20.7397344772,-22.1867004873,NA,NA,-22.5787176735,-22.0818941882,4,6,3,5,3,4,0.102987553932957,0.504378283712785,0.867088448600001
"P16603",-20.5618754806,-20.6281183464,-21.2582221076,NA,-23.6503195679,-21.6213146385,14,16,15,6,9,8,0.00623730501161633,0.118811881188119,1.819745125
"P16615",NA,NA,-23.3778086963,-24.1406412549,NA,-22.8379579515,3,3,6,3,4,10,NA,NA,NA
"P16649",-21.4439167913,-21.2979273073,-22.6479946356,-22.5034028029,-23.6978037918,-23.7875309264,12,14,15,9,6,7,0.00957982077663458,0.150793650793651,1.5329662623
"P16659",-23.866330363,NA,NA,-20.2080788572,-20.3848959284,-20.3450104661,3,2,1,12,11,16,NA,NA,NA
"P16861",-19.379949985,-19.3121098466,-19.4775814704,-21.0105802505,-19.8190811679,-20.1811622218,35,37,36,23,28,30,0.0437291735811484,0.35423197492163,0.947060779400001
"P16862",-21.3518711645,-20.2888164316,-20.4472717699,-21.4876449807,-21.0327966444,-21.092926116,30,30,35,16,18,18,0.221463325589114,0.661375661375661,0.508469458366669
"P16930",-21.1338576226,-21.2116793308,-20.8327858999,-20.4134411515,-20.4023213189,-20.8715066443,10,16,14,10,11,11,0.195729173581148,0.633605600933489,-0.497017912866667
"P16949",-19.6760471553,-18.8859571444,-18.7432219112,-18.7510307681,-18.630775084,-19.3738422216,17,13,15,13,15,12,0.618798373713906,0.891387559808612,-0.183192712399997
"P16965",NA,-19.7773136672,-20.0199476863,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA
"P16989",-20.0520912241,-20.271619902,-20.4261969346,-20.6200915805,-20.4957583876,-20.3931063682,14,12,12,15,15,11,0.453195652173913,0.808277541083384,0.253016091866666
"P17076",-21.822594887,NA,-21.8575387299,-21.9098450229,-22.0565374189,NA,3,22,1,1,1,2,0.645563060073017,0.902405180388529,0.14312441245
"P17096",-18.1658659538,-17.5465268039,-18.6305635613,-18.1934436239,-18.1222339027,-18.7699882002,8,11,8,8,8,9,0.515986558247594,0.847766133480419,0.247569802599998
"P17106",-20.8901434298,-20.6219165706,-21.1365977646,-21.3629235589,-21.4481913129,-21.4579229751,4,5,6,4,2,2,0.156778128111517,0.566621803499327,0.540126693966666
"P17152",NA,-21.4277731068,-21.3118673822,NA,NA,-21.6499025642,2,1,1,1,1,2,NA,NA,NA
"P17169",NA,NA,NA,NA,NA,-23.285557758,NA,NA,NA,NA,2,2,NA,NA,NA
"P17174",-20.45625434,-20.7478966968,-20.5831671981,-19.838428453,-20.1214718784,-20.2061046603,10,8,15,10,11,12,0.154134749419184,0.563685636856369,-0.540437747733332
"P17255",-19.8836430874,-19.4925680573,-19.8614352972,-20.1157475974,-20.2736376778,-20.7871644222,63,58,59,35,33,30,0.114662960504481,0.50990099009901,0.646301085166666
"P17423",-20.8961131597,-21.5747879774,-22.9608022896,-22.7614238682,NA,-21.787077824,4,6,2,3,3,4,0.351296714238301,0.76860119047619,0.463683037200003
"P17442",-24.4882140148,-24.9272642812,-23.5191115118,NA,NA,NA,4,5,4,NA,NA,2,NA,NA,NA
"P17480",-21.7411908496,-21.1407457043,-21.0092392279,-21.3049479263,-21.5440897338,-21.0190506936,6,8,10,10,10,10,0.958310487885828,0.968424588511925,-0.00769580936666614
"P17483",NA,NA,NA,-22.2920801443,NA,NA,1,1,1,1,3,NA,NA,NA,NA
"P17505",-19.7557493762,-19.4482204824,-18.6863394057,-20.3109858806,-20.2417613596,-19.9098570169,14,12,13,10,10,8,0.0600862927314968,0.411167512690355,0.857431664266667
"P17535",NA,NA,NA,NA,-22.4861450578,NA,NA,NA,1,1,2,1,NA,NA,NA
"P17536",-20.7296876087,-19.4461381913,-19.466051606,-21.2637180209,-19.9090791045,-19.9974723482,11,11,15,6,6,9,0.269221539993362,0.714036617262424,0.509464022533333
"P17542",-22.5519732968,-22.7475760945,-22.8192451165,-22.7301335183,-22.7098039824,-23.0217399086,1,2,2,3,2,3,0.716541652837703,0.927234042553192,0.114294300500003
"P17555",-21.6473022017,-21.4333836407,-21.4790559171,-22.0500849956,-22.8804153537,NA,8,8,9,6,4,4,0.0412998672419515,0.349673202614379,0.945336254816667
"P17612",NA,NA,NA,-22.3671678081,NA,-22.4318017219,2,NA,2,2,2,5,NA,NA,NA
"P17649",-22.573203285,NA,NA,NA,NA,NA,6,4,4,4,3,4,NA,NA,NA
"P17655",-20.4498801027,-20.4962661291,-20.8329186942,-21.1598479642,-21.5447021056,-20.3929475028,11,13,11,12,8,12,0.279044473946233,0.714036617262424,0.439477548866666
"P17695",-19.7658635459,-19.8427075146,NA,-19.9080275128,-19.7473265311,NA,4,4,7,5,3,NA,0.918399103883173,0.957336108220604,0.0233914917000035
"P17709",-19.3135493129,-19.5762543919,-19.0489355385,-20.7820651198,-20.662255398,-20.2196666637,27,24,29,13,18,20,0.0107774643212745,0.171428571428571,1.24174931273333
"P17812",-20.7655786163,-21.4830828066,-20.7633782438,-21.1881922467,-20.1011709768,-20.7578358958,17,14,13,21,23,19,0.414785761699303,0.796742671009772,-0.321613515799999
"P17844",-18.5764650432,-18.3940864413,-18.4662126522,-18.3879214291,-18.3989190045,-18.3373802394,63,52,68,64,66,70,0.728436939926983,0.928516228748068,-0.104181154566668
"P17858",-21.6691590048,-21.9824695533,-21.375918012,-22.559604675,-21.817662047,-21.9692100896,8,6,7,7,8,5,0.263687188848324,0.714036617262424,0.439643413833334
"P17891",-19.5504600992,-19.8004905044,-18.8832066366,-21.8707049169,-20.113857816,-20.0906968203,9,11,12,4,6,7,0.0241091934948556,0.265116279069767,1.28036743766667
"P17967",-18.8096810214,-18.8636602097,-18.7276941491,-19.4239745678,-19.4324117527,-19.4227548648,30,32,32,21,20,19,0.0924322933952871,0.487378640776699,0.626035268366667
"P17980",-20.0915347683,-19.5388020644,-19.1752835987,-20.3671618184,-19.1281076514,-19.5150978291,12,21,30,17,25,28,0.842251742449386,0.939970171513796,0.0682489558333366
"P17987",-17.9373020755,-17.9562919992,-18.3452880871,-18.1346257011,-17.5191106268,-17.9475080861,51,55,58,60,64,65,0.544051111848656,0.85872430152873,-0.212545915933333
"P18031",-20.4461071724,-20.7830434761,-20.4826392531,-20.576399553,-20.58880217,-21.2858380754,8,9,8,9,11,10,0.493692333222702,0.833523375142531,0.246416632266666
"P18074",-24.2043545076,NA,NA,NA,NA,-23.6462655507,4,6,2,3,3,2,NA,NA,NA
"P18077",-20.9821015458,-20.760263067,NA,-21.2034537099,-20.9455253367,NA,9,8,10,8,9,9,0.549698141387322,0.859749739311783,0.203307216900001
"P18085",-21.0067870699,-21.9573774154,NA,-21.8096167959,-21.7701199042,-20.8301705167,13,10,11,18,12,17,0.951515765018254,0.967556606961811,-0.0121131703833335
"P18124",-19.2974538263,-20.9786531767,-18.9780157616,-19.8827122121,-19.4973476056,-19.3393379799,22,29,22,26,27,26,0.667344009293063,0.911711711711712,-0.178241655666664
"P18206",-19.8762566412,-19.9599277628,-20.1755125365,-19.9302617761,-19.8086234589,-19.4807957799,42,50,54,46,61,65,0.444669764354464,0.808277541083384,-0.264005308533335
"P18239",-21.3701690027,-20.9031243585,-20.6173902394,-22.4093535173,-22.3908525536,-21.0261156515,15,19,16,10,15,13,0.0504546963159642,0.37719298245614,0.978546040599998
"P18562",-21.220703822,-20.1381986921,-20.8870502872,NA,NA,NA,4,4,6,4,4,1,NA,NA,NA
"P18583",-22.6331042793,-22.7142354347,-22.8370885743,-22.0553169003,-23.0315271757,-23.0246179039,20,19,18,22,15,20,0.923571689346167,0.958131487889273,-0.0243221027999994
"P18615",-21.1179755153,-21.0352231531,-21.6260096893,-21.4165899554,-21.3677581869,-21.3585785738,6,7,6,5,4,6,0.710010454696316,0.922944468359879,0.121239452800001
"P18621",-18.9680556324,-18.5035435832,-19.074402151,-18.8216917619,-18.5381211531,-18.8177940826,12,15,11,13,12,11,0.708916528377033,0.921551724137931,-0.122798122999999
"P18669",-18.2896789477,-18.1820330248,-18.622309394,-18.7091675762,-18.426439977,-18.4845530201,23,21,23,21,21,23,0.595637404580153,0.875923190546529,0.1753797356
"P18754",-18.6474505218,-18.6328425011,-19.1112724058,-19.2849056023,-18.9535298383,-19.0436669339,24,24,21,27,20,25,0.401512114171922,0.796742671009772,0.296845648599998
"P18858",-21.7483772449,-20.7523103289,-20.5785914271,-20.9375751437,-21.5615901097,-21.231881249,13,13,18,16,13,18,0.568530202456024,0.867326732673267,0.217255833833335
"P18859",-18.5180119625,-18.5100245428,-20.3824975438,-18.8236997468,-18.7441525487,-18.8252132341,3,3,3,4,4,5,0.437849651510123,0.808277541083384,-0.339156173166668
"P18887",NA,NA,-24.0890185407,NA,NA,-22.8981183647,7,6,5,5,8,7,NA,NA,NA
"P19073",NA,NA,-21.9876222617,NA,NA,NA,1,4,3,NA,NA,3,NA,NA,NA
"P19097",-19.8746108484,-20.2069899137,-20.2302453743,-20.5213328132,-21.297278136,-21.2781121752,64,62,76,46,36,43,0.0408250912711583,0.348684210526316,0.928292329333331
"P19174",NA,-24.5397305834,NA,NA,-24.8304654085,-24.7728390831,6,6,NA,6,7,8,NA,NA,NA
"P19211",-20.7054207964,-21.2392891956,-21.0108084482,NA,NA,NA,1,1,1,7,9,7,NA,NA,NA
"P19262",-20.7042095909,-21.7078588534,-21.0415175582,-23.1539983989,-22.6921673068,-21.6947362025,7,5,6,2,1,3,0.0139039163624295,0.183006535947712,1.36243863523334
