"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"sp|O60942|MCE1_HUMAN",3,2,2,3,1,2,0.703802660550773,0.808898606046399,24.5588701181138,23.9710743937197,23.7322148584155,24.6147813417658,23.2738749603447,23.9003873898984
"sp|O74700|TIM9_YEAST",2,1,1,2,1,1,0.302040839635486,0.476806608481175,27.0762380426719,24.5444643784217,24.6985701186262,25.7155476732783,23.6046639169831,24.0309622454643
"sp|O75081|MTG16_HUMAN;sp|Q06455|MTG8_HUMAN",2,2,2,4,3,4,0.0145551400547737,0.0601647966765484,22.3894217649094,23.6875412954253,22.6996924711655,24.0872187308593,24.5030526887846,25.7562035381667
"sp|O75083|WDR1_HUMAN",18,18,19,19,19,19,0.0888513796915062,0.222893133507065,30.1697087983592,30.1917741804484,30.0925203051421,30.3854250600818,30.3175134237429,30.3986328374095
"sp|O75116|ROCK2_HUMAN",7,6,6,8,6,5,0.0828567539080055,0.213533953498045,25.322093380546,24.9519181535721,25.3764192308975,25.6844706825693,25.5547870109327,25.4282984830398
"sp|O75122|CLAP2_HUMAN",7,6,6,7,5,8,0.211048228172163,0.384947878434329,25.0868155569102,24.7853629522975,25.0639296209718,24.9744222222811,25.1995803306565,25.622224908666
"sp|O75127|PTCD1_HUMAN",1,2,1,1,2,2,0.0244282063574703,0.0895106539521904,22.5174004343895,23.1602157373414,22.1796111535743,23.121875232282,23.8611424189366,23.9646432572898
"sp|O75131|CPNE3_HUMAN;sp|Q96FN4|CPNE2_HUMAN;sp|Q8IYJ1|CPNE9_HUMAN;sp|Q96A23|CPNE4_HUMAN;sp|O95741|CPNE6_HUMAN;sp|Q86YQ8|CPNE8_HUMAN;sp|Q9HCH3|CPNE5_HUMAN;sp|Q9UBL6|CPNE7_HUMAN",7,7,6,7,7,7,0.501679501759669,0.653687150377612,26.7935257189272,26.7892089667774,26.8467475419707,26.882376696293,26.8096777039434,26.9713224129274
"sp|O75150|BRE1B_HUMAN",6,7,6,5,5,7,0.815526176914482,0.884857653049863,25.4419272141235,26.0095614840883,25.5846737418225,24.865123110535,25.6798374293704,26.219548009294
"sp|O75152|ZC11A_HUMAN;sp|A0A1B0GTU1|ZC11B_HUMAN",8,7,9,9,9,10,0.013175623493537,0.0556171192088295,26.310794654465,26.1718658301871,26.4644717429192,26.6698359193612,26.8652433487146,26.8073071500097
"sp|O75153|CLU_HUMAN",16,17,16,19,18,18,0.151213666242504,0.314122382861876,27.8091271121036,27.6607002236803,27.570890890693,27.9712766628504,27.8321472658436,27.8414308128795
"sp|O75155|CAND2_HUMAN",2,2,1,2,2,1,0.189713865073625,0.36119984930579,26.8611322181656,26.0890521916758,25.7391625965765,25.8418388862778,25.7397124666308,20.8045093411828
"sp|O75157|T22D2_HUMAN",2,2,2,2,2,2,0.623065648480494,0.747678778176593,23.6707521275035,23.4867820878595,23.6214238010816,23.5785655624749,23.621798263765,23.7653840381442
"sp|O75175|CNOT3_HUMAN",0,2,0,0,2,1,0.761163956066668,0.850801274989908,NA,24.4126143698427,NA,NA,25.0231776718719,24.1419136323639
"sp|O75179|ANR17_HUMAN",8,10,10,13,10,10,0.0212115508663113,0.080600325327161,25.0364436660991,25.4068642378536,25.9297702448471,26.2513517174352,26.1570648113108,26.2129406902824
"sp|O75190|DNJB6_HUMAN;sp|Q8WWF6|DNJB3_HUMAN",4,4,4,5,5,5,0.0287034102152025,0.101711378315518,25.4007773928411,25.2178824347966,25.0784862581712,25.9850510204933,25.8293842278692,25.4594835317109
"sp|O75223|GGCT_HUMAN",6,5,5,5,5,5,0.924280312988964,0.951229716192287,27.5179727215523,27.5381835557681,27.4621772237056,27.297312907613,27.6159230343978,27.6462281831433
"sp|O75251|NDUS7_HUMAN",2,2,2,2,2,2,0.818190543256332,0.886685766423024,25.4113037618442,25.2657958644501,25.1492749953984,25.7600024317322,25.0066656035684,25.2192849981469
"sp|O75306|NDUS2_HUMAN",4,3,4,4,4,4,0.852823248380007,0.908525214850476,26.4936039469771,26.6190559613772,26.5667473136437,26.1328649642274,26.8581702802731,26.8176524272797
"sp|O75312|ZPR1_HUMAN",10,10,9,10,9,9,0.957821116720666,0.973136603451858,27.231660229553,27.3269515801689,27.1468605516789,27.2356436952215,27.1997339454249,27.251846754418
"sp|O75330|HMMR_HUMAN",6,7,7,7,6,4,0.398353433675221,0.564174870994591,25.9703277271169,26.0859811044217,25.9480819863397,26.1313657061379,25.9309872468217,25.3049973363914
"sp|O75340|PDCD6_HUMAN",3,4,4,3,4,4,0.625585886252667,0.749843794456636,27.6313263040731,27.5769819015083,27.7392059148981,27.5734889379612,27.7345718584471,27.8325741111494
"sp|O75347|TBCA_HUMAN",6,6,5,5,6,5,0.737853177522779,0.834444597043346,29.6827799629599,29.8135973209989,29.5291132181647,29.2929761838251,29.8873983026547,29.6468313267527
"sp|O75348|VATG1_HUMAN;sp|O95670|VATG2_HUMAN",2,2,2,2,2,2,0.984617052995532,0.990316083133084,25.8141146466915,26.3283255544442,26.6077757225117,26.5219060165601,25.5498374412174,26.656560810428
"sp|O75351|VPS4B_HUMAN",0,1,2,1,2,2,0.606848110737819,0.735050875151063,NA,22.8213142693203,24.414296652108,22.6330291521122,25.0354757578504,24.6833513355681
"sp|O75367|H2AY_HUMAN;sp|Q9P0M6|H2AW_HUMAN",11,10,11,9,10,9,0.621565211971493,0.746274681819613,28.8559546349175,28.6212272419489,28.7272168033984,28.8864560610475,28.9297044808623,28.610506442576
"sp|O75368|SH3L1_HUMAN",4,5,5,4,5,5,0.1286426692494,0.285605690254933,27.3389833022895,27.3596144599165,27.4121789940151,27.4007800829382,27.7643284751203,27.6720184051682
"sp|O75369|FLNB_HUMAN",42,42,43,40,38,38,0.214394680136099,0.389010106367427,29.5097541609149,29.4843322964765,29.4491276318504,29.669859391366,29.5853009437677,29.6213294118706
"sp|O75376|NCOR1_HUMAN",2,2,1,2,1,2,0.0231026302410658,0.0853456119616806,21.9264972837326,22.2533002537346,22.1517114416319,22.663122925606,22.5755473357731,23.3841508650972
"sp|O75380|NDUS6_HUMAN",2,3,1,3,2,2,0.388196486294943,0.556078543145388,24.7365065729873,24.8864296654503,23.8796402474232,25.3570175111712,21.5026258348812,23.9105880862575
"sp|O75381|PEX14_HUMAN",6,7,5,6,6,7,0.243088017115714,0.417117987591643,26.1475577526726,26.4933824060828,25.9638305626132,26.5087387399677,26.2744168176434,26.5081506237583
"sp|O75390|CISY_HUMAN",11,11,11,10,8,11,0.519403888339699,0.6683417079546,29.4911382047238,29.5152273573905,29.4687396633318,29.5991883742095,29.4691271619785,29.6314459729293
"sp|O75396|SC22B_HUMAN",4,5,5,6,5,6,0.285712265153191,0.460269362886562,25.0566070180356,25.9949000486918,25.9564901949867,26.0102105221946,25.7825077214557,26.2659219396297
"sp|O75400|PR40A_HUMAN;sp|Q6NWY9|PR40B_HUMAN",13,12,14,12,13,13,0.309319012993529,0.483475639813181,28.7466279245936,28.8747330198082,28.7600634834874,29.1960705482156,28.8444456896134,28.8278952978113
"sp|O75410|TACC1_HUMAN",1,1,1,1,0,1,0.15272414181571,0.315504194203647,22.9649811549409,23.2716746875149,23.5153399404598,NA,NA,23.7702756724609
"sp|O75419|CDC45_HUMAN",2,5,4,3,5,4,0.130998240765735,0.288604739380502,25.1210757573763,25.5229222322015,25.7416296673744,25.8015008498456,25.9183213478731,25.6729918317851
"sp|O75431|MTX2_HUMAN",3,3,2,2,3,3,0.0433697710553189,0.137120101908979,25.3856638901047,25.3342202491181,25.2368643970876,25.6617702760273,25.528400579816,26.0177344290284
"sp|O75436|VP26A_HUMAN",7,8,8,8,7,7,0.0576937009540282,0.168493950168261,27.2123215649911,27.1046207448273,27.3475144320291,27.4747476654904,27.4802355084729,27.5437360229239
"sp|O75439|MPPB_HUMAN",6,9,8,8,6,8,0.557698157778478,0.69758590167308,27.0198719140912,27.349754797141,27.5499294911528,27.235749406527,27.2839079250346,27.8213540201786
"sp|O75459|PAGE1_HUMAN",4,4,4,3,4,4,0.682577676962438,0.795636208595535,27.3383084023349,26.9914910719747,26.9689743936048,26.983666898853,27.3157427800059,27.2100139725461
"sp|O75475|PSIP1_HUMAN",5,8,6,5,7,6,0.924103965292987,0.951229716192287,26.1510976247797,27.2481235620901,26.9197526793318,26.2834097091132,27.0717772327147,27.0718572981361
"sp|O75489|NDUS3_HUMAN",5,4,5,5,5,6,0.0926344371900785,0.22932733546563,26.9994043756803,26.679691759116,26.7657096296762,26.8861530339773,27.2749793002842,27.3245609380584
"sp|O75494|SRS10_HUMAN;sp|Q8WXF0|SRS12_HUMAN",4,3,4,4,3,3,0.648777414770924,0.767122836936675,27.9620275662129,27.5482983980697,28.0687378463675,28.0556140187917,27.5618894712809,27.6619898278299
"sp|O75496|GEMI_HUMAN",4,2,4,4,4,4,0.175604802696574,0.343307009339301,25.4761275030252,24.4678172096935,25.5333380421139,25.7570888763006,25.4048222011636,25.8097082814926
"sp|O75506|HSBP1_HUMAN",3,3,3,2,2,3,0.275902091821774,0.450682224238468,25.6946932845034,25.7871045977262,25.489151561271,25.9746755978312,25.5562959986805,26.1146826483948
"sp|O75521|ECI2_HUMAN",7,6,5,7,5,5,0.928217706243887,0.953978070247926,27.6301451547773,27.374707805302,27.352620067387,27.7809877752748,27.2369920098997,27.2855668064425
"sp|O75530|EED_HUMAN",4,4,4,4,4,4,0.243016824520412,0.417117987591643,25.7137010048794,25.4392223178373,25.3253375189173,25.7295180587046,25.7564283314565,25.5670730200188
"sp|O75531|BAF_HUMAN",2,2,2,2,2,2,0.353512776524022,0.526250650522415,28.3882559326123,27.8320709876452,28.0706325600028,28.5288072630337,28.1304550948488,28.2223592313189
"sp|O75533|SF3B1_HUMAN",29,29,29,28,29,31,0.369540899243368,0.541370227879875,30.4258846942236,30.1895404344255,30.4298157628683,30.2655140081742,30.5476494117529,30.699698568707
"sp|O75534|CSDE1_HUMAN",23,20,24,24,18,21,0.656270596889717,0.773957336660856,29.5524664613853,29.6604363133681,29.8309051138783,29.7113878164473,29.6982207380446,29.8093180782242
"sp|O75569|PRKRA_HUMAN",4,3,4,3,3,4,0.449832322237109,0.608850339085457,26.2806999650732,26.265610800734,26.1964345270939,26.1346121317482,26.4084534898928,26.5511391313085
"sp|O75607|NPM3_HUMAN",4,3,4,3,4,4,0.869642871537299,0.917127955362358,28.4214534951034,27.9707338632793,27.9814338906052,27.9567924840366,28.1846235882202,28.1448985802668
"sp|O75608|LYPA1_HUMAN",2,3,4,3,3,4,0.547863807042722,0.687951272990277,26.8560219954891,27.2116837444062,27.2554134037735,26.8285832169425,27.3877221732303,27.5535752349597
"sp|O75616|ERAL1_HUMAN",4,5,5,5,5,5,0.171294089713369,0.338838308811296,25.3881255093958,25.5001099844962,25.7360185477045,25.6492215869269,25.716710156152,26.0166652952984
"sp|O75643|U520_HUMAN",46,45,49,44,45,48,0.17354213243465,0.341352209596041,30.8366616770256,30.7781563572926,30.8301427243726,31.0204877985067,30.9055903523787,31.0136073378664
"sp|O75663|TIPRL_HUMAN",3,5,7,4,5,5,0.710406608292325,0.813591142272427,26.1896445849345,26.9074976766388,27.1735524249722,26.4480067207689,27.0094224263389,27.1917202903766
"sp|O75683|SURF6_HUMAN",3,4,5,3,4,4,0.481943528094283,0.636486658851205,26.6418039622694,26.6894970244195,26.721993159448,26.4331671998638,27.0060383175717,27.0532870222411
"sp|O75688|PPM1B_HUMAN",2,2,2,2,3,2,0.0111221642591092,0.0488812627652289,23.6450353981961,23.7023843449761,23.2683037814535,24.1759216661815,24.6276170403131,24.0839262459537
"sp|O75694|NU155_HUMAN",19,19,20,18,19,20,0.133220483295725,0.291331144012626,28.9760103869352,28.9159239955974,29.016549686239,29.1281632109666,29.1446023656518,29.1817659913959
"sp|O75717|WDHD1_HUMAN",9,9,9,10,9,10,0.0191132830960074,0.0740598739517679,26.5608881744983,26.6206244361736,26.679621685223,26.9099313238466,26.9950796523551,26.9890180658298
"sp|O75746|CMC1_HUMAN",1,1,0,2,2,1,0.30488991286927,0.480297289520001,23.0090324277984,22.8719386056776,NA,24.5586919360332,23.9628075975318,22.5011347052503
"sp|O75792|RNH2A_HUMAN",3,3,4,2,2,3,0.131079443383973,0.288604739380502,25.3653640262342,24.9192317712441,25.7055040288984,24.853266178685,24.468935985506,25.2030967646953
"sp|O75821|EIF3G_HUMAN",10,11,11,10,10,10,0.345694366863617,0.517980989596954,29.5044352262901,29.6105505330999,29.576083997141,29.6003998344318,29.7558090737763,29.6745306827533
"sp|O75822|EIF3J_HUMAN",11,11,11,11,11,11,0.862845515009379,0.913596325490299,29.5732654000116,29.6019335853388,29.6200012740652,29.4041467142663,29.4970294964019,29.8155661000312
"sp|O75832|PSD10_HUMAN",5,6,6,5,5,6,0.619650424613591,0.744767389838841,27.4331044650039,27.314630928234,27.4155711776633,27.2798872426807,27.5525549324712,27.5319950126375
"sp|O75874|IDHC_HUMAN",9,8,9,8,9,10,0.738636030803225,0.834915583479852,28.7513072337502,28.3230663528424,28.3727591146658,28.3610159958223,28.5899547351512,28.6745146948212
"sp|O75909|CCNK_HUMAN",4,4,3,3,3,3,0.501459576832693,0.653687150377612,25.9686092098906,25.6778617654018,25.1346944165462,25.5099105466201,25.2708284373368,25.493580008519
"sp|O75934|SPF27_HUMAN",5,3,4,5,4,3,0.88119896784721,0.923578762494963,26.8159995807256,26.5141729513612,26.5850594118217,26.3130485144748,26.8347637269442,26.6829953468716
"sp|O75937|DNJC8_HUMAN",5,6,7,7,7,8,0.0409782534475548,0.131881763725532,26.9512852792257,27.8180999455824,28.1906014244603,28.2531387639912,28.6488450755209,28.8050305464665
"sp|O75940|SPF30_HUMAN",3,3,3,2,3,2,0.0563211381610733,0.165125828820071,26.2647544065752,26.3316295502565,26.1402491288182,25.9543406996695,26.009622717196,25.9757096247831
"sp|O75947|ATP5H_HUMAN",6,6,6,5,5,6,0.513271382951141,0.66312842670096,27.7869691245159,27.5724381724042,27.6306653831133,27.7261359479717,27.6572591843709,27.8674555208318
"sp|O75955|FLOT1_HUMAN",11,12,10,11,11,12,0.398468794454126,0.564174870994591,27.3553728392574,27.3228069652889,27.7645396037744,27.561477958864,27.5454062543184,27.7995285382625
"sp|O75964|ATP5L_HUMAN",3,3,3,3,3,3,0.427250492860442,0.587258207101758,27.1015722603951,27.1705156087437,27.0865102616875,27.2117670003223,27.2209720546237,27.1897528160511
"sp|O76003|GLRX3_HUMAN",9,9,9,9,9,9,0.182075191369407,0.350496682832117,29.2396076989832,29.3210270503466,29.3846639688826,29.3713489406512,29.5044879477036,29.6297647981361
"sp|O76021|RL1D1_HUMAN",9,9,8,8,9,9,0.173539663765185,0.341352209596041,28.5878997602598,28.8405599732141,28.5271545353313,28.6723999329828,29.1111597714395,28.9487345470047
"sp|O76031|CLPX_HUMAN",5,7,8,7,8,7,0.0279607312519043,0.0998629120917816,26.6294990507826,26.3989553515487,26.6018323383094,27.034136686689,26.8131243192578,26.909740777593
"sp|O76070|SYUG_HUMAN",5,5,5,5,5,5,0.415130683609883,0.576515995483718,27.834372850249,28.0533694517949,27.9578030522665,27.8701710816895,28.1420352411943,28.2083805411223
"sp|O76071|CIAO1_HUMAN",4,5,4,4,5,5,0.338829231021859,0.512353350280002,26.3970786469595,27.2414735636845,26.3381784125714,26.4361694197011,27.2640026175514,27.4192741432481
"sp|O76094|SRP72_HUMAN",15,14,16,14,14,15,0.185315431030657,0.355070024341183,28.3590373423129,28.3276904386511,28.5833110191973,28.7197635930377,28.5162757673786,28.6215284591999
"sp|O94742|SEM1_YEAST",1,0,2,1,1,2,0.124012427492196,0.278889072876924,26.3970786469595,NA,25.9995304227923,25.9411763903583,25.423019516324,24.3000315393381
"sp|O94759|TRPM2_HUMAN",0,1,1,0,2,2,0.178101040209406,0.34594174534226,NA,25.1937694413179,23.1216939467787,NA,25.5458379017025,25.3243000882559
"sp|O94763|RMP_HUMAN",3,3,3,3,2,2,0.0548010453546119,0.162568038681639,26.0827688528386,26.0174779544505,26.0578294214354,25.818906704803,25.7861367031052,25.2858012630181
"sp|O94776|MTA2_HUMAN",14,15,14,14,13,15,0.207279931012895,0.38103902690701,28.699581359114,29.0377179742122,28.8444590063925,29.2399978690893,28.8799027017334,29.1298883752927
"sp|O94788|AL1A2_HUMAN",17,17,15,17,17,17,0.100221503196447,0.241493734102159,29.7954939252909,29.3814664243696,29.5924065866409,29.9174471411824,29.7502762001074,30.0100006774792
"sp|O94808|GFPT2_HUMAN",1,1,1,1,1,1,0.848285477166504,0.905612898354978,25.1038431486979,25.598974310194,24.9265402299731,25.2319389111737,25.28868174643,25.2263520733706
"sp|O94822|LTN1_HUMAN",3,3,2,2,3,4,0.921542532742762,0.949060670830134,25.3720493895315,25.1225628767878,23.8562650258045,24.376248066249,24.886011395584,25.2283400015333
"sp|O94826|TOM70_HUMAN",10,10,9,10,9,8,0.79213818063995,0.869759965584151,27.4694858475599,27.5529186717321,27.5998656361004,27.3411083620093,27.4898688164035,27.6808320992164
"sp|O94832|MYO1D_HUMAN",1,1,2,1,2,2,0.0204040864993822,0.0785227110768387,23.1826145619112,22.7623925996412,23.1801728711748,23.6698985105254,23.5177727501903,23.4720185019061
"sp|O94874|UFL1_HUMAN",4,3,5,5,4,3,0.671115276900227,0.785721384046443,24.9216241082241,24.2112033531345,25.3695515015352,25.2652136851093,24.9181613181037,24.7527911649967
"sp|O94886|CSCL1_HUMAN",1,1,1,1,1,2,0.404795853593723,0.569563272044983,29.9743824040297,29.4641796143789,29.5891658214354,29.8507526128716,29.8357701537011,29.7818272605259
"sp|O94888|UBXN7_HUMAN",6,6,6,8,7,6,0.333483414349504,0.507823030503847,26.3794351683462,25.632010968954,25.8342295021243,26.8004149134273,25.8373613467113,26.2044084507586
"sp|O94903|PLPHP_HUMAN",1,2,3,3,2,2,0.415673634333615,0.576515995483718,23.4652529984377,25.0294988865788,24.8239524759721,24.9318371787396,24.9717790333653,24.5579498821436
"sp|O94906|PRP6_HUMAN",15,17,17,16,16,17,0.848036567367577,0.905561146624135,28.0483891908003,28.4257726639858,28.2945180824981,27.9249567871478,28.3687199344028,28.3648292949547
"sp|O94913|PCF11_HUMAN",4,4,3,5,4,5,0.123205784209408,0.277627797036463,24.8556177848749,24.8933135675181,24.2305304388216,25.5317376440753,24.9588196027414,24.9147088975164
"sp|O94925|GLSK_HUMAN",6,6,6,6,6,6,0.17090813969392,0.338376454950066,26.1359095943099,26.1514953024222,26.1452922626857,26.5146231300359,26.2393423726011,26.2624372699526
"sp|O94966|UBP19_HUMAN",4,3,1,4,2,3,0.165385626304823,0.331211107998754,24.3181870231261,24.2016262730743,22.8181405955539,24.8712874342695,24.0679114430258,24.5754814144376
"sp|O94973|AP2A2_HUMAN",2,4,4,4,5,5,0.0384803396809549,0.126321502479672,22.8041390335129,24.6821435525384,24.5287843452402,25.2232643451803,25.4835018325805,25.4332961194735
"sp|O94979|SC31A_HUMAN",16,17,14,16,15,16,0.240800575206185,0.415243129305933,28.4857718296688,28.6906462160056,28.46152097595,28.5866859979962,28.6769004081359,28.9678562424403
"sp|O94992|HEXI1_HUMAN",2,3,3,2,2,3,0.142442069729119,0.303140051886529,25.8608100022196,25.8006645851189,25.8997583597025,26.0325555175781,25.9956106080285,26.0661162857774
"sp|O95071|UBR5_HUMAN",8,9,12,8,6,8,0.285778181617518,0.460269362886562,25.9852842272218,26.4571064099464,26.6832287065026,26.2955696407579,25.9655203781109,26.1105287230431
"sp|O95104|SCAF4_HUMAN",7,7,6,8,6,7,0.280963057164212,0.45628723661679,26.806410761742,26.387803893627,25.8636155166148,27.3066017593366,26.1352015815022,26.9784889053154
"sp|O95140|MFN2_HUMAN",3,3,3,3,3,4,0.0059565446803716,0.0301134238320287,24.8425684923258,24.9202902272269,25.203280796129,25.5471871028584,25.5424849257232,25.7607649465541
"sp|O95155|UBE4B_HUMAN",7,5,5,6,4,7,0.956939684266445,0.972655454109292,26.0032535786672,25.6688867447442,25.5703553329975,25.7730848060799,25.4473992643976,26.0572753280747
"sp|O95159|ZFPL1_HUMAN",2,2,1,2,2,2,0.27373617581069,0.448744572682401,24.4019220812534,24.1884100601082,21.4516069013621,24.3468746780184,24.4261365034252,24.1682405133089
"sp|O95163|ELP1_HUMAN",11,10,9,11,10,9,0.0780312196120837,0.204993926104132,26.931860306643,26.669353145796,26.4376282854716,27.1721042807178,27.0126737123698,26.9246586323485
"sp|O95197|RTN3_HUMAN",1,2,2,2,2,2,0.0372681291279562,0.123325167447184,24.0676314218186,24.6180174170187,24.866731639875,25.3010558341252,24.9780874203885,25.1638008882897
"sp|O95202|LETM1_HUMAN",14,14,15,14,15,14,0.617202893889994,0.74344456225595,28.585504840885,28.5519072743873,28.714879440227,28.5716057150202,28.8265093072226,28.6527353207857
"sp|O95218|ZRAB2_HUMAN",8,10,6,9,9,8,0.85433464986793,0.909484806123664,27.4845523807902,28.0234462164565,27.3040301901595,27.2471208757355,27.680167765315,27.744480658717
"sp|O95229|ZWINT_HUMAN",2,2,2,1,3,3,0.178695023599319,0.346499620867693,24.8731902838088,24.5784353609671,24.0916765878562,24.4461075725496,25.2815669128733,25.2522238802967
"sp|O95232|LC7L3_HUMAN",6,6,5,5,5,6,0.107279695576242,0.25231112161034,27.7763307783988,27.9053215164113,27.9216148068625,27.9853654084832,28.1487002870967,28.7931221659545
"sp|O95239|KIF4A_HUMAN;sp|Q2VIQ3|KIF4B_HUMAN",5,7,8,7,9,7,0.200224205410357,0.37411619522084,25.3808029271742,25.93285380195,26.2178251137356,26.1230918203919,26.4980113163086,26.0264194548764
"sp|O95295|SNAPN_HUMAN",2,2,2,2,2,2,0.0974754336159237,0.236009651166529,24.136419925456,24.0116596287251,24.3904435799121,24.4420085884482,24.3677241576008,24.6176553787145
"sp|O95299|NDUAA_HUMAN",2,2,3,2,2,3,0.177923310018834,0.34594174534226,24.9043746540903,25.8217548926046,25.8893343015473,24.8579986761016,25.249787095938,25.1329308622037
"sp|O95336|6PGL_HUMAN",6,6,7,6,6,6,0.276357124300104,0.450787980756514,26.8918134715345,27.0571167137481,27.0367139167337,27.5922697503405,27.1136076850764,26.9689256493337
"sp|O95347|SMC2_HUMAN",13,13,15,13,13,14,0.42597993616425,0.586403824372359,27.9323076044114,28.0082716359551,27.9247130215713,27.7719772601851,28.1521063523623,28.4241509493823
"sp|O95372|LYPA2_HUMAN",3,3,2,3,3,2,0.95135187733739,0.968937732599262,25.5499703046275,26.4598050546557,25.589823565288,26.3861681329737,25.7825956272375,25.4966795583248
"sp|O95373|IPO7_HUMAN",16,17,16,17,16,15,0.439642002002299,0.599005598626776,29.5351333805798,29.6503865451671,29.2978305630002,29.7738166312773,29.5423378386361,29.5348159453267
"sp|O95376|ARI2_HUMAN",2,1,2,2,1,1,0.817237247619979,0.886288498499055,23.4511958222123,22.5591559421249,24.0088671207283,24.0027757218007,23.1183378598631,23.212676471712
"sp|O95391|SLU7_HUMAN",1,2,2,2,3,2,0.151792506578386,0.315020002168648,22.3693261056493,23.8285151997382,23.8068595118128,24.0607308967007,24.4469925954531,23.7219833750582
"sp|O95394|AGM1_HUMAN",8,9,9,9,9,8,0.173411075357566,0.341352209596041,26.811977258629,27.474558037589,26.9878741982963,27.4479884716269,27.250083802865,27.5322773542483
"sp|O95400|CD2B2_HUMAN",3,4,3,4,3,3,0.79410503478448,0.870102447288321,25.2277923563625,25.6527972165896,25.0076808564097,25.6841608453495,25.0131732605192,25.3935367650241
"sp|O95433|AHSA1_HUMAN",6,8,6,9,8,9,0.0227566347932624,0.0844819030369428,28.352176654839,28.4992969842971,28.3611598814741,28.9907935037954,28.6527777672835,28.8174497222626
"sp|O95453|PARN_HUMAN",2,3,4,5,3,2,0.299211687347589,0.473830495421102,24.9086934025012,26.067008990779,28.7603569880603,29.4775886961596,29.0537710211698,25.8313240861551
"sp|O95456|PSMG1_HUMAN",4,4,5,5,5,5,0.0862702784429816,0.219602678386623,27.4975645702648,27.5283187168572,27.4841846422272,27.8696262058296,27.6409473843643,27.715371613364
"sp|O95466|FMNL1_HUMAN",0,1,1,1,2,1,0.373307826709329,0.544241613769844,NA,20.6247281767625,20.9216090809241,20.8138627463839,25.7146845022282,20.7602250879272
"sp|O95478|NSA2_HUMAN",4,5,3,4,5,3,0.537954666407862,0.680615845094014,25.9788155069101,26.2699842871926,25.5722532320297,26.1552806299983,26.4562252560305,25.7269501383194
"sp|O95486|SC24A_HUMAN",4,3,4,3,4,3,0.270186654559708,0.444862720590657,25.5321391659748,24.7980864599182,25.5217756528548,25.0536005542622,25.2074593850214,24.5911230491261
"sp|O95487|SC24B_HUMAN",4,6,5,5,4,7,0.362121481708223,0.534487048140395,24.7630149731432,25.117752239826,25.0566827568837,25.2010871138831,24.758277061481,25.8757230728764
"sp|O95551|TYDP2_HUMAN",2,4,3,3,2,3,0.379204165956871,0.548020448398174,24.638909826236,25.7878994651289,25.4649171121573,25.4549247376533,25.4665669378288,25.9000154907995
"sp|O95602|RPA1_HUMAN",11,8,12,12,6,14,0.783288754062827,0.864082508276452,26.8112826199518,26.1960209320567,27.1488185185583,26.8167600889736,25.7452558544838,27.2107197488904
"sp|O95626|AN32D_HUMAN",1,0,0,1,1,0,0.00277628988459222,0.0164394203126968,21.8093803773821,NA,NA,25.285290294601,25.8583371043992,NA
"sp|O95639|CPSF4_HUMAN",4,3,3,3,3,4,0.633022241924411,0.755812497096853,26.1069711160444,26.3882289449556,25.6242411988802,26.2286070749817,25.3072947795001,26.1007196605231
"sp|O95671|ASML_HUMAN",1,1,2,1,1,2,0.347448539377015,0.519792218842832,23.4133632317093,23.6529623049103,24.0624069875419,23.7582667789141,23.8926509936696,24.1072348540982
"sp|O95684|CEP43_HUMAN",4,5,5,6,5,5,0.0521395403486033,0.157253967486642,24.7100386980219,25.8723599866647,25.9829986508094,26.3974197522258,26.2514182294164,26.5565625418686
"sp|O95714|HERC2_HUMAN",1,2,1,1,1,1,0.0670944216799916,0.185629269534723,22.1858937863767,22.0414673246781,21.6598445134743,22.7186854297695,22.274191763168,22.2802377290864
"sp|O95721|SNP29_HUMAN",6,6,6,6,6,5,0.53568254377935,0.678875576584524,27.9972071918445,27.8628796014254,27.8420659963563,28.067838047095,27.9453632181178,27.9160834959271
"sp|O95747|OXSR1_HUMAN",9,8,8,9,8,9,0.414559284894902,0.57605419150344,28.085345341143,27.9072505509524,27.918462104704,27.967271381548,27.944381325314,28.4856560884979
"sp|O95757|HS74L_HUMAN",16,15,15,17,16,16,0.0730423130981052,0.196245800397597,28.1195839503492,28.0963199293639,27.9670799709688,28.5524672988835,28.2235644992402,28.2995257247823
"sp|O95758|PTBP3_HUMAN",5,5,3,5,5,6,0.567822519567613,0.705949550713881,26.660159345692,26.5196151341858,25.7137501074213,26.6578940520235,26.3906087188929,26.3484237143225
"sp|O95777|LSM8_HUMAN",5,5,5,5,5,5,0.0745866003841333,0.198629803931735,28.9196016412192,28.5447440222159,28.7277354000908,29.102365228724,28.9944789312108,28.9956111729897
"sp|O95782|AP2A1_HUMAN",21,19,19,16,16,21,0.558197613755598,0.697991885169092,28.9974209538499,28.8446438554105,28.7649651775358,28.6455979210947,28.8234150348676,28.8943101528231
"sp|O95793|STAU1_HUMAN",7,9,10,11,8,10,0.0424408577174116,0.135303350564695,27.2185172296001,27.0371082463915,26.5849389010218,27.8552491135371,27.5722661694167,27.2508177279543
