"protein_group","number_of_peptides_12500.amol_1","number_of_peptides_12500.amol_2","number_of_peptides_12500.amol_3","number_of_peptides_125.amol_1","number_of_peptides_125.amol_2","number_of_peptides_125.amol_3","number_of_peptides_25000.amol_1","number_of_peptides_25000.amol_2","number_of_peptides_25000.amol_3","number_of_peptides_2500.amol_1","number_of_peptides_2500.amol_2","number_of_peptides_2500.amol_3","number_of_peptides_250.amol_1","number_of_peptides_250.amol_2","number_of_peptides_250.amol_3","number_of_peptides_50000.amol_1","number_of_peptides_50000.amol_2","number_of_peptides_50000.amol_3","number_of_peptides_5000.amol_1","number_of_peptides_5000.amol_2","number_of_peptides_5000.amol_3","number_of_peptides_500.amol_1","number_of_peptides_500.amol_2","number_of_peptides_500.amol_3","number_of_peptides_50.amol_1","number_of_peptides_50.amol_2","number_of_peptides_50.amol_3","differential_abundance_pvalue_X125.amol.12500.amol","differential_abundance_pvalue_X250.amol.12500.amol","differential_abundance_pvalue_X2500.amol.12500.amol","differential_abundance_pvalue_X25000.amol.12500.amol","differential_abundance_pvalue_X50.amol.12500.amol","differential_abundance_pvalue_X500.amol.12500.amol","differential_abundance_pvalue_X5000.amol.12500.amol","differential_abundance_pvalue_X50000.amol.12500.amol","differential_abundance_qvalue_X125.amol.12500.amol","differential_abundance_qvalue_X250.amol.12500.amol","differential_abundance_qvalue_X2500.amol.12500.amol","differential_abundance_qvalue_X25000.amol.12500.amol","differential_abundance_qvalue_X50.amol.12500.amol","differential_abundance_qvalue_X500.amol.12500.amol","differential_abundance_qvalue_X5000.amol.12500.amol","differential_abundance_qvalue_X50000.amol.12500.amol","abundance_12500.amol_1","abundance_12500.amol_2","abundance_12500.amol_3","abundance_125.amol_1","abundance_125.amol_2","abundance_125.amol_3","abundance_25000.amol_1","abundance_25000.amol_2","abundance_25000.amol_3","abundance_2500.amol_1","abundance_2500.amol_2","abundance_2500.amol_3","abundance_250.amol_1","abundance_250.amol_2","abundance_250.amol_3","abundance_50000.amol_1","abundance_50000.amol_2","abundance_50000.amol_3","abundance_5000.amol_1","abundance_5000.amol_2","abundance_5000.amol_3","abundance_500.amol_1","abundance_500.amol_2","abundance_500.amol_3","abundance_50.amol_1","abundance_50.amol_2","abundance_50.amol_3"
"sp|P16120|THRC_YEAST",20,17,17,15,17,16,17,15,14,16,18,16,17,17,18,17,14,14,18,17,17,14,14,15,14,15,16,0.909615194543755,0.236079260625301,0.931890675105752,0.591772555515017,0.452059440961287,0.412398126512121,0.0959838932089182,0.284551174644982,0.982951739090536,0.826784020043974,0.998843560979009,0.776221144246971,0.663074619866018,0.91511811173924,0.45703958452386,0.466687202587476,27.978868172603,27.6170927051896,27.7309364398861,27.7947999040569,27.7963741492957,27.7926741569583,27.9324402763261,27.8993912094717,27.2250810930625,27.8803682949007,27.874813833399,27.6145874883312,27.9352846129068,27.9767899227892,28.0200600607458,27.6943171762392,27.4932474288811,27.5945252999476,28.1914876911108,27.9226946085945,28.0784651441896,27.6609316713586,27.4511589935503,27.800075977091,27.5991581981003,28.047065482157,28.060627720049
"sp|P16140|VATB_YEAST",20,15,16,18,18,17,15,12,15,14,15,14,18,19,16,17,13,16,14,15,15,14,15,17,16,17,21,0.155728422856106,0.0388567728506634,0.522204560924549,0.00795634468237707,0.399606858335129,0.298751344964742,0.766899717736534,0.0047213745534055,0.60791459644337,0.452958952087734,0.963195942712674,0.095951141841204,0.615910504568981,0.879825711478577,0.931528852667803,0.0284702435476031,28.1143223152767,28.0193636683475,28.047182001797,28.2303522267529,28.1631810256159,28.2291697290018,27.8101579269893,27.6384918393102,27.8485747097776,27.9269539101128,28.0547786088131,28.0040866590154,28.1419426192184,28.4030189829271,28.298331520819,27.8513062633713,27.60598797211,27.7705896759881,27.9936754178784,28.1675805132854,28.109585431227,28.1494130281264,28.1902309625286,28.1607046241293,27.9562483481698,28.2029292639513,28.2794214291377
"sp|P16387|ODPA_YEAST",2,2,2,2,2,3,1,1,2,1,1,2,2,2,2,0,1,2,2,2,1,2,1,1,3,3,3,0.387846063637364,0.504756664424745,0.639078157658192,0.343466877492578,0.678418339340082,0.562779723059865,0.499814852302202,0.368820385642885,0.797161538840047,0.926667999776985,0.986841581671642,0.5955829429442,0.824803248870309,0.925801930566578,0.844017245434027,0.534336429480663,23.458964349482,23.5554859672003,23.6196401598017,23.6615286476603,23.7932195056138,24.3936654383848,23.1299582697094,22.8362435723966,23.332935671588,22.9976716572869,23.1174522108032,23.8641878274534,23.82270449667,23.8712691029143,23.8742513905204,NA,22.6867546819859,23.4598876175049,23.8076356860618,23.8250728679096,22.0562497376477,24.2174340334603,22.1391642747185,23.4682446299763,23.2771153531599,23.9926192153468,23.9428525552849
"sp|P16451|ODPX_YEAST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0.0620980932641887,0.365668264506408,0.632235641763482,0.53859064489111,0.0627817719363009,0.00351541498332553,0.855408300367434,0.0485746537725991,0.419284070911222,0.878674855538861,0.985988430672831,0.745584858497744,0.209357990497787,0.182332857135151,0.970559524265762,0.13913168687723,20.8609777986887,21.0922869297703,21.3487720437809,21.7522125994628,21.7396037500515,21.5556308356037,21.4552827645551,21.235904244199,21.1632146357455,21.3619063857747,20.8493717751316,21.5198080702084,21.2492677461375,21.5076327289125,21.3623515591533,21.5496816723104,21.7859176709166,21.8217802325154,21.1656199508489,21.3555587592446,20.9438071352696,21.5291067997243,21.5199460715971,23.1768852545523,21.6486897380519,21.8226532486162,21.5711372013904
"sp|P16467|PDC5_YEAST",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3380870916754,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7996817330506,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7954109495313,NA,NA
"sp|P16474|BIP_YEAST",10,9,9,10,10,9,10,11,9,10,10,7,9,11,9,9,9,10,12,12,12,9,9,11,10,12,11,0.79021852888638,0.190162183585365,0.768483310269307,0.794156325395318,0.462651312747518,0.0316268697758511,0.0498330387957628,0.192823438763711,0.95075999871085,0.787676861957656,0.994092954940937,0.905046982961096,0.670149613425334,0.346559220924115,0.345875074353642,0.356323497438932,27.530740017198,26.6044373374273,26.7448029193144,26.7709206081156,26.7862355328662,27.5888604026286,26.9298117241954,27.5926529671393,26.6184329828961,27.6243524805155,26.9525028046516,26.5975552095846,27.6404406151213,27.7316569601772,26.8463965053856,26.3929595616612,26.4595462615324,26.6973144848206,27.8865816210773,27.9829775187276,27.0716207631476,27.6988333772047,27.7078749072694,27.7551618047993,26.5024719538067,26.9191747842893,26.7193465136377
"sp|P16521|EF3A_YEAST",37,27,26,32,30,31,29,29,27,33,28,24,32,37,32,27,27,28,28,25,27,25,29,30,38,37,40,0.5034323540314,0.0158542542314312,0.726165033990664,0.193039600275108,0.0455133642098438,0.90661464397088,0.172547816221224,0.0532190391358799,0.84663247495173,0.300862126810415,0.994092954940937,0.458364216554064,0.182625569752162,0.998060450431217,0.594188993608766,0.147178170299916,30.0531285517104,29.7112276817082,29.7316714284601,29.925930318231,29.8241884392515,29.9612352869966,29.6413441196961,29.7679470532405,29.6609856131344,30.005675879468,29.7170669872272,29.8855212232047,30.0102216064437,30.2311623029539,30.0882594700433,29.5665505475741,29.5972411187098,29.6826255024534,30.1341818685658,29.8949497841313,29.9140394337792,29.7597100788673,29.8712887677572,29.9025694185683,30.0539612861139,30.0542958186521,30.062165787623
"sp|P16547|OM45_YEAST",5,4,3,2,4,2,3,2,4,4,3,4,3,2,2,1,3,1,4,2,4,2,2,3,4,4,5,0.082988697046071,0.046103332896348,0.887570590988955,0.186038745325242,0.44059048975243,0.0330707920381898,0.59974356825831,0.00169432879563128,0.452713691564489,0.50334893521929,0.994092954940937,0.451820809589516,0.655161917183101,0.352453098708379,0.872451123274522,0.0137257746878413,24.8060358656545,24.4413194260012,24.1691582395127,23.5831750027437,24.4398771693235,23.7130304655194,24.0402972552235,23.6636093439064,24.4518322744702,24.5706816647075,24.0657900909808,24.6482492990027,23.7987945188331,23.8273834991474,23.8318928023735,23.0558762755992,24.0324874753327,22.9877641406154,24.6851748103996,23.6794312747159,24.5611022672306,23.6776550289498,23.5556210510827,24.074620750047,24.152731561095,24.0564823668961,24.4830233137801
"sp|P16550|APA1_YEAST",2,1,1,2,2,2,2,1,1,2,1,1,1,2,1,1,0,0,2,2,2,1,2,2,2,1,4,0.538286855799472,0.7086199362207,0.737029214657566,0.201671004719097,0.310945810858417,0.577809470991899,0.453545565798696,0.00860192119221056,0.855181990324105,0.964065788589125,0.994092954940937,0.465130616117042,0.545579068805601,0.938488034304169,0.819986354059893,0.0419919292467591,24.9712416128297,24.5835723313702,24.7881392142369,25.0404768932848,25.2854561296163,25.0910299953997,25.0076542164402,24.3086781008758,22.7573995636472,24.8738981195477,24.9610568024924,25.0917744759701,24.9459193137473,25.0882918449091,24.9586952688595,22.3986274275024,NA,NA,25.3616217742108,25.2219778434235,25.0708855070163,24.7842630882822,23.9206479080498,24.6676500135541,24.8077448199117,22.3427903143732,25.4074101904075
"sp|P16603|NCPR_YEAST",1,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0.181022400003978,0.649350885368432,0.484361441851906,0.355651070091174,0.219887769544231,0.332237741900066,0.185935857337373,6.03477744537962e-05,0.631660210277308,0.960008126478403,0.958882883792454,0.603291904934125,0.441396333458567,0.900990934515644,0.607230733403058,0.00100032889407084,21.6707941356033,NA,NA,NA,22.0897414438374,NA,21.5587401478116,NA,21.3090526660635,21.8735231737787,NA,NA,21.8004651229953,NA,NA,NA,25.2279435340543,NA,NA,NA,22.0840728411003,21.9723769976568,21.9681759284618,21.7788148769513,NA,22.0484967175759,NA
"sp|P16649|TUP1_YEAST",2,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0.650334243326478,0.900132876925759,0.0588894708654374,NA,0.098650500227362,0.536665134366862,0.964770651445437,NA,0.901704571420755,0.969852971339915,0.489598910645026,NA,0.273503679986177,0.917954712541992,0.984203487599947,NA,22.4904266329898,21.770437555727,21.6064137012205,NA,NA,21.6425346371774,NA,NA,NA,NA,21.534368044819,19.9426366835608,NA,21.8698099232497,NA,NA,NA,NA,21.9255286082063,NA,NA,NA,21.5252706855219,NA,20.8091263999945,21.0630826679461,NA
"sp|P16861|PFKA1_YEAST",21,20,21,26,24,20,20,16,16,22,17,20,26,26,23,22,21,19,21,19,20,23,22,22,24,25,30,0.0901509334521966,0.00526839438212826,0.475366064652836,0.00525247479858168,0.0205195367964624,0.373698190158885,0.192652354444778,0.104099703810923,0.4667536009555,0.204714753134127,0.954676149088131,0.0826840488465498,0.118059588469787,0.914488887966971,0.616337024571378,0.234516748472921,28.2811925480211,28.3646435166348,28.4170814013354,28.6635757166475,28.4811956926324,28.5403337898274,28.3081524381293,27.9090359501265,27.7505785160716,28.4065264158986,28.2796893616409,28.1226211106194,28.6861952561557,28.7587600972913,28.712645895921,28.2200121260952,28.0814375022738,28.1665393192858,28.4539566953752,28.564568570149,28.5153751414762,28.4368176156012,28.4233176231419,28.5206005692157,28.505781029386,28.7308029950859,28.7057906396293
"sp|P16862|PFKA2_YEAST",17,14,15,14,13,15,12,12,14,14,15,16,13,18,16,15,15,16,13,13,13,14,11,14,16,15,16,0.323421253659121,0.635258440531417,0.709092365288198,0.046086530749696,0.0379936904544923,0.0981042743845782,0.938173384404964,0.0388558638205004,0.758623249569474,0.959721322596278,0.993710754123599,0.235683018011104,0.165993824071231,0.532860600797165,0.981383651624772,0.120950721998505,27.6993700519405,27.4039798024632,27.6292736907051,27.486631102774,27.3247130295263,27.587045691646,27.2318181745038,27.3920201774821,27.4063682423138,27.4263953885717,27.6370511500228,27.7940932039911,27.5389710981683,27.7631095407465,27.5895413739642,27.3522089519123,27.2235590842049,27.4265828560209,27.5117955919829,27.6279039181802,27.6188506165136,27.4011695883997,27.3069238798205,27.4515544078312,27.7616566587204,27.8758578657879,27.8290132716813
"sp|P17076|RL8A_YEAST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,0.18919290483558,0.590773199252725,0.69985986841821,0.356151285462349,0.0548382181320608,0.365726554934932,0.453168218355124,0.088130583800251,0.635136758488493,0.949050449553712,0.991476218038758,0.603291904934125,0.19228679920126,0.914488887966971,0.819986354059893,0.206668795929244,22.5092935210543,22.6443619010333,22.2199935650378,21.2746983137386,22.044765215581,21.5164529739061,22.5378777842218,21.9532931854786,21.1215694984415,21.8435384832643,22.1371332668678,22.664724830577,21.7113316775828,22.6292306950116,22.0152438533442,22.0403191636658,21.645024439111,20.3342148788963,21.8669751803143,21.9862276597241,NA,21.2390155580217,NA,22.3907799353311,23.1057552054272,20.4553138902026,19.9920448431462
"sp|P17106|CBF1_YEAST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2328653485006,NA,NA,20.4514097074458,NA,NA
"sp|P17255|VATA_YEAST;sp|P34955|CON__A1AT_BOVIN;CON__P34955",26,24,20,23,22,24,23,21,26,20,24,24,23,26,22,19,18,20,23,22,22,21,23,19,27,25,25,0.616240800481714,0.335501469241163,0.653326746368471,0.948495597115419,0.347204025821484,0.540389792216237,0.81572590828045,0.00260836929149012,0.888168899622126,0.86086359125789,0.986841581671642,0.973804882425995,0.571906631242243,0.917954712541992,0.951680226327191,0.0193695571460655,28.5558878172849,28.4009815354067,28.3781802604045,28.6072381761939,28.4245433274699,28.5182046820308,28.4290204872179,28.3158532145261,28.5625618145405,28.152734464285,28.3275754821026,28.6622439535568,28.3653528467887,28.725056728705,28.6613114866502,28.120165002989,27.6928082665251,28.0688520336933,28.404644449256,28.5321630328255,28.4979311027918,28.5178253074799,28.7228414633824,28.3573598219198,28.5436574607187,28.5225894713916,28.6752627863401
"sp|P17423|KHSE_YEAST",5,3,3,3,4,3,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,4,4,2,2,3,4,0.35646159976414,0.25559711724739,0.403558729808631,0.18620832870459,0.540542434622034,0.706413161889174,0.197830987835128,0.289098900742717,0.780820647102402,0.837509104812351,0.907193197451746,0.451820809589516,0.725161197185881,0.979660320766092,0.61780233272026,0.468526943639611,25.2221242137189,24.7381430461021,24.6307304503574,25.0646949236302,25.2194237097316,25.0049403280383,24.6401439930307,24.6732796715754,24.2651030988592,24.8861566996899,24.9117963118916,25.4241087956746,25.0417053723171,25.168489224873,25.2463928695799,24.5561773497919,24.4220424366817,24.8074059173891,25.5372273724755,25.0053178800404,25.0336365779937,25.2094000607679,25.2294690389139,24.4346688380326,24.1569159136198,24.8676170534912,25.1060331980414
"sp|P17505|MDHM_YEAST",14,12,14,14,14,13,13,13,13,14,14,13,14,14,14,13,14,12,14,12,15,13,14,14,15,15,15,0.435209512120086,0.0596064192235305,0.412156909459559,0.059213636846799,0.0870567780451541,0.216613062427339,0.120412781443123,0.000606458758963538,0.827886653065847,0.528683022678271,0.907193197451746,0.256637976305376,0.25221768674784,0.746996609717032,0.5330515785012,0.00685042147448954,28.766612867052,28.8016358241461,28.834988119685,28.9648062872531,28.873790994549,28.7721903713086,28.6968520314926,28.60891549716,28.5758117837013,28.7871412038904,28.8849375878422,28.9494744892238,28.898415018587,28.9539870108837,29.0716115770214,28.4342477701519,28.5103879834658,28.3974147852349,28.9816094400538,28.8725155098283,28.9720610246434,28.8415383287416,29.0114002752606,28.8829018651733,28.8388549552557,29.0316730859231,29.0018989024033
"sp|P17536|TPM1_YEAST",6,5,5,3,3,2,4,5,4,4,6,5,3,4,4,7,5,5,5,4,5,3,2,3,5,5,5,0.441797969198734,0.863771205227217,0.853921494459382,0.0869019113405827,0.0662228333309181,0.0173923620072179,0.928109188947943,0.59515113483148,0.827886653065847,0.964065788589125,0.994092954940937,0.309324865036083,0.214829229869801,0.294157774817729,0.981383651624772,0.712404791246041,26.0122418571489,26.0714416576155,25.8140690490975,26.0163898880744,25.9831167156969,25.551598060187,25.709051515908,25.8343965596602,25.5587149510061,25.7641196350577,26.2244153618319,25.9915988162317,25.7640918224532,26.1823343417193,26.0280916020324,25.9829734566179,25.7939910142754,25.8822595675987,25.932343072654,25.9706709298222,26.0350948871224,25.3581468111601,25.5970312280875,25.7962497016539,26.2023716952339,26.2711334504415,26.2829349940637
"sp|P17555|CAP_YEAST",4,1,3,5,4,4,2,3,1,3,2,4,4,4,4,2,2,2,2,3,2,3,3,3,3,4,5,0.0508287454117139,0.0212979676128511,0.387297278186543,0.133077797352681,0.0589328325240994,0.345716855486609,0.990329119482261,0.02498833101743,0.389687048156473,0.334214261001663,0.893762949661254,0.385129913726603,0.201778345911329,0.900990934515644,0.993970035362711,0.0906816356379134,25.0998790535264,23.4706855104534,24.7482937814473,25.3030993947501,24.7496568587069,25.3712057020944,24.0752235827762,24.2902063333355,23.3673831637826,24.8974649488687,24.1353310242338,25.1810769968056,25.2200868338229,25.3056486763483,25.3252808409729,23.5731230429984,23.6394462272308,23.6505028195205,24.1503366988166,24.8765466709271,24.2795475569607,24.8060358656545,24.746030134935,24.7447733757304,25.2624674062295,24.7577056899887,25.3278736650182
"sp|P17649|GABAT_YEAST",6,6,4,4,6,3,6,4,4,3,3,5,5,5,5,6,5,7,5,5,5,5,3,4,7,8,10,0.668004310589281,0.313413580594898,0.179898952460581,0.61899701212397,0.00190503871112659,0.888584261208373,0.791080605511899,0.434283336094786,0.911378730301663,0.852484939218121,0.766937639437215,0.790125727956031,0.0240519478807588,0.998060450431217,0.943078625784928,0.595376471022253,25.613571711237,25.8824304625144,25.0167324940637,25.6538766419177,25.7414840566532,25.4884824685606,25.5875113982033,25.1716102749528,25.3229805571589,25.0894931136434,24.3680670134722,25.8701109953014,25.8393650668698,25.7613428239693,25.7937805542002,25.3068545480547,25.0981131890163,25.4274608204446,25.6680720650068,25.7000103172828,25.3735344074907,25.7277968268815,25.1873988909033,25.7185037181355,26.0646294600186,26.6875212347358,26.8114111177125
"sp|P17695|GLRX2_YEAST",1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,3,1,1,1,2,2,1,0.183263482830161,0.587404752298077,0.0700538165177576,0.186164175357381,0.00208385770990674,0.959942692593988,0.000780718758445068,0.065953626261179,0.631660210277308,0.949050449553712,0.507016399479008,0.451820809589516,0.0254486215562033,0.998060450431217,0.0193760200959549,0.171180609260406,23.6130795461653,23.5548513412978,23.394441585953,23.7004170913077,23.8430706022799,23.6979761197971,23.3262548053374,24.2419376431248,23.6685946830805,23.7515737849349,23.9136014538353,23.8402489356682,23.4631123964717,23.688179378063,23.6826915226697,23.2274195554399,23.2042511834644,23.1722406571895,24.1267286000775,24.0602230048959,24.3272035958857,23.4005761716336,23.5219139890959,23.6649290467537,24.1435711634421,24.2958616179601,23.8662158527771
"sp|P17709|HXKG_YEAST",9,8,10,7,8,9,9,5,10,7,8,8,9,8,7,7,10,10,7,10,8,8,8,8,10,9,9,0.519251226630993,0.411570090632844,0.251487785946671,0.241967855578542,0.713407008613825,0.25139132404735,0.704153375115277,0.273121739829489,0.850678419900435,0.89118947050408,0.827554288083797,0.501307762326826,0.851169583821506,0.798295714729954,0.906937214180311,0.452784608568716,27.213861398362,26.7722840762657,27.3589635438612,26.8950027725109,26.768319681002,27.2287818295464,26.9680058257874,26.3068877623315,27.2375167668952,26.994156889595,26.5455038322815,26.9899355094536,27.0365576225,26.8677243308744,26.861727870771,26.5756893967635,26.956183694708,27.0350386686148,26.7279253653578,27.4822636961859,27.4008808831718,26.9509887779396,26.9280871666099,26.6503486277631,27.1913316137165,27.0961230033176,27.3148743407751
"sp|P17891|CLC1_YEAST",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.592173861492073,0.43072439173898,0.24519839009661,0.808363647128092,0.0731488883583996,0.0288068097391189,0.338057974256323,0.032867491935373,0.877045378194699,0.89883899335704,0.822645308874037,0.913512397740246,0.227234379425143,0.329043840600406,0.744975674969029,0.108924498066815,23.2911804068127,23.4480337903079,23.524867910897,23.3742339872895,23.4539750789922,23.6201355173455,23.4139350168881,23.3109849370579,23.4559816277623,23.5086694681936,23.4974295575967,23.6632801177994,23.4639235068984,23.6226412616801,23.4497282118974,23.2965480433517,22.916708371198,23.2744319045575,23.4326647788178,23.4830988308204,23.680558536719,23.6642039942335,23.7676059192405,23.630163628593,23.282613086231,23.0931955632137,23.2478202184124
"sp|P17967|PDI_YEAST",14,10,10,14,11,12,10,8,9,10,10,9,10,13,12,9,10,9,11,11,12,9,10,9,14,13,14,0.0814153262743308,0.36530503307968,0.352012322586391,0.00453386450707358,0.000135658739640713,0.0221091589604283,0.390553586894779,0.023815983769451,0.452713691564489,0.878674855538861,0.891104749312529,0.0747625004431725,0.00346353719645196,0.325723320566144,0.771218341276327,0.0889306958861996,27.0308941301148,26.5054228908914,26.7089952283218,27.4389978663525,26.7585987257851,26.8960232794566,26.3369288306999,26.0878744278009,26.3416249612531,26.6609547692467,26.7402802692248,26.4037242689784,26.7193357902959,26.9168060803969,27.0372502312819,26.3807159659065,26.3329106161245,26.4005344203471,26.835965202242,26.8862599298285,26.9286551523185,26.4038204973415,26.3913049857047,26.3028234021042,27.591565048778,27.4260549483484,27.4075177492951
"sp|P18239|ADT2_YEAST;sp|P18238|ADT3_YEAST;sp|P04710|ADT1_YEAST",8,8,7,11,10,11,8,7,6,5,8,7,8,9,6,10,9,8,9,6,9,7,4,5,13,10,9,0.638531481285337,0.724382824762328,0.790936953400506,0.0969366932459475,0.446710756501639,0.0371466172225558,0.0400151936826898,0.654343794465099,0.901704571420755,0.964065788589125,0.994092954940937,0.325374110789633,0.658777415274078,0.385334242655312,0.331111254906191,0.757263669785006,27.4700057643725,27.4360390755897,27.1125416384985,27.3305917904602,27.2540443087803,27.2515867679647,27.067974163253,27.2782897154924,27.0062091659399,27.1444110495723,27.4990792948158,27.4778087548708,27.2472353886081,27.3824034440069,27.2522318686845,27.4638794126163,27.306807968727,27.0741282203405,27.5564021253998,27.6442566394086,27.6582158260446,27.2598210099047,26.9539188349419,26.9506105754307,27.3781229598209,27.4958519153032,27.4413811073581
"sp|P18544|ARGD_YEAST",1,2,1,2,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0.756884826548727,0.770616869147638,0.775297898173328,0.615822695223185,0.199203525988013,0.511325092359624,0.916541903954031,0.985919905246614,0.946260683190281,0.964065788589125,0.994092954940937,0.78749020619819,0.4173058480313,0.91511811173924,0.981383651624772,0.988384705009731,21.5771475135519,23.0506509438275,21.1970479532837,22.7091073001224,21.7706527911988,21.7579186602533,21.6248553402968,NA,NA,NA,NA,22.1209934082333,21.6206490105858,21.9184077587982,21.897081840368,NA,NA,21.9526812374738,21.8355507843603,22.1516027454164,NA,NA,NA,21.5250045496915,21.2419893925216,NA,21.3102959415824
"sp|P18562|UPP_YEAST",4,2,3,2,2,3,2,2,2,2,3,2,2,2,4,3,4,4,2,2,3,3,3,2,5,4,4,0.782934876794064,0.682092471741697,0.744333414820661,0.463057282724375,0.0037162707924202,0.152922119445838,0.763747670358594,0.228879606921589,0.949433119360446,0.964065788589125,0.994092954940937,0.695446625355566,0.0410296383433419,0.639765975829288,0.931528852667803,0.397924648690714,24.6556474156785,24.4050189226568,24.1691582395127,24.5264919513369,24.4484136695797,24.524642131856,24.2866277312167,24.142471053411,24.0779637215323,24.0609850413844,24.4210233486754,24.4284043370085,23.3202006431089,24.4128543362837,25.0952670191825,24.7258109439448,24.9257911827045,24.7774609851375,23.663125551138,24.3783056906429,24.8940738267497,24.9387106406033,25.2376772035243,24.4891142072137,25.4677508263186,25.6280053056892,25.3100329400247
"sp|P18961|YPK2_YEAST;sp|P12688|YPK1_YEAST",2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,3,3,3,0.0625012464137952,0.416476478518364,0.744495871037373,0.409082630042195,0.699592629445727,0.412132541212832,0.893201559541152,0.00818404026461098,0.419284070911222,0.89118947050408,0.994092954940937,0.650015357754487,0.840539968025233,0.91511811173924,0.979277668066686,0.0405160511865309,22.845996570052,22.2894384137951,22.9883258018956,22.0615568925268,22.1698829327127,21.6801096990036,22.6996403847586,22.2799274749036,22.199086792851,22.6085009417745,22.6533723939454,22.4915378312935,21.8989586807585,22.3653511177749,22.9294387005071,22.0958041694159,22.2097761662595,20.5247929442482,23.0177062685636,22.9052210620156,22.3532222605862,21.7503749687029,22.9204401888176,22.5140865395452,22.2097432095805,22.7944884957696,22.6807948820511
"sp|P19097|FAS2_YEAST",38,32,30,36,35,35,32,30,29,30,35,31,31,37,34,28,33,33,30,30,32,37,36,35,39,40,40,0.334391750862073,0.733430068717376,0.141615992798856,0.0593495970274253,0.164337964487562,0.36193869663809,0.110814660259215,0.0062310347609299,0.761306210839693,0.964065788589125,0.691017796187191,0.256637976305376,0.375039432922733,0.914488887966971,0.504206704179429,0.0342280128648341,29.2088406624961,29.1195930457188,29.0521221663035,29.0348287150621,29.0509646637289,29.0450183880505,28.9769175107808,28.9667089922906,28.9319433513221,29.1685675932617,29.3289530104934,29.2694661533257,28.9625929108495,29.2726618604663,29.2324845894024,28.8733444962999,28.8508381212349,28.8838596261185,29.2829481485092,29.267854834895,29.251097196077,29.1329841099332,29.2333889429098,29.2497433203052,29.2211255577444,29.2874210325343,29.2365384209186
"sp|P19146|ARF2_YEAST",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0.32306018230001,0.349334116480681,0.790213747209705,0.340625949581005,0.0456098852253787,0.891822614149578,0.990263954220958,0.306780655007594,0.758623249569474,0.878674855538861,0.994092954940937,0.593158981166922,0.182625569752162,0.998060450431217,0.993970035362711,0.486241275328242,23.1801878939294,23.1402708008068,23.4024820484496,23.1472002820837,23.1170710682556,22.6497157657172,22.9997533038151,23.0073230351806,22.9364701058467,23.0909670359024,23.1511385040769,23.2655993275204,23.2454989481716,23.7119789121824,23.5305933573687,22.998444633138,22.6265973115603,23.2605248704193,23.038526324334,23.377092161008,23.3171858698517,23.4109586266665,23.2167687116237,23.2051694550736,24.7593994012441,23.3945294304196,23.2719212953693
"sp|P19262|ODO2_YEAST",4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,2,3,3,4,0.763250191727142,0.836144369446114,0.830524626395244,0.0191464721823585,0.66034681955125,0.562237612770742,0.820870923076857,0.190413504729557,0.946260683190281,0.964065788589125,0.994092954940937,0.14648185512735,0.81495974557911,0.925801930566578,0.952256779036751,0.353499145354409,24.983120157068,24.8633617679663,24.743193171117,25.1355412390143,24.8590049803443,24.8801794510178,23.3083773146072,24.4004666235682,24.4998631069372,24.8262056348012,24.7806009280275,24.7804433311297,24.7788882643775,24.7145730519005,24.9006068341075,24.5970820707562,24.2706865843987,24.4563464930451,24.9211436416762,24.8853336588676,24.9973622397673,25.0875401865047,25.2860423071097,23.6659291820041,24.5530591011462,24.5663134953564,25.0538995739813
