"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"P0AAB6",NA,NA,NA,-23.1245677826,-23.0593382569,-23.5815328594,NA,NA,NA,2,2,2,NA,NA,NA
"P0AAC0",NA,NA,NA,-21.5327779909,-22.3361503204,-21.5480605326,NA,NA,NA,2,1,3,NA,NA,NA
"P0AAI5",NA,NA,NA,-22.9878064756,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA
"P0AAI9",NA,NA,NA,NA,NA,-20.9071930779,NA,NA,NA,1,1,3,NA,NA,NA
"P0AAV6",-21.8176257202,NA,-22.0089607302,-22.0174307359,-21.6606225964,NA,1,1,1,1,1,1,0.790990080506038,0.915881561238223,-0.0742665590500025
"P0AB28",NA,NA,NA,NA,NA,-22.6454258724,NA,NA,NA,1,1,1,NA,NA,NA
"P0AB55",NA,NA,NA,NA,-21.3738460851,-21.4738960573,NA,NA,NA,1,1,1,NA,NA,NA
"P0AB71",NA,-22.0294362403,-23.09191711,-20.8441074354,-20.0384925722,-20.5918184627,1,2,1,5,7,9,0.00425388154111558,0.0606060606060606,-2.06920385171667
"P0AB77",NA,NA,NA,-22.0429970164,-21.3271928238,-21.1298881982,NA,NA,NA,5,8,6,NA,NA,NA
"P0AB89",NA,NA,NA,-23.9842915445,-21.7014159487,-21.9434682786,NA,NA,NA,3,4,6,NA,NA,NA
"P0ABA4",NA,NA,NA,NA,-21.5633339553,-22.216304986,NA,NA,NA,NA,1,1,NA,NA,NA
"P0ABA6",NA,NA,NA,NA,-22.5440570455,NA,NA,NA,NA,1,3,1,NA,NA,NA
"P0ABB0",-23.6308712495,NA,-23.4509895182,-20.7952854098,-20.3930202785,-20.163619652,3,7,8,23,16,23,8.88441633122484e-05,0,-3.09028860375
"P0ABB4",NA,NA,-23.8830967235,-21.2539553786,-21.1183575338,-20.9467554357,2,NA,3,7,8,9,NA,NA,NA
"P0ABD5",NA,NA,NA,-22.9601774378,NA,-22.4002817148,NA,NA,NA,1,NA,5,NA,NA,NA
"P0ABE2",NA,NA,-22.186577189,-21.1487776071,-20.440005086,NA,1,NA,2,1,2,1,NA,NA,NA
"P0ABF6",NA,NA,NA,-23.4939444156,NA,NA,NA,NA,NA,1,4,2,NA,NA,NA
"P0ABH7",-21.8843027738,-21.6595450034,-22.5359011613,-21.229313995,-21.8240310344,-21.2455176934,2,4,4,6,5,8,0.136975991949396,0.457645764576458,-0.593628738566668
"P0ABK5",-21.4749336483,-21.1528338142,-22.017850948,-19.945561865,-19.833745256,-20.2288479504,5,6,5,11,11,11,0.00497383553766532,0.0642201834862385,-1.54582111303333
"P0ABP8",-22.5489102497,NA,NA,-20.9198544099,NA,-22.4198955745,2,2,NA,5,7,5,NA,NA,NA
"P0ABQ4",NA,NA,NA,-22.4526141021,-22.4515980547,NA,NA,NA,NA,1,1,1,NA,NA,NA
"P0ABS1",NA,NA,NA,-21.5681253628,-21.365518695,-21.5260402975,NA,NA,NA,1,1,1,NA,NA,NA
"P0ABT2",-19.9696782877,-19.5722929562,-19.9216590839,-18.5469128421,-18.3805388086,-18.526258669,7,6,6,15,16,17,0.00396362852213916,0.0606060606060606,-1.3366400027
"P0ABU2",NA,NA,NA,NA,-23.0417174241,NA,0,0,0,NA,1,0,NA,NA,NA
"P0ABU5",NA,NA,NA,-21.126790684,-21.015865336,-22.5906504574,NA,NA,1,3,3,2,NA,NA,NA
"P0ABZ6",NA,NA,NA,NA,NA,-24.0219888477,NA,NA,NA,3,1,3,NA,NA,NA
"P0AC19",NA,NA,NA,-21.9744404344,-20.8760129759,NA,NA,NA,NA,1,2,1,NA,NA,NA
"P0AC33",NA,-24.6535619133,NA,-21.5940607339,-20.9380708373,-20.9649414175,5,3,1,23,20,17,NA,NA,NA
"P0AC38",-21.824885812,-21.4479707475,-21.6729396694,-20.128147026,-20.7203771296,-19.9068980872,6,6,6,17,18,24,0.00678594019551466,0.0846153846153846,-1.3967913287
"P0AC41",NA,NA,NA,-24.3316850403,-21.7179836194,-22.1035770433,1,1,NA,5,7,7,NA,NA,NA
"P0AC62",NA,NA,NA,-21.2873519373,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
"P0AC69",NA,NA,NA,-20.1783138962,-20.2977517009,-21.1267210143,NA,NA,NA,3,3,3,NA,NA,NA
"P0ACA3",NA,NA,NA,-20.0590796737,-21.4397230968,-20.7446344552,NA,NA,1,6,4,5,NA,NA,NA
"P0ACB2",NA,NA,NA,NA,NA,-23.5278430805,NA,NA,NA,NA,NA,1,NA,NA,NA
"P0ACC3",NA,NA,NA,-21.9146060665,NA,-21.8424058408,NA,NA,NA,2,NA,1,NA,NA,NA
"P0ACD4",NA,NA,NA,NA,-20.7793686647,-21.8215214535,NA,NA,NA,NA,3,3,NA,NA,NA
"P0ACE7",NA,NA,NA,NA,-21.2721798967,-21.4696385679,NA,NA,NA,1,2,1,NA,NA,NA
"P0ACF0",NA,-20.7493320877,-20.0852865129,-17.8995374912,-18.2973761543,-18.318892751,2,2,4,9,7,9,0.000977142035652674,0,-2.2453738348
"P0ACF4",NA,NA,-20.4133622659,-20.4747477758,-21.1444908867,-19.5910011147,NA,NA,2,3,2,5,NA,NA,NA
"P0ACF8",-20.253291124,-20.9674259197,-20.5392693793,-19.1578088297,-19.4758193512,-20.0944073233,5,4,6,11,8,11,0.0309738355376653,0.198347107438017,-1.01065030626667
"P0ACI6",NA,NA,NA,-22.3214926558,-20.8405399255,NA,NA,NA,2,3,5,3,NA,NA,NA
"P0ACJ0",NA,NA,NA,NA,NA,-22.2400264944,NA,NA,NA,2,1,1,NA,NA,NA
"P0ACJ8",NA,NA,-23.0617324305,-22.2004204296,-22.282029504,-20.7273912719,NA,1,2,3,4,5,NA,NA,NA
"P0ACY1",NA,NA,NA,-21.4292041985,-22.0827830254,-21.0573785959,NA,NA,NA,4,2,3,NA,NA,NA
"P0AD33",NA,NA,NA,NA,NA,-21.8374368103,NA,NA,NA,1,2,1,NA,NA,NA
"P0AD49",NA,NA,NA,-20.2535063735,-21.5515583827,-20.7555198693,NA,NA,NA,2,2,2,NA,NA,NA
"P0AD61",-23.6548269736,-24.0709006264,-22.6546863553,-20.3485935117,-20.7849437277,-21.182971175,6,4,7,21,15,19,0.00106598619896492,0,-2.68796851363334
"P0ADE8",NA,NA,NA,-23.6793299213,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"P0ADG7",-23.6212108832,NA,NA,-22.9992716544,-21.8724061696,-22.6048351897,1,1,NA,8,7,6,NA,NA,NA
"P0ADN2",NA,NA,NA,NA,-19.4294418837,-20.1736470167,NA,NA,2,1,4,4,NA,NA,NA
"P0ADU5",NA,NA,NA,-22.462193299,-22.3387830808,NA,NA,NA,NA,2,3,1,NA,NA,NA
"P0ADY3",NA,NA,NA,-21.7461633269,NA,-21.6849470975,NA,NA,NA,4,NA,2,NA,NA,NA
"P0ADY7",-21.9148391797,NA,-22.0480565931,-20.7584805579,NA,-21.0585186821,1,1,1,2,1,2,0.0113227429557217,0.125628140703518,-1.0729482664
"P0ADZ4",NA,NA,NA,NA,NA,-21.8234895236,1,1,1,NA,1,1,NA,NA,NA
"P0AE08",-19.8477562835,-19.6671044666,-19.5927173588,-18.6699476295,-18.6828376634,-18.8696938022,9,8,8,15,15,17,0.0116181713628522,0.125628140703518,-0.961699671266665
"P0AE12",NA,NA,NA,NA,-24.3220053355,NA,0,0,0,0,2,0,NA,NA,NA
"P0AE18",NA,NA,NA,NA,NA,-23.1841657446,NA,NA,NA,1,1,2,NA,NA,NA
"P0AE52",NA,NA,NA,-20.9720956426,NA,-22.4113635808,NA,NA,NA,3,4,3,NA,NA,NA
"P0AED0",NA,NA,NA,NA,NA,-21.6123910662,NA,NA,NA,NA,NA,1,NA,NA,NA
"P0AEE5",-20.763492988,-20.7170972095,-21.0785747899,-19.3475076526,-18.9206420923,-19.1332647901,10,11,9,23,25,27,0.00152918343875791,0.0212765957446809,-1.7192501508
"P0AEK2",NA,NA,NA,-20.7358777701,-22.3447398639,-22.8315476187,NA,NA,NA,4,6,2,NA,NA,NA
"P0AEM9",NA,NA,NA,-21.5822037848,-22.3866711312,-20.4404086678,4,4,4,10,9,10,NA,NA,NA
"P0AEP3",NA,NA,NA,NA,NA,-23.2136270891,NA,NA,2,5,2,3,NA,NA,NA
"P0AEQ3",-21.7746548255,-21.5191111956,-20.9884430241,-19.5756187353,-19.7746463391,-19.3010964076,3,5,5,8,10,16,0.00202602070155262,0.0384615384615385,-1.87694918773333
"P0AES4",NA,NA,NA,-22.9466751786,-24.3218423932,-23.1295985037,NA,NA,NA,6,4,7,NA,NA,NA
"P0AES6",NA,NA,NA,-24.6695340841,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"P0AES9",-21.2160551427,-20.730821971,NA,NA,-21.1700533579,-21.0643488863,1,1,NA,1,1,2,0.648783352501438,0.865712074303406,0.14376256525
"P0AET2",NA,NA,NA,NA,-21.9469892376,-21.1484964188,NA,NA,1,1,2,3,NA,NA,NA
"P0AET8",NA,NA,NA,NA,NA,-23.0015952886,NA,NA,NA,NA,2,2,NA,NA,NA
"P0AEU0",NA,NA,NA,-22.9808886153,NA,-23.0978792712,NA,NA,NA,2,2,2,NA,NA,NA
"P0AEU7",NA,NA,NA,-21.7750023949,-20.9516658907,-20.3762313604,NA,2,NA,3,4,3,NA,NA,NA
"P0AEX9",-21.0072310827,-20.1156240021,-21.0074258014,-18.7275699,-18.8332026544,-19.4096126806,7,16,10,37,29,26,0.00491460609545716,0.0642201834862385,-1.71996521706667
"P0AF36",-20.5505761467,-20.759047127,-20.6126366965,-20.1380310831,-19.9599603367,-20.4870462706,1,1,1,2,2,2,0.158909286946521,0.48502994011976,-0.445740759933333
"P0AF93",NA,NA,-21.7669978374,NA,-21.4150176711,-21.9958377301,1,1,1,3,3,3,NA,NA,NA
"P0AF96",NA,NA,NA,NA,NA,-22.0989864443,NA,NA,NA,NA,1,2,NA,NA,NA
"P0AFF6",NA,NA,NA,-21.0484175361,-22.6285648661,-22.4799008615,NA,NA,NA,12,8,9,NA,NA,NA
"P0AFG0",NA,NA,NA,-21.9769968313,-22.2369162208,-22.5488836095,NA,NA,NA,1,2,2,NA,NA,NA
"P0AFG3",-24.1344984352,NA,NA,-22.9696687433,-21.8445391617,-22.2829679544,3,3,2,13,13,13,NA,NA,NA
"P0AFG6",NA,NA,-23.2918731946,-22.9026086369,-22.0007927549,-21.0632577252,2,1,1,8,7,8,NA,NA,NA
"P0AFG8",NA,NA,-24.6767086812,-21.5780424509,-21.9956394167,-21.4167003413,NA,NA,1,13,10,18,NA,NA,NA
"P0AFH8",-21.3086669987,-21.5532174103,-20.9674366594,-19.0473119794,-19.0952063045,-18.9651476913,5,3,4,13,12,13,0.000386428982173663,0,-2.24055169773333
"P0AFP6",NA,NA,NA,NA,-22.3087104319,-22.5932820894,NA,NA,NA,NA,1,1,NA,NA,NA
"P0AFZ3",NA,NA,NA,-22.5108102174,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P0AG18",NA,NA,NA,-21.5001199277,-20.6856954693,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"P0AG30",NA,NA,NA,-23.1188788121,NA,-23.2055410265,NA,NA,NA,3,2,1,NA,NA,NA
"P0AG44",NA,NA,NA,-21.600376428,NA,-22.2692074704,1,1,NA,3,3,1,NA,NA,NA
"P0AG48",NA,NA,NA,-21.3185491773,-21.1820026749,-20.5396804721,1,1,NA,2,2,2,NA,NA,NA
"P0AG55",-21.5140411176,-22.3045135765,-21.2678582994,-20.1266242833,-20.1534356409,-20.2111457096,3,2,3,6,6,9,0.00591776883266245,0.078740157480315,-1.53173578656667
"P0AG59",-21.1934199218,NA,-21.7484644439,-21.1704639474,-20.1900466392,-21.3954025456,1,NA,1,1,2,2,0.238053622771708,0.576153846153846,-0.552304472116671
"P0AG63",-20.6444928685,-20.6177232202,-20.7813065855,-19.5563168778,-19.1628280676,-19.1190540521,2,2,2,3,4,5,0.00352530189764232,0.0454545454545455,-1.4017745589
"P0AG67",-21.696498219,-23.5726657932,-21.94453254,-20.3654175667,-21.2223957319,-20.7096548292,7,4,8,17,19,20,0.016382403680276,0.144,-1.63874280813333
"P0AG80",NA,NA,NA,-20.7050621831,-20.9380362394,-21.3793202807,NA,NA,NA,7,6,7,NA,NA,NA
"P0AG86",NA,NA,-22.0378258698,-20.4279646572,-20.4005557715,-20.6719765361,NA,1,1,2,3,4,NA,NA,NA
"P0AGD1",NA,NA,NA,-21.9696774943,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P0AGE0",NA,NA,NA,-21.3721695376,NA,-21.5246572604,NA,NA,NA,3,3,3,NA,NA,NA
"P0AGE9",-21.9130039312,-22.0668849713,-21.2413813468,-20.7101201308,-20.0074422424,-19.849732087,2,5,6,11,12,16,0.00738786658999425,0.101449275362319,-1.55132526303333
"P0AGJ9",NA,NA,NA,-22.4988657639,NA,-22.4305873025,NA,NA,NA,2,2,3,NA,NA,NA
"P0C018",NA,NA,NA,-20.6307904151,NA,NA,NA,NA,1,3,7,2,NA,NA,NA
"P0C0L2",NA,NA,-21.7745466227,-21.5698849141,-19.9168023586,-20.5317976678,1,1,1,6,6,4,NA,NA,NA
"P0C0S5",-20.2086274637,-20.38847682,-19.6506658577,-20.4393182512,-19.8131825444,-20.558247117,32,30,30,32,37,36,0.59473116733755,0.845994188459942,0.187659257066667
"P0C0T4",-21.3260554301,-20.3745761029,-21.5368466649,-21.1231089993,-21.3297781537,-20.5173900946,4,4,3,4,2,3,0.808414606095457,0.923153362040411,-0.0890669834333337
"P0C0V0",NA,NA,NA,NA,NA,-24.0180004506,NA,NA,NA,1,1,6,NA,NA,NA
"P0C0V8",NA,NA,-21.6918605652,NA,-19.9011534609,NA,11,1,1,4,5,7,NA,NA,NA
"P0C0W1",-19.1555422329,-19.4531642015,-19.8136340145,-19.581567914,-19.9833213771,-19.2643559612,14,14,12,8,5,9,0.677406843013226,0.870557426112982,0.135634934466665
"P0C0W9",-19.6477932329,-19.635432295,-20.2004562345,-19.9176683202,-20.317271881,-19.6405350396,10,9,10,6,8,8,0.68381914893617,0.874534623976173,0.130597826133332
"P0C0X0",-18.8160753412,-18.6910137547,-19.1951998414,-18.9844414438,-19.5642741191,-19.7719760594,10,8,8,7,7,6,0.147591719378953,0.468062827225131,0.539467561666665
"P0C2H6",-18.383050029,-18.3481723005,-18.3060509509,-19.1584097673,-18.5304180347,-18.9276225282,17,19,19,13,16,15,0.116190051753882,0.425814234016888,0.526392349933332
"P0C2H8",-22.5985050798,NA,NA,NA,NA,NA,10,15,13,9,8,8,NA,NA,NA
"P0C2H9",NA,NA,-21.7467484235,NA,NA,NA,9,1,1,7,8,6,NA,NA,NA
"P0C7M4",-21.2987233672,-21.5512272523,-22.9448048181,-21.7832930785,-21.8659703282,-22.4175136908,4,3,3,3,4,4,0.825160868315124,0.930247718383312,0.0906738866333328
"P0C8J6",NA,NA,NA,NA,NA,-23.7169721493,NA,NA,NA,1,1,2,NA,NA,NA
"P0C8J8",NA,NA,NA,NA,-23.3883410806,-24.4074387332,NA,NA,NA,NA,2,1,NA,NA,NA
"P0CE47",-19.1609704151,-19.8688829159,-19.7358204443,-17.8791400813,-17.8049318725,-17.8822624471,21,23,31,55,64,64,0.00223174238067855,0.0454545454545455,-1.7331131248
"P0CG12",NA,NA,-24.1840538377,NA,NA,NA,3,NA,3,2,1,2,NA,NA,NA
"P0CG38",NA,NA,NA,NA,-24.6908568078,NA,67,59,81,69,76,86,NA,NA,NA
"P0CS90",-19.4398389385,-19.4661738301,-19.9795175356,-20.0081359511,-20.3943842072,-19.9230048925,55,62,50,38,33,43,0.163444795859689,0.494634146341463,0.479998248866668
"P0CT04",-18.3642408024,-18.4967446969,-17.9267701681,-21.4859184802,-19.0153577984,-19.9999297886,7,6,9,6,5,7,0.0131290971822887,0.125628140703518,1.9044834666
"P0CX23",-18.342659846,-18.8253167199,-18.9337454301,-19.0392674619,-19.1780226507,-19.2470734232,26,23,24,17,15,15,0.164870040253019,0.496116504854369,0.454213846600002
"P0CX25",-18.6404812205,-18.9635681155,-18.790211243,-19.4608423297,-19.4135788221,-20.600674563,7,7,8,5,6,5,0.035938757906843,0.211586901763224,1.02694504526666
"P0CX27",-20.8837738612,NA,NA,NA,NA,NA,2,1,3,1,2,1,NA,NA,NA
"P0CX29",-21.4385646663,-21.7480398019,NA,-22.6394409351,-22.3021005399,-22.7780664464,6,8,6,6,5,5,0.019607964347326,0.150537634408602,0.979900406366667
"P0CX31",-19.0753809254,-19.2048732686,-19.3788813882,-19.6089760812,-19.5109778602,-19.331705254,11,9,11,9,10,10,0.343079212190914,0.700183936235438,0.264174537733332
"P0CX33",-20.4637965102,NA,NA,-21.0490107648,NA,NA,1,1,1,2,2,2,NA,NA,NA
"P0CX35",-19.3291362836,-19.3422141878,-18.8949285966,-19.7959554738,-20.1500383122,-19.6392027284,29,36,38,24,24,23,0.0642987349051179,0.312068965517241,0.672972482133332
"P0CX37",-18.5632755375,-18.6786956437,-18.7922020572,-19.1022862465,-18.7081053814,-19.4061381507,23,21,19,14,18,14,0.22988269120184,0.566587864460205,0.394118846733331
"P0CX39",-18.7935532134,-19.2832132795,-19.4163369702,-19.374721623,-18.9015351821,-19.0240002882,10,12,7,8,9,9,0.823464203565267,0.928851174934726,-0.0642821232666684
"P0CX41",-18.5460173815,-18.0675714166,-18.1267982977,-18.7046423695,-19.5796551529,-19.5721764438,20,26,22,16,16,16,0.026274583093732,0.174846625766871,1.03869562346667
"P0CX43",-19.2675012362,-19.3272107494,-19.556452098,-20.9720589957,-20.8063491631,-20.3734352169,15,15,16,6,7,11,0.00574079930994825,0.0775862068965517,1.33355976403333
"P0CX45",-19.372282711,-19.3645278123,-19.5668312816,-20.0379376924,-20.121756005,-19.9380393818,15,19,13,7,9,10,0.0514002300172513,0.268924302788845,0.598030424766666
"P0CX47",-18.8451438367,-18.4839219398,-18.4322148205,-19.6708440549,-18.940025462,-19.0044856767,16,15,17,12,13,13,0.102272857964347,0.402088772845953,0.618024865533332
"P0CX49",-19.0944660273,-20.0957052786,-20.1364312686,-20.6071659059,-19.8530337789,-20.5700024208,16,19,19,15,13,18,0.188026739505463,0.518352730528201,0.567866510366667
"P0CX51",-19.0239564719,-18.3482955754,-18.4081789737,-18.7097031319,-19.3642207398,-19.0763306641,22,20,18,17,17,14,0.211500575043128,0.544472152950956,0.456607838266667
"P0CX53",-18.9191220617,-18.5651719091,-19.3862829057,-19.21093791,-19.4963679625,-19.7224727683,12,17,12,9,9,11,0.160156267970098,0.487128712871287,0.519733921433332
"P0CX55",-18.7205619548,-18.7239182677,-18.6818456008,-20.0119891938,-20.9465482422,-19.7693362524,24,27,25,16,24,19,0.00747541690626797,0.101449275362319,1.53384928836667
"P0CX82",-18.8077483711,-19.082195845,-19.4200239387,-19.490496159,-19.8785825049,-19.2338001158,15,19,14,12,10,12,0.219745543415756,0.551417004048583,0.4309702083
"P0CX84",-19.7442292117,-19.8303627126,-20.8536084207,-19.8906853986,-20.1630805582,-20.0555567634,6,4,8,3,5,6,0.762677975848189,0.904712762297902,-0.106292541599998
"P0DMM9",-23.2353825463,-23.1761299467,NA,NA,-23.3210121878,NA,3,3,1,1,1,2,NA,NA,NA
"P0DMU9",-22.5608500868,-22.4989798163,-22.8817133318,-22.5536877496,NA,-22.8851689608,3,3,3,2,2,2,0.794622052903968,0.916862219242373,0.0722472769000007
"P0DMV8",-18.2630292288,-18.3783010391,-18.5417395363,-18.0877087485,-18.2807403608,-18.4572206586,132,123,134,126,125,130,0.654683870040253,0.867794004611837,-0.119133345433333
"P0DP23",-19.0045430743,-19.2826264352,-18.1902423341,-18.7466091138,-19.519180845,-18.0853847205,18,21,25,21,16,30,0.90447067280046,0.954047474132684,-0.042079054766667
"P0DPB6",-21.4235016193,-20.0053872543,-19.5375005692,-20.5621174321,-19.5025347433,-19.9291821811,2,4,4,3,4,3,0.514747412305923,0.809940174873447,-0.324185028766667
"P0DTT0",NA,NA,NA,NA,-21.8958037958,-23.3561555672,NA,NA,NA,3,5,4,NA,NA,NA
"P10080",-20.1105546976,-19.9116606761,-20.897996883,-20.5864022897,-20.8840136226,-21.8664094636,12,10,7,6,7,5,0.0997760207015526,0.392904073587385,0.805537706400003
"P10081",-18.5592700851,-18.6363952648,-18.7073350353,-19.3816894055,-18.8338403465,-19.0380789102,30,30,32,21,24,26,0.154545859689477,0.473684210526316,0.450202759
"P10155",-22.9206765736,-21.8605806632,-22.0484762973,-21.6437339018,-22.4639459548,-21.384549317,7,7,13,9,9,17,0.305908424381829,0.665565102445473,-0.445834786833334
"P10398",NA,NA,NA,-24.1255824012,NA,-23.4277954832,3,1,4,3,2,2,NA,NA,NA
"P10412",-21.8920516607,-21.8735112463,-22.2183914537,-21.262032333,-21.9510056647,-20.8736735393,4,3,3,3,5,4,0.120648217366302,0.43211334120425,-0.632414274566667
"P10507",NA,-23.9818619756,-24.0843948653,NA,NA,NA,3,2,2,1,1,1,NA,NA,NA
"P10515",-21.0368024753,-20.9492828726,-21.3523532539,-21.9113615639,-21.5526675938,-21.7827056707,13,10,14,12,9,14,0.0616640310523289,0.301785714285714,0.636098742200002
"P10591",-19.0370695942,-18.9728743922,-19.1164982967,-19.5591312069,-19.4311230712,-19.5327156526,142,138,161,112,104,122,0.0921135710178263,0.382228490832158,0.465509215866664
"P10592",-19.4047094733,-19.5973820628,-19.6612976173,-20.1634116144,-20.2672483703,-20.2938374377,132,132,146,101,104,120,0.0331582806210466,0.205194805194805,0.687036089666666
"P10599",-18.2874211952,-18.6444410279,-18.8592199746,-18.6504921463,-18.3464778933,-18.6641987753,14,14,16,15,13,12,0.867361989649224,0.940738442444927,-0.0433044609333315
"P10606",-21.4779855613,-20.1106758972,-20.7993820175,-21.5572495979,-20.4620895902,-20.8056213327,2,5,3,5,4,5,0.724417337550316,0.891940085592011,0.145639014933334
"P10614",-24.3279275214,-23.6974752817,-23.0692379319,NA,NA,NA,5,3,4,1,1,3,NA,NA,NA
"P10622",-18.9168189909,-18.6648908656,-19.3165895312,-20.2114026348,-19.7593785298,-19.0135425032,3,5,4,2,1,3,0.11357892466935,0.418491484184915,0.695341426700001
"P10644",-23.2462165496,NA,NA,NA,-23.2606170446,-22.3355704627,5,7,7,5,6,9,NA,NA,NA
"P10659",-20.4758083931,-21.3054917992,-20.5846245598,-21.1703926061,-20.9311819444,-21.0237180255,8,5,6,5,6,5,0.454612133410006,0.768922305764411,0.253122607966667
"P10664",-22.6658725006,NA,-22.0244492324,-23.1023040967,-22.7190084287,NA,29,1,31,23,23,2,0.170023289246693,0.498570066730219,0.565495396200003
"P10746",-21.4675466315,-20.9752059867,NA,-20.8560709412,-22.7260108096,-23.0029777199,3,4,1,4,3,5,0.143727573317999,0.462845010615711,0.973643514466666
"P10768",-18.8376118816,-18.8426047855,-19.3037573299,-19.4459679285,-19.2074045078,-19.0303161379,20,22,21,19,18,21,0.446652530189764,0.765632943568887,0.233238192399998
"P10809",-17.6586052003,-17.8978711289,-17.7988988096,-17.4511777289,-17.4339930276,-17.6277819424,88,99,95,99,100,111,0.296790828062105,0.658322056833559,-0.280807479966668
"P10823",NA,-23.9274223457,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"P10869",-22.580394586,-23.9969559697,-23.8150511232,-23.618810417,NA,NA,3,3,5,3,2,1,NA,NA,NA
"P10964",-22.5585479447,-23.5207392457,-23.6215653284,-24.3462099906,-24.5960219607,-25.3906952469,14,13,11,8,5,2,0.0116477860839563,0.125628140703518,1.54402489313333
"P11021",-19.332652884,-19.2638653335,-19.2776233115,-18.9923902099,-19.1291222983,-19.0075088797,44,41,52,45,51,55,0.315686889016676,0.672067401166559,-0.248373380366665
"P11075",-23.3038753827,-23.3876442465,-23.2002754922,NA,-25.5005193626,-26.5184429386,15,12,9,3,6,4,0.000533352501437608,0,2.71221611013333
"P11076",-21.1560402903,NA,NA,-20.3292501085,-20.9414817623,NA,16,18,2,12,10,9,NA,NA,NA
"P11142",-17.3645892941,-17.321185398,-17.1600967899,-17.3218531833,-17.2239630893,-17.1128239328,193,196,213,206,199,217,0.789801035077631,0.915459750757831,-0.0624104255333329
"P11154",NA,-23.4216157689,-23.1410406201,NA,NA,-23.9447169551,2,5,25,1,16,3,NA,NA,NA
"P11166",-21.8772634821,-22.3733336629,-22.0917317148,-23.1419018966,-21.4222693348,-21.6635471714,7,5,7,5,5,5,0.913818861414606,0.959406240533172,-0.0382034856666671
"P11171",-20.6008275631,-20.6867220202,-20.4161933759,-20.9438302926,-20.5377785841,-20.8587729289,20,15,21,17,23,17,0.455839994249569,0.769230769230769,0.212212948800001
"P11172",-22.5273742134,-21.7137939809,-21.406890028,-21.4431653182,-20.9361628455,-21.2983151873,8,11,10,9,10,11,0.120789246693502,0.43211334120425,-0.6568049571
"P11177",-21.1476697293,-20.9763407273,-21.1928093745,-20.8320049983,-21.0809500552,-21.0715776338,10,11,9,10,13,12,0.662308366877516,0.868089973313,-0.110762381266667
"P11216",NA,NA,NA,NA,NA,-23.7454462416,4,3,2,1,3,5,NA,NA,NA
"P11233",-22.2588492025,-22.1539630587,NA,-22.3697471716,-22.2440974063,-21.5156518354,3,1,0,3,3,6,0.647504456584244,0.865712074303406,-0.163240659500001
"P11234",-22.6197661721,NA,NA,NA,NA,NA,1,5,2,2,2,1,NA,NA,NA
"P11274",-23.2266951959,-23.4752720281,-24.1879832643,-24.1837084303,NA,-24.5595592389,8,7,8,11,9,4,0.0952997412305923,0.39047619047619,0.741650338500001
"P11277",-24.3814241314,-23.5479204654,-23.7873234549,-23.5701356144,-23.0952414417,-23.3798547868,17,14,18,18,17,16,0.139396204715354,0.46096256684492,-0.557145402933333
"P11279",-23.6814209429,NA,NA,NA,NA,NA,3,5,2,2,3,3,NA,NA,NA
"P11310",-21.3942339937,-20.762004079,-21.7259400749,-21.1286533073,-21.57798934,-21.2535317891,9,13,11,10,13,11,0.921788240368028,0.960949234004206,0.0259987629333303
"P11353",-22.022546387,NA,-23.3285031307,NA,NA,NA,4,5,7,1,NA,1,NA,NA,NA
"P11387",-22.8099177944,-23.7703752742,-24.8440155198,-22.1034011235,-23.3588607182,-22.7296340201,8,12,13,13,11,11,0.0729703852788959,0.336569579288026,-1.07747090886667
"P11388",-24.4261687458,-24.6033670866,NA,-25.6290847066,-25.5454271333,-23.8659736487,4,10,7,5,11,7,0.369844163312248,0.713871154962275,0.498727246666665
"P11412",-19.8401147508,-19.7512060043,-20.564313832,-19.9562959689,-20.5675315536,-20.524400418,22,22,25,15,10,17,0.415526020701553,0.752150537634409,0.297531117800002
"P11413",-18.9658669867,-19.2234345836,-19.0764575905,-18.8627309403,-18.6476007623,-18.9693224054,36,37,45,43,41,47,0.347769407705578,0.701775872627067,-0.262035017599999
"P11441",-22.0350515276,-20.7633533538,-20.6668070202,-21.1888728172,-22.0537557784,-20.3044246198,5,8,7,5,5,6,0.937348332374928,0.962930011862396,0.0272804379333316
"P11484",-21.7870292486,-21.8709715913,-21.9142514138,-21.8559601782,-22.627558276,-21.7340677712,64,5,5,3,2,5,0.526957159286947,0.81781557743957,0.2151113239
"P11491",-23.2576894063,NA,-22.6930794239,NA,NA,NA,4,3,3,2,2,2,NA,NA,NA
