"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"P17891",9,10,10,5,6,7,22.067631714291,20.9314614062901,-0.831496084147331,7.43877715067195e-11,1.36800926136748e-09
"Q9H0A0",14,14,15,15,14,17,21.096757744846,21.0135365536304,0.0740835339760296,0.229893893906244,0.458192414366387
"O14964",7,7,7,7,8,8,21.2262295215269,21.1395145944805,5.18724650037876e-11,0.999990445769969,1
"Q9UI10",5,4,9,8,6,9,20.9671599200371,20.735885333252,-1.63402360930824e-18,0.999999998578218,1
"Q9Y5X1",6,6,11,6,8,7,20.9092042586721,20.8721137393803,0.00724337679795453,0.772313526792216,1
"P43535",7,8,8,NA,NA,NA,20.70699209189,19.2768799188195,-1.23138697655525,8.57395128375172e-07,7.96713290064112e-06
"Q16576",8,8,10,8,11,10,21.6952879767474,21.6836488871087,0.0708292970393205,0.284321876309888,0.543123728977051
"P53090",13,12,13,11,12,13,22.4903235098462,21.5479637662032,-0.785045038777823,1.89599518226649e-18,8.70179354087178e-17
"Q8IY67",10,10,11,9,12,11,21.8096074275778,21.7168699828189,0.0405571693239149,0.360015389152702,0.660007371986094
"P34896",6,NA,3,7,NA,NA,19.6152933584983,19.6591348151421,0.198822403753902,0.151913493910894,0.327934323460817
"P28331",17,16,21,21,18,16,20.862480355081,20.9041360650406,0.14707473211795,0.130897596564059,0.290773364758039
"P40477",NA,NA,4,NA,NA,NA,18.9993688930093,18.8738930070636,-1.42903835301681e-20,0.99999999994408,1
"Q9Y314",8,8,9,9,8,10,21.1177133638165,21.0709400128576,0.0431267310475468,0.439431070069431,0.774808867261153
"P30041",22,24,23,22,22,22,22.237008883402,22.2700007230626,0.228683066452363,0.00326132322845494,0.012712898079605
"P0A6Z3",NA,NA,NA,9,9,9,19.996616801808,20.9769673843789,0.696228005753204,0.00170577896431514,0.00715667835743665
"Q5JTH9",14,13,12,17,13,14,20.3707400095625,20.2567239817803,4.26053764539769e-20,0.999999999557847,1
"P11075",14,11,11,NA,6,NA,20.1359748392679,19.3749407485302,-0.586205027096641,2.84411189629666e-05,0.000191959368141353
"Q9BPX3",11,12,9,12,12,12,20.9022343378464,20.919258041409,0.00761369085983766,0.784190622781167,1
"Q9BY32",4,3,4,4,3,2,20.7008005939546,20.6935485977586,0.19747735139142,0.0356362314560404,0.0985786318789209
"P76621",NA,NA,NA,5,4,6,18.4810976630621,20.2687851116537,1.99374058185181,1.78619279933076e-09,2.60428883836126e-08
"P05055",NA,NA,NA,8,10,10,18.8666298493384,20.574364909513,1.73941972552791,3.20010393468191e-07,3.19889177410059e-06
"P07991",NA,7,7,NA,NA,4,21.5130948182862,20.4938593822627,-0.640328074048081,0.000312940827908973,0.0016483158762862
"P12268",20,21,21,19,22,22,23.0209327230186,23.0257758523387,0.163869655111772,0.0012152187117073,0.00530954003343636
"Q9BSJ8",14,11,13,10,13,18,20.5874771229904,20.5509461626275,0.0828595997560309,0.12652899083074,0.282615325266459
"Q03690",26,26,24,14,15,10,20.9381015756419,19.9475416355789,-0.770160562953935,2.10300073722905e-24,1.79026417598306e-22
"Q9UBQ5",6,5,5,5,5,7,22.9467984837857,22.9722254302238,0.224086110168665,0.00447853050874672,0.0167881278587821
"O95801",7,6,7,7,8,5,20.5939821650533,20.689286038332,0.126828015439254,0.23317702969067,0.462285577404983
NA,NA,NA,NA,NA,NA,NA,21.2562685533621,21.1835085567669,6.30528954651582e-20,0.999999999750714,1
NA,NA,NA,NA,NA,NA,NA,19.4563430806301,18.5503025432938,-0.388903131214687,0.162787571478525,0.347288925733086
"Q92552",9,6,7,7,4,5,20.0318531640532,19.9957898582179,7.59532893409557e-20,0.999999999339915,1
"P23368",2,1,3,NA,4,3,20.5999105167191,20.43805000388,2.76304745622092e-20,0.999999999873639,1
"Q03701",18,21,14,16,19,18,20.8175174488724,20.7769487197664,0.150287517671945,0.0214946621784814,0.0648649668256288
"Cont_Q2KJD0,P07437",10,9,7,9,10,10,23.4595586041973,23.5448242576063,0.313128464425753,0.00478990890522936,0.0178161657517975
"P35180",NA,3,5,4,3,4,21.7435542217108,20.7331889910163,-0.778730745214221,2.74987714744973e-06,2.28664809357776e-05
"P0AAC0",NA,NA,NA,2,NA,4,18.4252935967815,20.7491183800725,2.48908396700771,5.8097897261449e-05,0.000365470876064478
"P0CX82,P0CX83",6,7,6,5,6,6,25.6829938978223,24.5549796136244,-0.830222298423593,0.000346990882255117,0.00180435258772661
"O43156",2,NA,7,7,4,6,19.9557613762533,19.854353756592,4.79565886234738e-20,0.999999999616566,1
"P00127",NA,2,NA,NA,NA,NA,20.6575171696833,19.6606512191116,-0.822768453066034,6.89573143298615e-05,0.000423698143228183
"P48164",6,6,6,5,6,5,23.0017852184307,22.0636493420895,-0.574819549751203,5.40722399567606e-05,0.000343847328303352
"Q13618",5,10,11,10,9,7,19.9616436487639,20.1348061715158,0.292104021974528,0.0310732077819282,0.0879851881293009
"O95182",5,NA,NA,NA,5,4,20.3958686465562,20.4074968554493,1.47094261519851e-10,0.999977615688847,1
"O43143",19,21,17,20,20,22,21.3121139764723,21.3302870424927,0.246196956467285,0.000289289826339918,0.00154073834855912
"Q15154",16,14,16,18,20,18,20.1794670412299,20.1199787322612,0.0190171559876227,0.53571278771667,0.914158452495501
"Q14691",1,2,3,1,5,2,20.5551448432869,20.5093668650202,0.0186668601262264,0.875663498752632,1
"Q12100",NA,1,1,NA,NA,NA,19.8676034343933,19.3947189849584,-0.0906175240362145,0.5411443749176,0.921936736867364
"Q15404",3,NA,NA,4,4,5,19.1079101449417,19.29536818758,6.11509951462383e-11,0.999994517062676,1
"P22256",NA,NA,NA,8,6,7,19.7735473820592,21.5688815081039,1.93069678922415,7.1574604045468e-10,1.11109047103524e-08
"P47044",3,4,4,NA,NA,NA,20.7728685355651,20.1487681701091,-2.50039871712656e-09,0.999901047023591,1
"Cont_Q95121",3,4,4,6,6,5,20.5927319916324,20.4442226229669,-8.31157992698846e-20,0.999999999946919,1
"Q16531",23,29,27,24,27,33,21.3648050518238,21.3484855668538,0.103429853458537,0.0290180377833796,0.0831472331274037
"P17980",14,15,19,13,18,21,22.0023224795868,22.006853736751,1.36753139903301e-09,0.99991601297291,1
"P55010",13,10,16,14,11,14,20.8684298987076,20.8450750014357,0.1932863391539,0.184622498512046,0.384393509722517
"Q15369",7,6,8,8,6,8,21.3275228579819,21.3859091659205,0.169367216765505,0.205829753643388,0.419124012241436
"P98179",6,5,5,5,4,6,21.2533847147619,21.0840913103839,-2.46265362287434e-20,0.999999999859022,1
"Q9NRW3",4,4,4,4,6,5,20.5865313348863,20.6248493342779,0.0757920904119054,0.369769680339959,0.674609185217527
"Q92541",7,5,NA,7,5,5,20.7632703848336,20.5274535505334,-1.1583743080975e-20,0.9999999998841,1
"P0A953",NA,NA,NA,5,5,NA,19.0288279288087,20.235865573362,1.25476296934292,0.000146264316952071,0.000844620421086466
"Q14249",NA,7,6,6,NA,NA,20.5339320053245,20.5947418220877,0.0346872438990071,0.637779286066378,1
"Q9UNS2",7,7,7,8,8,4,19.9686689503543,19.9495464514824,0.142112735790653,0.105270639641028,0.242400210835587
"P40047",4,3,NA,NA,NA,NA,21.0480292968542,19.5752167954085,-1.1635609230255,0.00445481963050167,0.0167230000069615
"P38631",4,3,4,NA,2,NA,20.3180086373751,19.0799627283808,-1.13544244371996,2.88748008931474e-09,4.03177775433947e-08
"P33297",7,8,9,5,NA,NA,20.7173216490217,19.5421565041107,-0.876193423563046,2.86768880683531e-07,2.91070413893784e-06
"Q9Y4W2",15,17,15,15,18,14,20.7237971672447,20.6530511916252,0.0275794152296337,0.487087940511708,0.845952665357287
"P06169",47,45,54,33,36,38,24.0349321012376,23.0447387057546,-0.768288279731593,1.44426917956951e-31,2.30995537265693e-29
"Q9Y383",8,7,9,10,13,9,23.4779009002402,23.2258477406993,-3.16496495177073e-21,0.999999999969815,1
"Q9NQ50",5,NA,NA,3,NA,NA,19.9575383448616,20.5783485013631,0.235864320210411,0.248184797166698,0.48623584240751
"P21912",3,2,5,5,6,5,21.8687338056716,21.7287084058356,-2.20079282259215e-20,0.999999999869332,1
"O00487",6,6,10,6,10,12,20.5131701047892,20.5778505272189,2.74045719028662e-10,0.999952036371811,1
"P06733",24,25,23,26,18,24,21.6720702452201,21.734230618018,0.180084315519336,0.02117394493547,0.0640435996386308
"P0AFG3",NA,6,NA,15,12,13,18.9097639882768,20.4385633196576,1.87499564676215,5.17791761753202e-22,3.41613114816675e-20
"Q9UJU6",6,6,9,5,9,7,20.8639467138122,20.6722134868897,1.03192164698605e-19,0.999999999358753,1
"O95202",15,14,17,17,17,14,21.8636228390094,21.7276290518646,0.054351732092266,0.221631250743919,0.444441391119454
"Q9BSL1",8,10,9,12,11,11,21.1868437520226,21.3571250546085,0.31049705481514,0.00146114241549645,0.00624952161182354
"Q96TA2",7,8,8,4,6,7,20.6103890317803,20.554033345774,5.66474781295659e-19,0.99999999866292,1
"O75569",5,4,4,5,6,8,21.4930326312739,21.5069438056318,1.17477761140958e-19,0.999999999362783,1
"P40098",NA,3,1,NA,1,NA,19.7584067795545,18.7670063466269,-0.666577224529721,0.0043192090877605,0.0162601894188302
"Q9NVP1",13,15,16,14,14,18,20.9395458774405,20.9177491711346,0.109562400306816,0.161221886207063,0.344784892788039
"P22087",7,7,12,11,11,9,22.3796580991968,22.2812664814783,0.0372930532981899,0.413669699897071,0.738116523345754
"P15646",7,8,7,5,7,4,22.5024959386431,21.470783792769,-0.780231183704675,9.89506306931556e-10,1.49217551085279e-08
"Q53FZ2",NA,NA,NA,NA,NA,4,24.1578878903769,24.3007219222544,0.263955808954523,0.296137422436588,0.563045142514522
"Q9BQ75",NA,4,NA,NA,NA,NA,20.6088964434618,20.2920223694409,-1.33620985007166e-19,0.999999999446956,1
"P53199",4,4,3,NA,1,3,19.9400342893565,18.8584194809337,-0.859587014107155,2.4267464476546e-05,0.000166342438321052
NA,NA,NA,NA,NA,NA,NA,20.8988482472155,20.1194424820417,-0.308610956883303,0.171992835292901,0.363562760442871
"P49189",13,9,12,13,9,11,21.5133658963671,21.4979172526834,0.066615088167711,0.323608686685616,0.605461413798895
"P0AB71",NA,NA,1,4,4,4,21.2940382664137,23.0813040913429,2.17873342727564,1.95351608845628e-12,4.52221838371591e-11
"Q92900",29,28,32,34,35,35,21.5549309051414,21.5356188385153,0.0795710361834631,0.069496474136695,0.171965490151653
"Q00839",22,21,26,28,28,29,21.5267038796956,21.5539801253595,0.224149344989027,1.72975170938894e-05,0.000121728393628731
"Q9P2J5",22,24,23,34,30,36,21.125705355045,21.1344160425481,0.149432924800227,0.00347895367046956,0.0134914896934154
"P41543",NA,3,NA,1,NA,NA,20.5135302346769,19.6407446537354,-0.594217011506923,0.0079641170167315,0.0275817648387853
"Q76FK4",NA,NA,NA,8,NA,9,19.2824221930528,19.440240709877,0.0582165580110028,0.59650974428858,1
"Q14978",16,15,17,16,18,20,22.6764211424022,22.532146645129,1.35663972373131e-17,0.999999996697628,1
NA,NA,NA,NA,NA,NA,NA,23.6687163531334,23.7767280753991,0.23109043108881,0.122522886895155,0.274992020589292
"P00491",15,15,17,15,19,17,22.8639543492183,22.9397388942447,0.259605810872555,0.00143115716305715,0.00614117683464687
"P41810",9,9,12,5,11,7,20.4563381247531,19.8206890698216,-0.472632790873226,0.00832917824420513,0.028639350340661
"Q93050",NA,6,6,6,4,8,20.3074392305987,20.2119486762994,-7.79097159227868e-18,0.999999996262538,1
"O15372",9,7,8,9,9,10,21.5602919589505,21.4986222412106,0.156725246700928,0.106245074365504,0.243597524978771
"P07256",9,8,9,5,4,7,21.1558232829879,20.2170223065413,-0.740671442720981,8.00040204963459e-10,1.23108227457642e-08
"P35579",38,44,46,52,46,46,21.6504167219609,21.5930800022711,0.122374280263069,0.0518553113031548,0.134097174452744
"Q9ULW0",8,8,15,12,11,15,21.0766335483982,21.0939677941297,9.49326692801818e-12,0.99999667608894,1
"P40185",10,12,11,7,8,8,22.0655022862332,21.0514285020612,-0.820525265430164,1.931072259451e-13,4.97180457823531e-12
"Q9NY93",11,9,12,13,12,10,20.228506018693,20.0534697424537,-1.39503041364224e-21,0.999999999991132,1
"Q96HC4",13,11,11,10,13,13,21.386122497507,21.4007223403427,8.07083382834666e-10,0.999924721423222,1
"Q09161",11,14,13,11,15,17,21.1017858641154,20.9231265186315,1.41849402602914e-19,0.999999999395696,1
"P62995",6,5,7,6,5,5,22.566264402893,22.4464080060615,5.3184553419802e-12,0.99999534364339,1
"Q13595",2,4,3,4,3,4,21.785918812517,21.9155016149003,1.60977615620082e-08,0.999791426340347,1
"P62266",5,4,5,4,5,5,24.0396393588259,24.0103415685759,1.33233695252882e-19,0.999999999248795,1
"Q04119",1,1,NA,NA,NA,NA,19.8202437639221,18.4678718203372,-1.11243439813063,0.00096647364273219,0.00432658853803265
"P54839",10,9,7,7,8,6,22.4206512556753,21.7013431688574,-0.534234813294555,6.15699430660476e-09,8.12415398756498e-08
"Q12800",2,NA,NA,NA,2,5,20.737260155706,21.2020420689062,0.157458656505723,0.955628118038644,1
"P00890",9,10,10,7,9,7,21.4544210552391,20.5402795656762,-0.703435778174485,3.69095261600454e-08,4.30992210337875e-07
"Q99700",10,9,8,11,7,11,20.5276698965179,20.5204363596253,0.143745399333372,0.112772559117423,0.256226244951253
"P11938",5,4,3,NA,NA,4,20.1974307916455,19.0763213731444,-0.933077274225628,0.000199427472525861,0.00112454935896527
"Q9NSY1",4,3,5,3,5,4,20.2221177863576,20.2206639977418,0.158114823376875,0.075942404818408,0.184967241638928
"O95757",16,17,18,15,21,17,20.7529300013978,20.7339186105033,0.162319386504982,0.00193499445721493,0.00798506704079781
"P0A9M8",NA,NA,NA,7,4,4,18.503385682958,20.1538343115276,1.84991666041677,0.253689253491855,0.494815920151519
"P38616",4,5,4,4,3,3,22.514252601697,21.537707558694,-0.771922363352827,9.28998794820619e-06,6.91573432872106e-05
"P25375",6,8,10,NA,NA,NA,21.2361453230594,21.2507020059358,1.95901644905291e-19,0.99999999951706,1
"O00560",NA,3,NA,5,NA,3,20.1833559945379,20.4273541833292,0.380262201039841,0.0136425882405415,0.0438523634187444
"Q8IXT5",6,13,9,12,12,8,20.8367565321529,20.9229576262211,0.175809139019908,0.0453588018550739,0.120717995211038
"O00233",5,5,5,5,6,5,22.0784725080629,21.9025832920488,5.34067614455816e-20,0.999999999385593,1
"Q01532",5,6,7,7,3,5,21.4143220698993,20.4187226546077,-0.737331686098553,1.18300723680176e-09,1.76881365321237e-08
"P25553",14,13,14,24,23,23,20.4682565252454,22.3330900433707,2.05595265204848,6.41445070206699e-54,7.04417588698561e-51
"Q9H7N4",NA,NA,NA,NA,4,5,20.0296292349251,20.0007411938111,0.0261223807227905,0.580843682419411,0.980707919324905
"Q8NBN7",7,6,9,5,7,7,20.7311561053675,20.6341464891151,3.8605198563679e-20,0.999999999597939,1
NA,NA,NA,NA,NA,NA,NA,19.8965022269513,19.5320842249183,-6.34742606497659e-20,0.999999999738185,1
"Q03497",5,4,NA,NA,NA,NA,19.3046950347253,18.3221351658643,-0.792149089392627,0.000139319224671685,0.000808051503095771
"P29590",8,9,8,11,9,11,20.1714873400214,20.0961355652709,2.00956623154698e-08,0.999651599429908,1
"Q9BWU0",12,10,6,8,9,10,19.8405788468444,19.6481965090644,0.00362280429740785,0.815548286652176,1
"Q9NU22",34,28,41,35,36,44,19.9981434781126,19.9166744835576,0.0713098685073892,0.140419218492335,0.307651571275445
"Q9Y3E5",4,3,3,5,4,3,20.7320528774436,20.5814061478801,0.0554192481127835,0.429522391429949,0.761255601735148
"Q08220",3,5,4,2,NA,6,20.4266634913959,19.5501002533306,-0.670476056924902,4.18238717069094e-08,4.84092971204097e-07
"P62277",5,4,4,4,5,4,20.6191301757009,20.6931318529866,0.186687871929785,0.640752533417183,1
"Q3ZCQ8",7,8,7,6,7,8,21.8892831469513,21.9343337364093,0.00461504488255517,0.837270280886061,1
"Q96SB3",3,7,5,4,7,8,20.016243443348,20.156033244524,1.17154462492937e-19,0.99999999928231,1
"P00387",4,5,4,4,5,5,20.2676758852855,20.1234665434571,9.4126631538366e-20,0.999999999363536,1
"Q9GZR2",2,4,7,7,6,5,20.247078087181,20.2268831062151,1.52985085540184e-09,0.999908689734315,1
NA,NA,NA,NA,NA,NA,NA,19.7916163826438,20.2369299109143,0.599457829610715,0.00611278751000396,0.0219946304434573
"P23301",4,4,5,4,4,4,24.8715446096864,23.9516988862671,-0.738998759513722,2.32645380193556e-09,3.30970974841398e-08
"P24941",NA,5,5,4,7,7,21.1449762566296,21.1663678820189,0.0828602059122623,0.357817966011585,0.656663151811247
"P46672",14,15,11,10,8,7,22.8261369949955,21.7514833755801,-0.8974788099856,8.37533333400191e-16,2.79778540106722e-14
NA,NA,NA,NA,NA,NA,NA,22.0121327048669,20.9531644242223,-0.888446553176012,1.71810685853087e-10,2.98294999977827e-09
"P52566",NA,6,7,6,7,8,21.2787596172184,21.1846523830559,-1.02636559796993e-19,0.999999999414936,1
"P05694",26,24,22,18,18,17,22.6129077304743,21.5639569890271,-0.909754430854985,5.71096340480306e-19,2.8436287594859e-17
"P52593",NA,NA,2,NA,NA,NA,18.810865375149,18.252333943069,-8.11103578770164e-20,0.999999999748379,1
"Q03195",3,10,9,4,4,NA,20.9857541284417,20.1110110105976,-0.700829998521724,1.01045683023269e-05,7.43820244068079e-05
"Q6EEV4",1,1,1,2,1,1,20.469732687456,20.2903358197083,8.56383234102566e-20,0.999999999371466,1
"Q10567",8,9,11,8,8,9,21.2016783761729,21.2149810849135,0.21873503941549,0.00602081330196813,0.0217310224930075
"P49721",4,3,6,8,7,6,23.0994296784436,23.1905110710877,0.122042761411055,0.278992926067229,0.534297773506108
"Q53F19",NA,NA,3,NA,NA,NA,20.231819073388,20.1096954906471,2.91763101758275e-20,0.999999999877567,1
"O75306",8,8,6,8,5,6,20.6728732548937,20.6166622427502,0.0628300885776411,0.454389268993415,0.798533432467349
"Q9H074",NA,6,NA,5,6,6,22.056905848643,21.769620406011,-5.50517161757633e-21,0.999999999961522,1
"P36578",22,25,23,23,24,25,23.4088709454072,23.3154824657978,0.131539697830137,0.00428446278815082,0.0161755326150644
"Q9NP58",NA,NA,2,NA,NA,2,19.242735568443,19.5636033836133,0.223035841225845,0.329519945171589,0.612396574160439
"Q9Y606",NA,9,11,12,12,10,20.0572755473658,20.0492926290211,4.52794425033506e-20,0.999999999617197,1
"Q9Y5A9",8,8,7,10,8,9,21.5248860625517,21.3856042379701,4.22969605777274e-21,0.999999999956771,1
"O14579",5,7,8,10,9,10,21.2800813116054,21.2768262843442,0.165233494937785,0.0244272335425279,0.0721471396963974
"P23641",4,9,5,4,6,5,21.2005638297167,20.367565573231,-0.663859893296408,1.6717509364732e-07,1.75069473069554e-06
"O95363",NA,NA,2,NA,NA,NA,19.709665051854,20.0920081791484,0.338374213509212,0.146667755632843,0.318827188727408
"P49792",35,42,40,43,46,43,20.8983409154802,20.8815276585762,0.151405048645348,0.00209070759920221,0.00857401298258685
"P06105",28,31,27,17,21,19,21.2635650590005,20.3342285257883,-0.761170825745375,2.55770534736251e-12,5.81877966524971e-11
"P38328",3,3,2,NA,3,2,20.8246149278233,19.497171594566,-0.854652651934159,0.0220628651968991,0.0662211879924035
"P35637",8,10,7,10,9,9,21.8951899324563,21.6278205866569,-8.66912923825397e-20,0.999999999245924,1
"Q96K17",4,3,3,4,5,4,22.5741861141805,22.4897715665809,6.05047465424752e-10,0.99994493380864,1
"P19926",NA,1,3,7,6,6,19.7785196200505,21.3825501971794,1.87698921737273,1.48839347602197e-26,1.60321240131509e-24
"P20290",7,7,8,7,8,9,22.2830396911106,22.1928868805337,1.78444176023677e-20,0.999999999838575,1
NA,NA,NA,NA,NA,NA,NA,19.7798496345151,19.4676695653882,-1.62501985601879e-20,0.999999999931072,1
"P32771",3,5,4,NA,NA,NA,20.5875876912369,20.035890930038,-0.491005855286633,0.00845386088293789,0.028954884970893
"Q06323",8,8,12,7,14,13,21.8689724468952,21.634438884154,-4.59132004246636e-20,0.999999999584295,1
"Cont_P00722,P00722",NA,NA,NA,7,8,10,18.4550819739018,20.4665738092103,1.91260807644654,7.86800481467274e-11,1.43693181355857e-09
"O94903",NA,NA,2,4,NA,NA,20.69060255333,20.7991434767536,0.0901704223130028,0.4026971226572,0.722937215436974
"Q04311",NA,NA,2,NA,NA,NA,20.6399545761525,22.590923341863,0.751373924036703,0.120106123209038,0.271021854765842
"Q92841",17,18,21,21,24,19,22.2214275140865,21.965875213381,7.50063983405983e-21,0.999999999914531,1
"P39325",NA,NA,NA,NA,2,4,19.3568183816408,21.2473314834349,1.9996210027595,6.09066075454194e-10,9.6536058445863e-09
"Q9H0W9",3,3,NA,4,5,NA,20.0225197356636,20.0465073614584,0.123926532413473,0.299159107083876,0.567856523504034
"Q9NPH2",6,6,10,7,8,7,21.3999329866628,21.4867633771863,0.014779061916094,0.742483778090157,1
"Q13409",11,13,11,12,11,10,21.091172400028,21.033770050187,4.84205800615143e-20,0.999999999483475,1
"Q9Y478",3,2,3,2,NA,3,19.8459995052069,20.0406109593175,0.244509807076814,0.0749576833476716,0.182991051206758
"Q9NZZ3",3,2,2,2,2,4,20.8710728085626,20.7427196452857,-9.51205248648095e-20,0.999999999744954,1
"P27692",8,10,11,7,8,8,20.1078083723854,19.3187095361965,-0.809283714002286,6.13750973145272e-05,0.00038245308574507
"P17174",14,14,16,14,14,15,22.5102396750933,22.4362381019314,1.15899608318097e-19,0.999999999002773,1
"A8CG34,Q96HA1",3,NA,NA,NA,NA,5,19.9015596212666,19.6549180474876,-4.51705962289612e-20,0.99999999982204,1
"P32521",8,9,10,6,4,6,20.6037815638028,19.5144222247455,-0.91398405883855,1.3446902043935e-08,1.66602697154669e-07
"P38219",12,18,14,10,8,9,22.1686488612075,21.1438922200781,-0.770700364943809,3.26630599297134e-10,5.4042517338253e-09
"Q5VT52",8,12,9,10,10,10,19.6457437684486,19.6448820086623,0.00946987984342599,0.782603876422287,1
"Q15021",22,24,26,25,28,31,20.3636040458385,20.4405486423288,0.235989766838441,3.25902973812585e-05,0.000216094961781762
"Q15642",3,NA,NA,NA,NA,4,20.3921034934096,20.2221949393216,8.17503292262499e-20,0.999999999635203,1
"Q01080",6,3,4,NA,NA,NA,20.2423194556632,19.3156263154073,-0.584554866603652,0.000273129420058705,0.00147115787148188
"Q9Y676",3,5,3,4,5,4,20.8679359739901,20.8578377351763,0.0311187004851541,0.491937717451188,0.853252472135186
"P38264",4,4,6,5,6,3,23.1007406631891,22.1530430851906,-0.845499932114346,3.02177002804449e-07,3.04368362748451e-06
NA,NA,NA,NA,NA,NA,NA,20.6180298232283,19.4309913260517,-0.973077976782607,0.000290612248579082,0.00154466409667713
"Q5F1R6",7,4,5,8,4,7,19.8329014297558,19.8062731790884,0.129862292516774,0.122389583339183,0.27488179611243
"Q9BUT9",2,NA,1,1,2,2,19.7155483616143,19.6432978984996,4.38223236890521e-20,0.999999999673914,1
"P54819",14,13,12,18,19,16,22.4303440408427,22.2997226102967,3.994558838887e-20,0.999999999584362,1
"Q9BYC8",NA,NA,NA,1,1,NA,19.9240769166305,19.7219890743973,-2.69578227194468e-20,0.999999999906091,1
"P78316",9,9,9,10,8,11,20.5585845232463,20.6303277886638,0.111792445737586,0.0756297731168106,0.184290832183992
"P30086",8,9,7,9,8,8,23.7596213087549,23.7014953249003,0.0755770313307647,0.183611870443247,0.383044842766585
NA,NA,NA,NA,NA,NA,NA,18.8466656375576,18.718944206535,6.23123277171361e-20,0.999999999751529,1
"P53136",NA,NA,2,NA,NA,NA,18.8262905870633,17.9062620998013,-0.319417218441173,0.37426364155346,0.681394791348452
"Q9ULX3",6,7,8,9,8,8,22.1212899994264,22.1600749032764,0.101453012547531,0.185533664927713,0.385833996646364
"P52594",5,4,5,4,4,6,20.2982872766611,20.2830775937445,0.0804187345667786,0.407050027145225,0.728521547396575
"Q13685",6,3,5,NA,4,NA,20.3233072801646,20.3083876253577,2.75746735027837e-21,0.999999999981952,1
"Cont_P00761",10,13,11,12,11,11,23.5111695425789,23.2834055893731,1.0501743683571e-19,0.999999999626344,1
NA,NA,NA,NA,NA,NA,NA,20.5293329046788,19.5027489842811,-0.677409055051223,0.015270547035204,0.0484945530997635
"P40548",1,2,2,NA,2,1,20.7062570274174,19.6287771943052,-0.859728006441661,0.00295640080981221,0.0116273349286057
"P27824",10,12,11,11,11,10,20.547961627877,20.5058353049877,0.0160794853320703,0.629518076203433,1
"Q13200",33,32,35,37,33,39,21.9704951683119,21.8809919274721,0.126683086387546,0.029432805210752,0.0840164120618436
"P23337",3,1,4,NA,NA,NA,20.0503239039074,18.9331211432211,-0.758024493600334,0.0106048330326133,0.0351143718608111
"P51610",27,25,25,27,25,24,21.1478397890731,21.0466238377167,0.0891653979540502,0.0288893082371898,0.0829585249596776
"P07172",4,7,5,3,NA,NA,20.8743778409924,19.9648965840603,-0.682134378654393,0.00478613316896067,0.0178146762099961
"P40227",14,15,18,19,16,18,21.6973665056366,21.8154183858429,0.237230517039213,0.0223620236253327,0.0668328203253148
"O75955",11,15,14,11,13,16,21.139563162684,21.1085284437748,0.130094610182612,0.0109381634255276,0.0360372200748655
"Q9Y6A5",10,6,11,9,10,10,20.3682475799345,20.3346831820875,4.91874066072789e-19,0.999999998620334,1
"P41229",NA,NA,NA,3,4,NA,18.7042942244139,18.8982693448266,0.286718463542507,0.0501904142617055,0.130495077080434
"P30049",3,5,4,3,5,6,21.5238053279304,21.5011041176353,0.146021217241534,0.0377398245195388,0.103368341366957
"P40531",8,10,7,5,8,8,23.022256060229,21.9987592210767,-0.851771270530806,9.43666416455246e-13,2.26394152093218e-11
"Q15276",NA,NA,2,NA,NA,NA,18.7152073342222,18.7399346813737,1.04333458693879e-19,0.99999999962887,1
NA,NA,NA,NA,NA,NA,NA,18.3881930833488,19.9425292914553,1.69369223934532,9.04014096861836e-05,0.000543438086929017
"P49750",9,11,11,17,14,13,20.1273819982402,20.0153517232744,4.41089228563389e-10,0.999966200370276,1
"Q99615",13,12,11,16,11,11,22.0474573447256,22.0457361432634,9.43319753777216e-21,0.999999999915088,1
"P07342",8,9,9,5,NA,3,20.3866583383611,19.310124589797,-0.795832173045741,6.84121056197836e-07,6.52945919459706e-06
NA,NA,NA,NA,NA,NA,NA,20.4901921586541,19.7246606605685,-0.527750036340215,0.036663065080905,0.101048385115935
"Q5T200",8,6,4,8,10,9,19.2800851479317,19.1135290531374,1.04681123319726e-20,0.999999999929945,1
"Q12849",10,10,11,10,9,10,20.7434582119887,20.7348219515092,0.121489328270547,0.0622432931582905,0.15643814347117
"Q8WVJ2",3,4,3,4,4,3,21.9436795875629,21.8065387715923,0.161267341493845,0.161128678741091,0.34472523972253
"Q969Z0",10,9,9,7,9,13,21.098940166232,21.0557773854487,3.63806646062237e-11,0.99998685309919,1
"Q12905",12,10,10,10,11,16,22.6929071447339,22.881024808202,0.157647109326853,0.0587270590940351,0.149035811503634
"O43181",NA,1,3,3,3,3,21.3316354977752,21.3635553217181,0.0626092063558959,0.469015596592265,0.820233372701782
"Q99459",22,21,21,22,21,23,21.1265792607892,21.0997535473628,0.206488357222523,0.000677065306322856,0.00317366846072116
"P50336",NA,NA,NA,2,4,5,19.8297174425496,19.7168294072777,3.9114270542478e-20,0.99999999978447,1
"Q8NCA5",5,4,4,5,4,6,20.9567847189786,20.9711028497577,3.11908582701451e-17,0.999999989982274,1
