"protein_name","n_indistinguishable_proteins","Normalized.spectral.abundance.factor_A_1","Normalized.spectral.abundance.factor_A_2","Normalized.spectral.abundance.factor_A_3","Normalized.spectral.abundance.factor_B_1","Normalized.spectral.abundance.factor_B_2","Normalized.spectral.abundance.factor_B_3","Normalized.spectral.index_A_1","Normalized.spectral.index_A_2","Normalized.spectral.index_A_3","Normalized.spectral.index_B_1","Normalized.spectral.index_B_2","Normalized.spectral.index_B_3","number.of.quantified.peptides_A_1","number.of.quantified.peptides_A_2","number.of.quantified.peptides_A_3","number.of.quantified.peptides_B_1","number.of.quantified.peptides_B_2","number.of.quantified.peptides_B_3","probability_A_1","probability_A_2","probability_A_3","probability_B_1","probability_B_2","probability_B_3","Spectral.index_A_1","Spectral.index_A_2","Spectral.index_A_3","Spectral.index_B_1","Spectral.index_B_2","Spectral.index_B_3","total_number_distinct_peptides_A_1","total_number_distinct_peptides_A_2","total_number_distinct_peptides_A_3","total_number_distinct_peptides_B_1","total_number_distinct_peptides_B_2","total_number_distinct_peptides_B_3","total_number_peptides_A_1","total_number_peptides_A_2","total_number_peptides_A_3","total_number_peptides_B_1","total_number_peptides_B_2","total_number_peptides_B_3"
"P07196",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,0,2,1,0,1,1,0,2,1,0
"P07199",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5256,0.6383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA
"P07203",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"P07205",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6479,1,1,1,1,NA,NA,NA,NA,NA,NA,12,1,13,14,16,15,12,1,13,14,16,15
"P07213",1,-12.4129539153,-12.0964409228,-11.7410589436,-12.499965959,-12.0644782252,-12.2409336097,-21.2318959788,-20.9602829451,-20.5052887709,-21.3310182002,-20.7459529286,-20.9314869438,4,5,7,4,5,5,1,1,1,1,1,1,638.6803164326,831.5266378785,1284.2873551207,637.6880365646,922.2061323851,937.7168369645,9,8,14,8,8,10,9,8,14,8,8,10
"P07237",1,-10.3251570009,-10.6784954066,-10.5675321552,-10.312633371,-10.4055246096,-10.6974572115,-18.9203532724,-19.3651326822,-19.1904945589,-18.8983395623,-19.072930441,-19.2899970806,14,11,13,15,13,12,1,1,1,1,1,1,2610.3922471757,2068.4393505987,2630.4693801503,2834.6279006469,2421.2325640404,2408.7290401178,31,30,31,37,38,37,31,30,31,37,38,37
"P07244",1,-10.884395067,-11.2117382642,-10.926745613,-11.8782977063,-11.9573831453,-11.9411934519,-19.5302720161,-19.8959293256,-19.5288855518,-20.6558438762,-20.6564307797,-20.6751707641,15,12,16,8,7,8,1,1,1,1,1,1,2700.3035672824,2260.3085928645,3284.5665645521,1323.5647660322,1275.4577063878,1455.8605456349,31,22,27,20,15,21,31,22,27,20,15,21
"P07245",1,-11.8595986081,-11.5755070932,-11.3576286378,-12.5315731524,-11.6810479194,-12.1794313988,-20.5136680202,-20.3163878093,-20.117495307,-21.2294777537,-20.4390707381,-20.8363502278,9,11,14,6,10,8,1,1,1,1,1,1,1611.0078752499,1992.1126288768,2576.3546369004,1049.0132215177,1749.1003337088,1535.7364476588,24,22,22,14,22,17,24,22,22,14,22,17
"P07246",1,-13.6945740215,-13.6999891239,-12.8300339719,NA,-13.6680264263,NA,-22.176076988,-21.8624016638,-21.9967078886,NA,-21.9305396113,NA,1,1,2,NA,1,NA,1,1,1,0.9992,1,1,201.745023361,270.4316239092,277.6172320012,NA,246.5914336454,NA,9,7,11,3,6,5,9,7,11,3,6,5
"P07248",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"P07251",1,-10.9120115609,-11.2393547582,-12.0474715113,-12.3209516995,-12.2073920606,-12.0619193503,-19.540824009,-19.9231372381,-20.538440295,-20.9841390134,-21.0063973907,-20.7027098012,10,8,5,4,4,5,1,1,1,1,1,1,1821.6219794427,1507.299212567,1108.648673466,716.3753732629,680.0451517844,970.625807621,26,26,25,7,25,12,26,26,25,7,25,12
"P07253",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"P07256",1,-11.9798775912,-11.6633645987,-11.7934094467,-13.0668896349,-13.953329996,-12.1297853805,-20.7709817732,-20.202583867,-20.2351710935,-21.7931948212,-22.7523458635,-20.7986573941,4,5,5,2,1,4,1,1,1,1,1,1,651.123798651,1041.3515135139,1147.114490554,342.8548357126,170.0100461918,761.5324759003,12,10,9,4,4,7,12,10,9,4,4,7
"P07257",1,-11.3454610973,-11.6728042946,-11.8028491426,-11.7544012359,-12.0558790963,-11.8172969815,-20.1430775821,-20.1598070525,-20.3908560197,-20.621953853,-20.7454907315,-20.6040998313,5,4,4,4,3,4,1,1,1,1,1,1,810.2390746365,863.7858301701,829.2253146877,621.7568253394,550.2116675943,701.7585451712,15,13,14,10,9,10,15,13,14,10,9,10
"P07259",1,-11.6713042422,-11.6767193446,-11.6912869752,-12.3432787866,-12.5292794296,-12.4992839367,-20.2951865965,-20.4594291099,-20.3750307375,-21.0475512308,-21.4755994372,-21.3019309474,24,24,26,16,13,15,1,1,1,1,1,1,4386.8582911363,4222.2179399703,5043.8972894886,2785.048627817,1995.6067902491,2602.851611294,60,59,58,48,41,43,60,59,58,48,41,43
"P07260",1,-10.8785368564,-11.298989458,-12.0139968068,NA,-12.8519892612,-13.0284446457,-19.6898408662,-19.4256335609,-20.1922181011,NA,-21.2063047323,-21.2811383577,4,3,2,NA,1,1,1,1,1,0.9999,1,0.9995,642.0706454461,831.6605540068,550.8080874811,NA,231.3890184081,254.0449637319,7,8,8,4,6,4,7,8,8,4,6,4
"P07262",1,-10.6484476286,-11.1684359037,-11.5208731731,-11.7354596722,-11.6219000333,-12.535321012,-19.2921471276,-19.8293116294,-20.2854061854,-20.4545631165,-20.350212087,-21.112631872,10,7,6,5,5,3,1,1,1,1,1,1,1802.9214630915,1339.9948999314,1100.5864184165,861.4265009934,892.7473268688,608.5725310027,15,20,16,12,9,8,15,20,16,12,9,8
"P07263",1,-12.2365843771,-12.6570369787,-12.0501162326,-12.3235964207,-12.6250742811,-13.3864921664,-20.5976694351,-21.2464244038,-20.6540159256,-20.969683534,-21.2660997361,-21.820599383,4,3,5,4,3,2,1,1,1,1,1,1,877.2274724289,603.4572133752,1025.1758111067,724.9170610956,569.0568994767,448.0532985099,9,8,9,9,8,9,9,8,9,9,8,9
"P07264",1,NA,NA,-14.8847667046,-14.8363187979,NA,NA,NA,NA,-23.1815476345,-23.4518472929,NA,NA,NA,NA,1,1,NA,NA,1,1,1,0.9999,0.9938,0.9154,NA,NA,253.6765403357,185.1089385478,NA,NA,6,6,5,4,3,2,6,6,5,4,3,2
"P07267",1,-10.8056053339,-10.8110204363,-10.9410652843,-10.7226923762,-10.9717028166,-11.1481582012,-19.3617244296,-19.2171067404,-19.4224777852,-19.3236429786,-19.6185448214,-19.6416044404,8,8,8,9,7,7,1,1,1,1,1,1,1532.6081275085,1827.2347705518,1785.6266214592,1682.8998931647,1322.4568869636,1504.9944471254,12,12,15,14,10,11,12,12,15,14,10,11
"P07273",1,-12.4152902641,-12.4207053664,-11.9657877137,-13.5023023077,-13.3887426688,NA,-21.596408131,-21.6284612574,-20.9259794305,-23.4070632588,-23.0192725044,NA,2,2,3,1,1,NA,1,1,1,0.9986,0.9997,0.9872,248.4435667975,262.0642424052,480.501795183,75.7407759089,95.5353148382,NA,5,6,5,3,5,3,5,6,5,3,5,3
"P07274",1,-12.1211071597,-10.5415597613,-11.25656711,-12.2081192033,-12.0945595644,NA,-20.6201527121,-19.0984417676,-19.8000019141,-21.3932720798,-20.7923600508,NA,1,3,2,1,1,NA,0.9999,1,0.9997,0.9978,0.9998,0.9895,199.3067401009,617.2080603092,427.622046007,124.7249577259,182.3658230799,NA,5,6,6,5,3,2,5,6,6,5,3,2
"P07275",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9842,0.9979,0.9742,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,NA,NA,2,4,2,NA,NA,NA
"P07277",1,-13.9349901247,NA,-14.0704500751,NA,NA,NA,-22.6348825893,NA,-23.0823058268,NA,NA,NA,1,NA,1,NA,NA,NA,0.9894,0.9718,0.9994,NA,NA,NA,173.4047703533,NA,154.533035521,NA,NA,NA,1,2,2,NA,NA,NA,1,2,2,NA,NA,NA
"P07278",1,-12.8442669543,-13.8496820566,-12.9797269047,-13.931278998,-13.8177193591,-12.9941747436,-21.6222898741,-22.3713961489,-21.7554377533,-22.5377895535,-22.9764158904,-21.8397273273,2,1,2,1,1,2,1,1,1,1,1,1,328.5272707481,210.8127780385,364.0307164555,186.2696337969,132.4951303293,336.8777143664,6,7,7,6,5,4,6,7,7,6,5,4
"P07280",2,-9.9918241427,-10.7342048392,-9.8642496873,-10.4007642813,-10.7022421417,-10.4636600269,-18.9394499034,-19.8176956131,-18.881231875,-19.3079606492,-19.603962408,-19.3706166803,5,3,6,4,3,4,1,1,1,1,1,1,730.2236458265,428.4563206587,923.9093771916,604.9042046776,474.9837318747,645.6807082249,23,16,22,15,14,18,23,16,22,15,14,18
"P07283",1,-11.5475494222,-10.8159989304,-11.6830093726,NA,-12.1059643277,-11.6974572115,-19.9160259415,-19.4038833432,-20.4672743206,NA,-20.7908526084,-20.1794389262,3,5,3,NA,2,3,1,1,1,0.9988,1,1,654.55845341,1006.8103799097,542.8180105287,NA,368.010667717,650.143579484,12,12,9,6,5,8,12,12,9,6,5,8
"P07284",1,-12.4106137769,-12.4160288792,-11.5460737272,-13.0825883212,-13.9690286824,-12.5605215662,-21.1102151579,-21.1415615979,-20.2900383768,-21.6556185134,-22.8534765536,-21.3360574759,3,3,6,2,1,3,1,1,1,1,1,1,520.3192820174,549.1141888411,1116.3897574871,381.2858163832,160.2348542449,530.4453662667,15,15,17,8,11,9,15,15,17,8,11,9
"P07285",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"P07311",1,-11.7731838562,NA,-11.9086438066,NA,-11.746636261,-10.9230916456,-20.9899309872,NA,-21.0068547389,NA,-20.6148904852,-19.617609243,1,NA,1,NA,1,2,0.9999,0.9978,0.9938,0.9998,0.9998,0.9987,121.1915340173,NA,145.5545667733,NA,162.0435552735,374.0574794549,4,3,2,5,3,3,4,3,2,5,3,3
"P07333",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"P07339",1,-12.8303277633,-13.8357428657,-12.380825213,-11.5954117121,NA,-12.9802355527,-21.6577906378,-22.8494039406,-21.3175410979,-20.6317085792,NA,-22.130522215,2,1,3,5,NA,2,1,0.9994,1,1,0.7312,1,317.459637827,149.9015533605,488.384580895,691.4065565397,NA,272.7333101091,6,3,9,9,2,7,6,3,9,9,2,7
"P07342",1,NA,-14.5734086273,NA,NA,NA,NA,NA,-23.5747014977,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.9942,0.9999,0.9986,NA,NA,NA,NA,151.1921816627,NA,NA,NA,NA,3,5,4,NA,NA,NA,3,5,4,NA,NA,NA
"P07347",1,-13.0386449995,NA,NA,NA,NA,NA,-21.9263565891,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.8954,0.554,0.6357,NA,NA,NA,152.2375724982,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,2,NA,NA,NA
"P07355",1,-10.3790436979,-10.9694213009,-11.099466149,-10.4660557415,-10.5224211041,-10.5289514872,-18.8951559317,-19.3708458617,-19.52896914,-18.8878153832,-19.0037235523,-19.18634127,9,6,6,9,8,9,1,1,1,1,1,1,1772.6659887857,1374.8614625273,1388.2837332792,1905.4613190414,1695.14105222,1727.1396035536,37,42,38,46,45,52,37,42,38,46,45,52
"P07384",1,-11.4536824988,-11.1695909839,-12.1741049498,-11.388691449,-11.597059905,-11.9661603674,-19.98225873,-19.7473214039,-20.8003310168,-19.6998963593,-20.1001680163,-20.5299470821,9,11,6,10,8,7,1,1,1,1,1,1,1757.417210378,2230.6273435049,1211.3194434432,2285.7983656267,1669.7124402756,1433.3765809133,23,28,20,25,27,21,23,28,20,25,27,21
"P07395",1,NA,NA,NA,-13.2806878293,-12.7520906911,-12.6066179808,NA,NA,NA,-21.5978352638,-21.6367223568,-21.0950073978,NA,NA,NA,3,4,5,0.6477,0.9957,0.9218,1,1,1,NA,NA,NA,682.9207278879,640.8577686776,1078.7706372877,1,4,2,7,9,12,1,4,2,7,9,12
"P07477",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"P07560",1,-11.307057585,-12.8974351881,-11.0274800361,-12.9790321294,-12.8654724905,-13.0419278751,-19.8995473802,-20.9086546911,-19.5681035828,-22.2729482543,-21.9012955136,-22.3269986175,3,1,4,1,1,1,1,1,1,1,1,1,560.42012225,300.3109136774,856.9122583489,115.6677706583,144.2741513338,124.203586517,9,9,10,8,7,8,9,9,10,8,7,8
"P07602",1,-14.1772502377,-12.5977028393,-13.3127101881,-12.6792997806,NA,-14.327158027,-23.734002617,-21.7716621286,-22.5593895859,-21.8871772087,NA,-23.3929167862,1,3,2,3,NA,1,1,1,1,1,1,1,95.7459702106,402.4137551817,262.6409073562,368.3272482733,NA,144.5951153654,8,9,7,8,11,12,8,9,7,8,11,12
"P07639",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"P07686",1,-14.2627683089,-13.2681834112,NA,NA,NA,-14.4126760982,-22.5334837617,-22.4660537997,NA,NA,NA,-22.786538196,1,2,NA,NA,NA,1,1,1,0.9999,0.9997,1,0.9914,233.4834998836,263.8661011644,NA,NA,NA,233.5797940032,8,4,5,6,6,3,8,4,5,6,6,3
"P07702",1,-14.586770732,NA,NA,NA,NA,NA,-23.0977933668,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,0.9935,NA,0.9912,0.774,395.3179371009,NA,NA,NA,NA,NA,5,10,6,NA,2,1,5,10,6,NA,2,1
"P07703",1,-12.5318445215,-12.5372596238,-13.6673044719,-13.6188565652,NA,-13.6817523108,-21.3483959282,-21.9798974015,-22.468575347,-22.6811051729,NA,-22.6062188133,2,2,1,1,NA,1,1,1,1,0.9995,NA,0.9913,319.8697681319,222.6902864679,178.8190157361,135.8160942049,NA,159.472877101,4,6,3,4,NA,2,4,6,3,4,NA,2
"P07737",1,-8.4657553311,-8.6935628547,-8.8236077028,-8.1121947833,-8.4392077358,-8.6156631204,-17.060597509,-17.1900015994,-17.3452366388,-16.6515507875,-16.8998955849,-17.2728594033,14,12,12,19,14,14,1,1,1,1,1,1,2611.0330177123,2574.46395192,2604.8070452145,3707.7564239667,3009.1892588297,2687.0219752885,49,52,61,66,63,59,49,52,61,66,63,59
"P07741",1,-10.6356803325,-10.6410954348,-11.7711402829,-11.7226923762,-11.6091327373,-11.7855881218,-19.3719651685,-19.3085551511,-20.474181094,-20.0922544534,-19.9664382308,-20.2965363,4,4,2,2,2,2,1,1,1,1,1,1,676.3411889756,762.2248755874,382.8369886732,439.0365286345,461.8199107056,424.8134364069,9,7,9,8,8,8,9,7,9,8,8,8
"P07806",1,-11.9304235981,-12.0878417938,-11.9283800247,-13.3393637366,-13.2258040977,-13.8172969815,-20.6393830792,-20.7458498993,-20.7050899831,-22.1754318434,-22.2130439052,-22.4083791897,10,9,11,4,4,3,1,1,1,1,1,1,1723.1837748899,1726.2784718649,2000.7828582201,635.4748150944,596.8614434132,602.7909965401,28,27,28,17,11,19,28,27,28,17,11,19
"P07813",1,NA,NA,NA,NA,-13.8654724905,-15.0419278751,NA,NA,NA,NA,-22.9015196122,-24.2582699733,NA,NA,NA,NA,2,1,NA,NA,NA,0.9991,0.9997,0.9984,NA,NA,NA,NA,288.5034849868,130.2637331587,NA,NA,NA,4,3,2,NA,NA,NA,4,3,2
"P07814",1,-10.9511821582,-11.0110450446,-10.9346390152,-10.9351007089,-10.3219700605,-10.6860524483,-19.5816138973,-19.7221830414,-19.5893576826,-19.6284601991,-19.0358349948,-19.3545449698,27,26,30,29,41,36,1,1,1,1,1,1,4912.862017922,4806.7108985439,5938.1554883844,5086.2291697963,7394.2039816597,6855.5953679118,62,68,68,74,71,74,62,68,68,74,71,74
"P07858",1,-11.9640061986,NA,NA,-12.0510182422,-11.9374586033,-12.6988764886,-20.8227059129,NA,NA,-20.7028621243,-20.6578572334,-21.6087530785,3,NA,NA,3,3,2,1,1,NA,1,1,1,465.9899493141,NA,NA,541.5226475414,538.5945899587,322.1876035451,5,5,NA,6,3,3,5,5,NA,6,3,3
"P07864",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,4,4,3,4,2,5,4,4,3,4,2,5
"P07900",1,-9.8015460793,-9.5356591598,-9.6657040079,-9.4611368992,-9.7260888836,-9.6395098623,-18.294037729,-18.0307304873,-18.1727870877,-18.0083053225,-18.1923318902,-18.1687193275,29,35,35,39,30,36,1,1,1,1,1,1,5806.2122137519,7515.9736185134,7674.3410449534,7569.5564070587,6423.4811347318,7550.4624929855,194,187,198,195,203,223,194,187,198,195,203,223
"P07910",1,-10.079286984,-9.9471985625,-9.7293201072,-10.0287955039,-9.7897049829,-9.6442322726,-18.5986677994,-18.4981885841,-18.3338242774,-18.4242669721,-18.2739655448,-18.2639187143,10,11,14,11,12,15,1,1,1,1,1,1,1965.1715205004,2272.3576337237,2869.2898108073,2371.7223242392,2537.5033231391,2954.7859750859,37,35,42,41,46,42,37,35,42,41,46,42
"P07913",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"P07919",1,-9.6516218764,-9.6570369787,-9.4651537319,-9.73863392,-10.0401117804,-9.8015296657,-17.7424040899,-17.7813731028,-17.749263571,-17.6633215529,-17.9610406014,-17.8926847046,4,4,5,4,3,4,1,1,1,1,1,1,1057.9898183893,1110.6561114268,1279.5718842188,1195.2292245942,937.4030880991,1136.5762248358,7,9,6,7,7,7,7,9,6,7,7,7
"P07947",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5
"P07948",1,NA,-14.1492423385,NA,NA,NA,-14.2937350255,NA,-23.2366646155,NA,NA,NA,-23.371124175,NA,1,NA,NA,NA,1,1,1,1,1,1,1,NA,142.4301064637,NA,NA,NA,143.4341373419,3,5,3,3,3,5,3,5,3,3,3,5
"P07954",1,-10.9682556716,-10.8216676805,-11.9517125285,-10.9032646218,-10.6522014592,-11.1181634609,-19.6009738579,-19.315701053,-20.2567866202,-19.317284308,-19.1638245743,-19.7501378998,9,10,5,10,11,9,1,1,1,1,1,1,1635.0273541001,2148.96656382,1261.1124698074,2128.5682816244,2282.3440350273,1757.8354704298,22,24,21,21,24,24,22,24,21,21,24,24
"P07991",1,NA,NA,-14.0072076411,-13.9587597344,NA,-14.02165548,NA,NA,-22.5624011243,-22.7915165799,NA,-22.7335976391,NA,NA,1,1,NA,1,0.9999,1,1,0.9129,0.9662,1,NA,NA,212.0754398033,159.2337566377,NA,184.7834331383,4,6,8,1,3,5,4,6,8,1,3,5
"P07996",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA
"P08018",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2124,0.7906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA
"P08047",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8817,NA,NA,0.8742,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"P08067",1,NA,NA,-13.0274800361,NA,NA,NA,NA,NA,-22.2219417853,NA,NA,NA,NA,NA,1,NA,NA,NA,0.9934,0.7501,0.9892,NA,NA,0.2125,NA,NA,136.1605989065,NA,NA,NA,2,2,1,NA,NA,1,2,2,1,NA,NA,1
"P08133",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.7969,NA,0.4268,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,2,1,NA,2
"P08134",1,-12.7362842734,-12.7416993758,-12.8717442238,-12.8232963171,-12.7097366782,-12.8861920627,-21.6064785904,-21.7926310308,-21.7097903395,-21.6705635023,-21.5664717435,-21.7851435893,1,1,1,1,1,1,1,1,1,1,1,1,154.0973161324,146.0785908159,174.3184074455,157.6402422513,163.3425666447,162.3183437541,7,9,8,6,7,8,7,9,8,6,7,8
"P08174",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"P08179",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"P08194",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"P08195",1,-11.8580727538,-11.126522262,-11.4085702035,-11.9450847975,-11.6091327373,-11.4230180424,-20.5587748574,-19.4915088273,-19.8170108905,-20.4112254742,-19.9744452227,-19.898893402,6,10,9,6,7,9,1,1,1,1,1,1,1039.8448984391,2350.0473788478,2113.0505142347,1231.8245498296,1607.4236454665,1958.7036326232,12,16,16,14,15,17,12,16,16,14,15,17
"P08200",1,-12.8442669543,-13.8496820566,-13.9797269047,-13.931278998,-12.2327568584,-11.6722466487,-21.7373467295,-22.5883225034,-22.8380732563,-22.38466622,-21.2142569367,-20.2907879158,2,1,1,1,3,5,1,0.9999,0.9986,1,1,1,303.3443156187,181.3825869834,171.8827405783,207.1270296754,449.4305796583,985.7107800298,5,5,3,21,21,19,5,5,3,21,21,19
"P08237",1,-12.7511575499,-13.7565726522,-12.8866175003,-14.8381695936,-14.7246099547,-12.9010653392,-21.4017648392,-22.7184463008,-21.6197596241,-24.011251187,-23.4321447525,-21.7393210848,4,2,4,1,1,4,1,0.9991,1,0.9976,1,1,717.7238005032,310.7604185116,749.8639740179,125.7729315498,181.1394861345,677.1717695809,4,2,7,2,4,8,4,2,7,2,4,8
"P08238",1,-8.7367825276,-8.7664451762,-8.8018531501,-8.8237945713,-8.6629292176,-8.5647622221,-16.9510894606,-16.9678143005,-16.9962802644,-17.0173213259,-16.8268718748,-16.7709036329,60,59,63,60,62,75,1,1,1,1,1,1,14567.6031387121,15530.3909082982,17156.6473375465,14880.3731827686,16369.7618251126,19678.2055251493,245,237,260,260,249,285,245,237,260,260,249,285
"P08240",1,-14.4612398499,NA,-13.5966998003,-14.5482518936,-13.4346922547,NA,-23.6918484568,NA,-22.5364532421,-23.7661038322,-22.7231267235,NA,1,NA,2,1,2,NA,0.9363,0.907,0.9999,0.9876,0.9944,0.8295,120.0326965469,NA,324.9049210817,121.9298296022,242.2004253929,NA,1,2,3,3,3,2,1,2,3,3,3,2
"P08243",1,-10.3687936012,-10.473744377,-10.3236813059,-10.3626962404,-10.2491366015,-10.3381291448,-18.9255856598,-19.1266312554,-19.0322134694,-19.0744490552,-18.9680193691,-18.9106295672,15,14,17,16,16,17,1,1,1,1,1,1,2872.3001065985,2694.8712659286,3241.7517610616,2770.6455293223,2875.5242519679,3460.0956022349,33,39,44,36,42,38,33,39,44,36,42,38
"P08312",1,NA,NA,NA,NA,-13.4704264664,-12.646881851,NA,NA,NA,NA,-22.434757158,-21.5619104808,NA,NA,NA,NA,1,2,NA,NA,0.7737,0.9999,1,1,NA,NA,NA,NA,151.6037223001,321.039084281,NA,NA,3,4,5,8,NA,NA,3,4,5,8
"P08397",1,-11.6396822631,-11.6450973654,-11.4532141185,-11.7266943067,-11.6131346678,-11.7895900524,-20.2832887145,-20.3475956022,-20.2765148838,-20.2226399693,-20.16604157,-20.4737780247,4,4,5,4,4,4,1,1,1,1,1,1,721.2150989931,743.9358237639,880.5459961754,804.4247076124,806.5304294583,753.4906468454,14,15,17,19,13,22,14,15,17,19,13,22
"P08417",1,NA,-14.0799796761,-13.2100245241,NA,NA,NA,NA,-22.3731834869,-21.6567221355,NA,NA,NA,NA,1,2,NA,NA,NA,0.9999,1,1,0.919,0.9658,0.8878,NA,246.9934181237,457.2786066494,NA,NA,NA,5,4,4,3,3,3,5,4,4,3,3,3
"P08456",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6286,NA,0.4012,NA,NA,0.5753,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,1,NA,2,NA,NA,1
"P08473",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2043,0.4019,NA,0.3015,0.4665,NA,NA,NA,NA,NA,NA,NA,4,5,NA,3,3,NA,4,5,NA,3,3
"P08518",1,-15.4012150789,-14.4066301812,-14.5366750292,NA,NA,NA,-24.1335614482,-23.2567477593,-23.4266786273,NA,NA,NA,1,2,2,NA,NA,NA,1,1,1,0.9625,0.6614,0.973,169.5475200945,335.7898983893,336.3043498018,NA,NA,NA,8,4,4,2,1,2,8,4,4,2,1,2
