"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"P23585",1,2,1,2,1,1,0.0615767569736369,0.169633553933413,24.2190811534755,25.041325592967,24.1864460341177,24.2325527308328,23.5134614647784,23.2593641769352
"P23588",11,11,12,11,12,12,0.934288901554822,0.956299297485551,29.5182693860685,29.6105612823365,29.7295823128025,29.1383574975649,29.9125661678018,29.8687835818126
"P23595,P23594",3,3,3,1,1,0,0.00340912841627996,0.0196121612043747,25.243307924631,24.9359285303254,24.5649868511856,23.6868962435489,23.5669189160093,NA
"P23615",4,4,2,2,3,1,0.0271888427019797,0.094467250880755,25.3345008391409,25.3479212362709,24.0723702639917,22.8955285676512,24.2059516400792,22.1148882969458
"P23634",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,22.8614568782733
"P23638",6,7,6,3,3,3,0.000738944908896985,0.00666218710353369,27.1475539489215,27.7394657369358,27.7588827547518,25.5055003067395,26.0907084255451,26.0906509508751
"P23639",3,4,5,4,3,5,0.0186391614458711,0.0716963360169174,26.6892530006209,26.916466905035,27.5394736974935,25.6251476028129,25.0278273594858,26.4464731817893
"P23641",4,6,4,3,3,4,0.000252623533490728,0.00394681013624898,26.4852664446183,26.6837449784791,26.1844521589619,25.0148158128689,25.1810608197551,25.2110599316035
"P23644",3,3,4,2,3,3,0.00708102656520512,0.0342199610068493,26.3901967601492,26.3468467760908,26.5345748980806,25.3566654428146,25.5446404163863,25.9998373004212
"P23724",5,5,3,4,4,4,0.00386538048125404,0.0215047143359524,26.6178540223699,26.6651098843269,26.2593693157225,25.3898546439094,25.8008158777595,25.7826834707583
"P23776",4,4,4,4,3,3,0.0169033960811096,0.0666493456542973,26.0589390678361,26.1471543455689,26.0645448066046,25.539700785226,25.2884162571915,24.4071141836713
"P23786",1,2,1,1,1,1,0.475292921028357,0.621998366532233,22.4799810871093,24.1805774744457,22.799388850812,22.7469922193825,22.3053163016917,23.2575935809582
"P23847",3,4,5,5,6,6,0.000141296401797664,0.00328874584184156,25.4256095886399,25.6824563852823,26.4186006709095,28.1981039169244,28.4194941644008,28.2238901998563
"P23919",3,4,3,5,5,5,0.0276138817900332,0.0956526414017704,26.1965734274158,26.7339228722688,26.4435593370155,26.7641546553389,27.2624552217535,27.1663908822698
"P23921,P21672,P21524",18,15,15,18,14,16,0.188697399402588,0.346410458697601,29.1075449216607,28.74807030543,28.7111241272281,29.3643797527141,28.9440445211225,29.0571006411932
"P24000",1,1,1,1,1,1,0.000333006221943952,0.00444203036405939,27.9138012339797,27.9278238886805,27.8313139315362,26.5805005172114,26.9445084421724,26.9214262421761
"P24031",2,2,2,1,0,0,0.0504124164997354,0.148293202551585,24.0042448387015,23.6963628153962,24.1665745892523,23.2000027107925,NA,NA
"P24276",7,7,7,3,5,4,0.00196902378169123,0.0131325825907535,26.3455812072243,26.4524894316468,26.3115301163257,24.3866622863133,25.4368102953778,24.8736545000972
"P24280",7,8,7,7,7,5,0.0234116614139224,0.0846307443504864,28.1380810524876,27.9549500671222,27.8409401660173,27.4178767778655,27.112458904862,26.0628248150068
"P24534",5,5,5,5,5,5,0.174657593441489,0.331304757289011,30.9208434691519,30.6060778488178,30.7218973515701,31.0600929307655,30.8949120483747,30.9100779083471
"P24539",5,6,5,4,6,5,0.611771934522838,0.726797803461767,27.6686507049304,28.4970512627214,27.8512508946955,27.5608933842415,28.1334794889829,27.8880868239648
"P24666",5,5,5,5,5,5,0.444438110993274,0.593538250102845,28.4312786917458,28.553428373899,28.2606166004137,28.0638001495443,28.3502057103063,28.4490638018875
"P24752",11,9,12,11,11,12,0.192370349659594,0.34963885862433,28.7181091254151,28.5964276787841,29.0764975383774,28.8601043817415,29.0472477231719,29.3564789230318
"P24783",4,5,5,3,3,2,0.00123902346549391,0.00937863049425644,25.8061196539805,25.7047289241706,25.8466251870348,24.620734738285,24.6229116281519,23.8379149922961
"P24784",1,1,1,1,0,1,0.080298138647855,0.201607104299127,22.5935151310646,23.1124943014883,23.0579218644109,21.6960730258825,NA,22.6206753890903
"P24928",20,18,20,22,19,21,0.0217279468378301,0.0804568940537184,27.4974796268805,27.6879364421554,27.667349901852,28.0421461250864,27.8743112664491,28.1282820826513
"P24941,Q00526",5,4,5,4,5,6,0.201990724982855,0.361082165898035,26.7244236375569,26.5488266730153,26.6830704157906,26.7340395444149,26.7500219497034,27.1524411201427
"P25039",2,2,1,1,2,1,0.0324559208281367,0.107448411333788,24.300739792205,24.5284029779784,23.723824476034,23.2215078252169,23.8018111023285,23.1959204439379
"P25045",4,4,5,2,2,2,9.61617394053699e-05,0.00291525550512484,25.6102703526785,25.4144362618794,25.1576327011888,23.6044046520132,23.9309269026291,23.8268436774621
"P25087",10,9,10,8,9,9,0.000378724601940796,0.0046822266505526,28.9892546887174,28.7649367702163,29.0050881719714,27.6413588328357,27.7062025774448,28.01675505128
"P25098,P35626",2,1,2,2,2,2,0.140362523679452,0.289166696205265,23.3002057108711,21.156329928199,23.8970870018162,23.9672543049253,24.0263755781746,23.958180058268
"P25205,P24279",30,30,30,31,32,31,0.0473245288234517,0.141015349766549,30.8972614737406,30.8600448523896,30.895416786276,31.3194509085897,31.1192992979467,31.0904788132448
"P25293",6,6,7,5,6,5,0.000166440764366003,0.00348304021576928,27.9020088109756,27.7969469095351,28.1460434909572,26.8231313338721,26.7655282990122,26.8251664321367
"P25294",7,7,7,7,5,7,0.000150604278179266,0.00334628409171388,28.6048902649419,28.5508771883697,28.5309988273255,27.4383607820004,27.1381802432901,27.4963538766062
"P25296",2,3,3,2,1,1,0.00760904535103197,0.0362461094455862,24.5719049464724,25.7832085825621,25.6010960512042,23.9734205561171,22.3537987162171,21.653216950389
"P25325",4,4,4,4,5,4,0.439389339548288,0.588691385321377,25.9390696861443,25.4121336088567,25.5611623008961,25.8373443562469,25.7453282290371,25.7434194683179
"P25342",3,3,3,2,2,1,0.000153304115556379,0.00334628409171388,25.6377600556256,25.5164166748479,25.556275531753,23.4193267511404,24.1009470341391,23.3834537767687
"P25343",3,2,5,2,2,3,0.028391465516579,0.0976050231248178,25.5976375220632,25.1685309401434,26.4211563758133,24.9004343384727,24.6080620361968,24.798366372793
"P25349",5,5,3,3,5,3,0.0113269890903653,0.0493554644475433,28.0167043969065,28.1548074768041,27.3678375572276,26.1955565758248,27.2001021497768,26.3756107689224
"P25367",2,2,2,2,1,1,0.00697094829124777,0.0339396649996503,26.2590339378163,25.7831227078573,26.511659588169,24.9831811357488,24.8788399653747,23.6581810672554
"P25369",3,3,3,1,1,3,0.0141077507594971,0.0586152631737938,24.3283509069171,24.5274805386625,24.9261668658638,22.2693382274721,22.7575274398355,23.973113109297
"P25371",2,2,2,1,0,0,0.514441220386222,0.653207075704672,22.0579544642172,23.8423890560877,23.3493256489444,23.6559210112808,NA,NA
"P25372",1,2,2,1,1,2,0.0273568028633901,0.0949062621009776,23.9419676518474,24.7058165877574,24.5566426141622,22.4687461949571,23.1213119869127,23.9392724807638
"P25373",4,4,5,2,5,4,0.152884817401424,0.304686768875435,27.5581091578766,27.7630059063402,28.2146796535541,25.7387984504246,27.8566728189957,27.1964715013842
"P25375",4,4,5,3,4,4,0.290025243377923,0.450526344459582,25.7794876199063,25.6610500925852,26.4613129752588,25.7530265051023,25.6733617891303,25.6660831624544
"P25386",3,3,4,1,1,3,0.317915651445757,0.477082632202482,25.8929347783034,26.0685678647109,26.4098230730314,25.3910835481099,25.7680017095477,26.3111678779631
"P25398",7,7,7,7,7,7,0.0802877463119726,0.201607104299127,31.4453769464037,31.5382916691404,31.5397831890834,31.8928532234278,31.6884974394501,31.6870700930923
"P25437",0,0,0,2,2,2,NA,NA,NA,NA,NA,24.8316137112405,24.5148187576307,24.697290824583
"P25440",2,2,2,3,1,2,0.374100325617404,0.527067846036627,23.9918469802473,23.7658876544168,23.1037903784208,24.0019535131993,21.9813226693543,23.2876690794713
"P25443",7,7,7,7,6,7,0.000180906327874204,0.00358802674542242,30.8651792940369,30.946276164571,30.8338401010503,29.7975292365997,30.0120645798733,29.8963984557535
"P25451",3,4,3,3,2,3,0.000650543452476334,0.00624200133727354,26.2126056357346,26.3725581977222,26.3982634996195,25.6034772572169,25.4292156545639,25.5692914992118
"P25490,O15391",2,2,2,2,1,2,0.455394420471095,0.603751626326398,25.0255454460424,25.1314048109249,24.18846874043,24.8623974478281,24.1676806720844,24.5568301536597
"P25491",8,9,9,8,7,6,6.88531320612889e-05,0.00241621529587384,28.986816364664,29.0384190746206,29.0353203217442,27.8351027998056,27.7275394441463,27.4889721251533
"P25516",1,1,1,3,2,3,0.609639146525241,0.725397440388145,32.2983660846511,32.4103086443292,32.2608090445534,32.140000210975,32.5512881517623,32.5265961198948
"P25526",2,1,2,3,3,3,0.00103731924008866,0.00842037432968767,23.3312600172305,21.7373796850979,23.2512582524632,25.7342362545793,25.3705697681352,25.4982006373164
"P25553",13,12,11,17,18,18,1.01076014486267e-06,0.00045670308559307,28.3486609247772,28.4025297440687,28.2388987699952,30.7348035375177,30.9094124753368,30.8951670786227
"P25555",2,2,2,1,1,0,0.000568877546157233,0.00584508866119211,23.8356332788975,24.3721871672142,24.1116728823947,21.851680959562,22.3354160928484,NA
"P25567",3,3,5,2,2,2,0.00243390707965169,0.015148000132839,26.9268342598358,26.2475538594608,26.9101306190598,25.7307823650162,25.2640703059298,25.2405946970014
"P25574",0,2,1,1,1,0,0.0441802734144375,0.134726208099374,NA,24.5214702638165,23.7047842225461,22.6162229517202,23.2214003113192,NA
"P25605",2,2,2,2,1,2,0.138631703215456,0.287559831052306,25.5858600923159,25.4346137588076,25.7102719823146,25.3035703231673,22.561758198281,25.0513733183392
"P25618",2,2,2,1,2,1,0.0101209224355694,0.0454620370245113,24.9080910462924,25.066769981863,24.9860087567143,22.6011163358813,24.2334607467232,23.5162830989232
"P25619",2,2,3,2,2,2,0.00010693407875842,0.00304717416982713,27.7511339936977,27.9275325528474,27.9146242551473,26.435553276057,26.4798208260151,26.7628010128093
"P25623",6,7,5,3,4,3,0.00825362484729035,0.0388977650344407,25.9967995275728,25.67962203561,25.6468663749205,24.5026251738928,25.1871222895597,24.0918362301114
"P25631",3,2,3,0,0,1,0.000537562731472817,0.00565060179949076,25.1884263522973,24.8695774020338,25.1436590521042,NA,NA,22.5637247667381
"P25655",4,4,4,1,0,1,0.00371267997096092,0.0208843970746285,24.5886607239577,24.2638000742,24.6902257685408,21.2052868652737,NA,22.7136761798471
"P25685",6,7,7,6,8,8,0.0119478155547673,0.0513722286153144,27.1084985100503,27.3446081685674,26.9700581276065,27.6016040898864,27.600495421804,27.7868445028978
"P25694",25,25,25,23,20,23,0.000187763551116276,0.00361755942775396,31.0520046987351,30.8730259342573,30.948482228804,30.0532715218823,29.818965512078,29.9006318390995
"P25705",18,19,19,19,19,19,0.106526910270204,0.243963737275436,31.7553571879866,31.6871550550548,31.7191671713715,31.8765374515035,31.9404772908322,31.9274486297069
"P25719",3,6,4,5,5,4,0.0148999658246539,0.0608060531123674,27.0406471414806,27.8249030114156,27.749280045507,25.6668381534208,26.1090102486368,26.9107415620279
"P25738",1,1,0,2,2,2,0.000131447000997265,0.00318408626679894,23.6656811772112,23.1031688638115,NA,25.9959335117139,25.7586253308207,25.81469134216
"P25786",12,13,13,13,12,13,0.295323676324501,0.455773549185512,30.3585729792818,30.4198765700469,30.4050234977211,30.3084412969338,30.7468944999537,30.6426339734107
"P25787",7,6,7,6,7,7,0.29014607628721,0.450526344459582,28.9906852846872,28.7441604857611,29.1194959878615,29.1217688302248,28.9737959227819,29.3086501745299
"P25788",6,7,6,7,6,6,0.176667460637251,0.333177740978562,29.441798517658,29.7008929027174,29.3791756128477,29.7522048609552,29.6782632992158,29.6918767263651
"P25789",8,7,9,8,9,8,0.31259464976648,0.471579627061733,29.1199483091539,29.5210487341167,29.4438074174184,29.5388434531217,29.6065384839263,29.4327107075757
"P25815",1,2,2,2,2,2,0.0849480654910062,0.209959769073599,24.0934369490781,24.8213007747354,25.2001385745882,25.1760617458658,25.3445724074755,25.4359736082005
"P26038",26,26,27,28,28,27,0.0977210519805492,0.230866617884653,30.9992240756179,31.0339152231804,31.1041754833218,31.1504553416986,31.3969231593598,31.2911039676157
"P26196",12,11,12,11,11,13,0.282520692041569,0.443364085687525,28.6385214091847,28.7571704373157,28.8916753582712,28.8862809563531,28.8327785404214,29.0100208395978
"P26263",1,1,1,1,1,1,0.00237329418244306,0.0148722088740456,28.5150578554049,28.5939514733065,28.448084225298,27.3176344204695,27.8613132963481,27.7186844235172
"P26321",9,9,9,9,9,9,0.00148186698721686,0.0106896507159129,31.8477333520762,31.4442650678274,31.5561302024925,30.6062617885792,30.8294094309244,30.8068313755684
"P26358",13,11,10,13,12,11,0.0393165957107386,0.124470721465919,26.9474201819829,26.4420571639847,26.6163191003272,27.1984329863136,27.1800931193022,26.9755593746993
"P26368",12,11,12,11,11,11,0.391743770172163,0.545190689300003,30.6274109553906,30.141764523048,30.3572703662727,30.7894333650786,30.3688672399902,30.4839570840661
"P26373",4,4,3,5,5,5,0.0109609075131525,0.0483594391441021,29.743733833178,29.9046991631887,29.4831699524051,30.1566781316423,30.2950420689129,30.3378273506297
"P26583",4,4,4,4,4,4,0.0791283269021825,0.199540087122473,29.8122643774072,29.6880511055668,29.698316525962,29.9453938636563,29.9720904461018,29.9496959733056
"P26599",17,16,16,15,15,16,0.0652581621553604,0.176367142033622,31.2726049262009,31.1716955249248,31.5355994402619,31.5250695128978,31.7118487207533,31.7310221370646
"P26637",22,26,26,18,20,20,3.15422671541429e-05,0.00158428390509651,30.2103500863468,30.3379371980953,30.2602222444246,29.0760891933045,28.9711637709067,28.9609342631989
"P26639",22,22,22,22,21,19,0.951864318914542,0.967967289000336,30.8268396870772,30.7717827131584,30.6601083683088,30.8129950942733,30.7504048240157,30.7160678015269
"P26640",28,27,29,27,28,28,0.0387695009790252,0.123080350359299,30.5103756681254,30.4941360314819,30.3997476222805,30.7117443186681,30.7494569297366,30.776909699629
"P26641",16,16,17,16,17,16,0.233677940167962,0.394536921926811,31.9636304091641,32.036928730623,31.9305967446815,32.1146888065976,32.0968552380371,32.1293123442466
"P26646",0,0,0,2,1,1,NA,NA,NA,NA,NA,24.0881086997997,23.0658985275812,23.329371032577
"P26755",1,2,2,0,1,1,0.327437974191103,0.487603032888549,22.6859288412449,25.0018730203772,25.3820333696754,NA,23.9481615738266,22.6936689941263
"P26783",8,9,8,8,7,8,0.000247036986757998,0.00392676910658533,30.7087257998831,30.6391464472694,30.4478698612105,29.6548503181238,29.6532226502378,29.5496060979413
"P26784",5,5,5,5,5,5,0.000299337400043731,0.00424092304037113,28.9923271987956,28.9595169164504,28.986953309303,28.0021797177688,28.1803744944988,28.1789033368726
"P26785",4,4,4,4,4,4,0.000527593091578167,0.00557148074948981,29.7752480373634,29.599783636449,29.6105556050745,28.9126597020365,28.906268884887,28.8236713516464
"P26786",4,4,4,4,4,4,0.000447542414208406,0.00508312218063,30.6148332319954,30.3426793099581,30.3406692118788,29.5586095070456,29.53570832337,29.4996885889112
"P26885",1,1,2,1,1,2,0.181402564696965,0.338331357378394,23.8337893016761,23.6317349368749,24.0370270069301,24.4952157608533,23.7589268029858,24.2988373578447
"P27144",3,3,1,3,2,2,0.701197690471331,0.796529846596168,25.7220653467906,25.8649597370123,23.6475787545157,25.6745227628359,25.2200783481817,25.0946616758477
"P27248",2,2,2,4,4,4,0.000102096219827712,0.00294786680287356,24.16230149633,24.7767106237114,24.8838463655148,27.119077153222,26.7082646642421,27.2975288959852
"P27250",0,1,1,2,1,2,0.000635129106661941,0.00620440896058195,NA,21.8777234585684,21.5118312372098,24.0323962840687,23.5840345611717,24.3887521939438
"P27298",0,0,0,4,2,3,NA,NA,NA,NA,NA,25.0370157427909,24.2631779829248,24.6263964951962
"P27302",2,1,2,4,4,6,0.000130586347077197,0.00318408626679894,24.2882788927594,NA,24.0571610404869,26.4137259490164,26.9445084421724,26.949643251895
"P27306",0,0,0,3,3,3,NA,NA,NA,NA,NA,25.2030758245647,24.9094158701091,25.0820188097053
"P27348",9,9,9,9,9,9,0.226661057044624,0.387276307954148,29.9427101058407,30.0962646219526,29.2901845999292,29.9774017489569,30.1933145550194,30.1112493280773
"P27361,P31152,Q16659",1,1,1,0,0,1,0.326488623184651,0.487063799531844,NA,23.2224721598906,24.5913590933978,NA,NA,24.7961631761949
"P27466",3,3,2,1,1,2,0.00175769017887658,0.0120943930558597,24.3293520565306,24.5033398588118,23.9548949564655,21.5916605478883,21.7037461001234,22.9411235160948
"P27472",9,9,9,8,8,8,0.000266468872627184,0.00399613699256041,27.6276066148526,27.7615356298771,27.6628104446841,26.6029304774219,26.814237342456,26.8038596890198
"P27476",5,4,5,3,3,4,0.00429850981338831,0.0233877991495722,27.8295636813552,27.6651681314974,27.699231176605,26.4399387661175,26.344009874936,27.1520746050461
"P27482",1,0,1,1,1,1,0.0564653524772588,0.1599968559014,23.9748209458845,NA,24.8987480472305,23.3734487455903,23.6466312975868,23.8208610105801
"P27550",8,14,11,16,16,15,1.17488313278023e-05,0.000985943719621891,26.9691994726388,27.4387900668174,27.0573858711368,29.4994372008681,29.5771357199284,29.3450804720027
"P27614",4,3,3,1,1,2,0.00232558438427958,0.0146537513274633,26.0138570738792,25.9798438757697,25.8443418390918,23.2331353125407,24.0731900372945,24.7148182007269
"P27616",7,7,6,6,6,6,0.000249078883816087,0.00393182653276467,29.0611890569404,29.1432706862643,28.819483293697,27.9462595182729,27.6510721896659,27.8716524559292
"P27635,Q96L21",5,6,6,7,7,7,0.023493977644364,0.0848047830882414,29.9449100551367,30.0062479667954,29.7126622110696,30.355677347677,30.1791641916027,30.3493629538726
"P27692",8,8,9,4,5,5,0.000838500857148379,0.00731403615738222,26.4039327941939,26.5870814839395,26.6348640431362,24.0322978368312,25.1014225904084,24.8719640675535
"P27694",14,15,14,14,13,12,0.770784281988264,0.848327598173814,28.9179347121435,29.783836386035,28.7202462099804,29.0694481236831,29.9109223603944,28.8093031137084
"P27695",8,9,9,9,9,9,0.0556870272523514,0.158219724941517,28.7161600590306,28.4324389340401,28.9528697819921,29.0289774643618,29.0865409068125,29.1527159453727
"P27707",2,2,2,1,2,2,0.700808372503631,0.796328853402345,27.4065439746006,27.1099803138679,27.1853070143324,27.1543335945586,27.4142882011116,27.3013350447793
"P27708",45,44,46,44,42,49,0.0671553843108915,0.179346058016906,30.0845816727675,29.9708711908238,30.089134674116,30.3419661138994,30.183943193575,30.6027907737518
"P27797",11,12,13,11,13,12,0.25989273824255,0.419840889469728,30.9468714647991,31.0158149830851,30.9604958096371,31.0227194794344,31.2230505173264,31.0962056948935
"P27809",3,2,3,0,0,2,0.057139068246603,0.16150460306134,24.4707694922969,23.8040530123225,24.7451526199959,NA,NA,23.1353841850274
"P27816",18,19,22,21,20,20,0.297645608830504,0.457962653451858,29.5431889697604,29.5935995684774,29.7049553414315,29.8875229796505,29.5778194009131,29.8337903386469
"P27824",11,9,11,10,11,11,0.0737200096818907,0.190652315288427,27.9509895836053,27.8855038359701,27.9467211305116,28.1054551886642,28.2019880984244,28.1513412953965
"P27999",2,2,2,1,0,0,0.000350103629797828,0.00451809253607854,24.2976739903922,24.5942941155219,24.3633821832393,21.7143514913515,NA,NA
"P28000",3,2,2,1,1,1,0.000359602391942335,0.00453178483989208,25.0731684028802,24.3248928701821,24.5547817669692,22.9518264792098,22.2071363728929,22.231409050107
"P28007",2,1,2,1,1,1,0.00293579655730183,0.0174246288717388,25.8775122990836,25.1478381228754,25.6228778810901,24.5868824991157,24.4788145774913,24.5337760153749
"P28066",9,8,9,9,9,9,0.180451017945167,0.336979700485274,30.5914519171881,30.5798233428541,30.6269911597314,30.6536308378634,30.8080813032229,30.8434700259487
"P28070",3,4,6,5,5,6,0.0164371101277137,0.0653758469072624,27.7360414685619,27.7136777206988,28.2179711364274,28.7502983387607,28.5424443133653,28.3421113021643
"P28072",5,5,5,5,5,5,0.370092777056297,0.52319902352985,28.6263539355177,28.6410281882449,28.5157244525531,28.6225587242983,28.8363540832585,28.6671288098473
"P28074",13,12,12,13,12,12,0.0290956907557702,0.099055627781958,29.6139644716116,29.6247524565424,29.841141077488,29.90974871436,30.2179198958274,30.1865514361362
"P28241",9,9,9,9,9,9,0.00024282650176357,0.0039229226058713,30.491686955539,30.4209980479956,30.4082475881921,29.6461113011858,29.5434727857455,29.6092968318905
"P28272",5,5,6,4,4,6,0.00576552944740512,0.029498088045975,28.0305022285801,28.0009502860696,28.4107032399184,27.3906804292955,26.9655585335183,27.5027641045028
"P28273",3,3,3,1,2,2,0.316332581482855,0.475489040107012,23.9151354947749,25.316224633034,25.1883739893956,24.622174488502,25.4719901890483,26.0151739492421
"P28274",4,3,3,2,1,1,0.000348824992746193,0.00451809253607854,25.27423049825,24.716918115215,24.550807195188,23.3221069341473,23.0923601062243,23.2626272714354
"P28289",1,1,1,1,3,2,0.00834156491105428,0.0392311537363192,23.1516305622046,23.0288206624576,22.9357263232383,23.6659817757346,25.0228652475171,24.5788673676409
"P28321",1,2,1,0,1,2,0.00124091987097291,0.00937863049425644,23.4091395111084,24.01684922795,23.6700101873194,NA,25.1653627241309,25.2295551545936
"P28331",15,15,13,15,14,15,0.100339874727156,0.234623530756168,28.3100738570937,28.083114994997,27.781200667761,28.6121400351997,28.2218618375969,28.4381322564254
"P28340",13,12,13,15,11,13,0.55840969628466,0.686093464705257,27.2215927339348,26.9001283911578,27.1526553224072,27.5537093997821,26.9096331189204,27.1866632772961
"P28482",15,16,14,15,15,17,0.756721713085182,0.838107418085603,29.8838426264001,29.9190581196926,29.6876025337069,30.1004750193037,29.7434517887122,29.7915143049314
"P28495",4,4,5,3,2,3,0.00240092605099429,0.0150041433488164,26.3983660005581,26.4168182727785,26.8926934061925,25.6647756416016,25.1016603097717,25.5422757647761
"P28496",2,2,2,1,2,2,0.00562200688179484,0.0289232706003191,24.7010373620555,24.9134297543247,24.809814988291,23.0719358229226,24.0198495795275,23.8632133992691
"P28625",4,5,5,4,3,1,0.0202985569221819,0.0765305922966889,25.3481290976457,25.7033908799588,25.7844430330122,25.0360341172234,24.0305767315086,23.0992773777295
"P28707",3,4,4,3,3,4,0.000523458976148463,0.00555353453299834,28.086803438951,27.6614355635174,27.7522744101077,26.4749493461931,26.7741294624099,26.7560639323301
"P28777",9,9,9,7,6,7,0.00117836002222229,0.00909590257424379,28.1438379141859,28.1683912265356,28.0603227438664,27.3533396041459,26.7831540018438,27.1497817736922
"P28834",11,11,10,10,10,10,0.00230606270583426,0.0145842569556266,30.4079343703586,30.098854351966,29.9875206517308,29.4612571620295,29.3890444361253,29.3653396303702
"P28838",16,18,19,18,18,18,0.0703062346390348,0.185076192973616,29.6354113135779,29.4921345438232,29.4056519121066,29.7353894956428,29.7978847612679,29.7627710063608
"P29012",0,0,1,2,2,2,0.00578393298059711,0.029498088045975,NA,NA,22.371773082641,24.0718208793542,24.8408965260528,24.632137052881
"P29083",1,2,2,2,2,4,0.0294912086971107,0.100177880920491,23.4024077251769,23.4415675708212,24.1895421507994,24.4818686734845,24.1686794225853,24.7518130364803
"P29084",1,2,2,1,2,1,0.735340143160519,0.821607086235191,21.8385571129705,24.3051137486061,23.9304031922411,23.7463201825515,24.2680154013416,22.842410705499
"P29144",18,20,18,21,19,19,0.0738145635617647,0.190788690633864,28.0738807938227,28.3773658205146,28.2672855222864,28.4683696634428,28.4955456987281,28.5867944701867
"P29218",2,1,2,1,2,2,0.341621318388364,0.500474134389119,27.095656445505,24.6282972187092,25.7538439671405,24.1710180547632,25.3343726515493,25.7362732334586
"P29311",11,11,12,11,12,12,0.00219155104751367,0.0141412388667007,29.7907594311455,29.6860431789506,29.6649400938051,28.5875191473075,28.9019757549145,28.0707871200476
"P29353,P98077",3,2,2,3,2,2,0.739886746347984,0.825474036889094,24.0329860657059,22.9756754647906,22.7975678929742,24.3564688608959,22.9867487069364,22.9936812435838
"P29372",3,3,2,3,1,2,0.83574628595812,0.890648194235295,24.2868524432757,24.3831068175572,23.7318216010338,24.7420526511447,23.2986297901295,24.100903823268
"P29401",20,21,22,20,19,22,0.994959617033197,0.997145380691002,32.1503006615572,31.9481623342317,31.7976765941572,31.923324826521,31.9604803869613,32.0097174390168
"P29453",1,1,1,1,1,1,0.0157425275168861,0.0633869466302159,27.8441850296465,28.4767853504074,28.4140835016356,27.0619929401875,27.5633504684242,27.6218246030345
"P29468",1,1,1,0,0,1,0.0501064094126165,0.147760465249099,21.8615665432675,22.1542332381084,NA,NA,NA,21.1243358425391
"P29509,P38816",8,7,8,7,8,8,0.000703773454506086,0.00643329247800911,29.2885808417697,29.1492171992737,29.2778252967292,28.4345944983914,28.5086022590037,28.577237122651
"P29547",8,9,7,9,7,6,0.0207483725419993,0.0778713092764775,28.680317174528,29.3499445653519,28.4239087787177,28.2817997004961,27.5848510269778,27.3955337646574
"P29590",6,7,5,7,6,8,0.0714037821834297,0.186565895945479,25.8815606069147,26.6647603519107,25.3915574156382,26.598931032696,26.7158937054604,26.7967260144117
"P29692",14,14,14,14,14,12,0.121903846191326,0.266343556668979,31.3683237340735,31.3251841110959,31.2702821043364,31.4808906010882,31.5466847727297,31.496777902817
"P29704",5,5,5,4,4,3,0.000587609916062506,0.00590457364994967,26.8950688659558,26.8277679312909,26.8763177985235,25.9286354060308,25.7401764489351,25.3432435173709
"P29952",6,6,6,6,5,5,0.000181682196008895,0.00358802674542242,27.5818104986207,27.5304635232997,27.4830412093173,26.6994435274175,26.5628843673438,26.5774759766218
"P30038",1,2,2,2,2,2,0.870926033297213,0.91484332578906,23.5836350293935,24.8987617618064,23.7962421148868,24.2696890266548,23.6941934582257,24.5232150485751
"P30040",6,9,9,8,9,9,0.0225211109077017,0.0825231389244459,28.1858988290358,28.1185560005426,28.470433266886,28.8740762383707,28.6531415589533,28.6282620479677
"P30041",16,15,16,16,16,16,0.106217441281115,0.243499480967058,32.3024773786477,32.1928343851653,32.2962515011018,32.5514194795283,32.4615271594943,32.4056486439498
"P30043",8,8,8,8,8,8,0.129609415224908,0.275911410292128,31.6769367933426,31.6234190484269,31.5852459506527,31.8016685001638,31.8067605500351,31.8152469995896
"P30044",4,4,3,5,3,3,0.0445160126293737,0.135478351978121,27.8708103000824,27.7682214542508,27.9336382424745,28.4408661864637,28.1607156256213,28.0648608896611
"P30048",6,6,6,6,6,6,0.208604155724276,0.368571711237083,29.3664491909598,29.3218996378118,29.1101273332088,29.6370965075971,29.4554657113524,29.3114427930816
"P30049",2,3,3,3,3,3,0.193668233267638,0.351018863792994,27.3996863942354,28.333985709119,28.3794350141707,28.2566860177803,28.6749522140092,28.51378912026
"P30050",6,6,6,6,6,6,0.0639401544766219,0.174109407387968,31.0997524055901,30.9657373543509,30.9866127967234,31.2942714578073,31.262189409677,31.2247400553551
"P30084",6,6,6,5,6,6,0.315451982738476,0.474478056463214,27.92186493661,27.9207667511902,27.8628249042814,27.9992866538113,28.0154908667463,28.0218791911528
"P30085",9,9,9,8,9,9,0.230531177124265,0.39125120165212,28.72313511162,28.9712245760162,28.965089023816,28.8998678934316,29.1640487034682,29.1611413658974
"P30086",9,9,9,9,9,9,0.262034453551519,0.421064169461793,30.935378962081,30.7599002300713,30.5637212437401,31.0937244040095,30.9960413584857,30.756561265275
"P30101",16,18,18,19,16,19,0.104390806393547,0.24088299611758,31.0645603652792,30.9865136488284,31.0479518513831,31.2038791388508,31.2453437382391,31.2361859860707
