"protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_control_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","log_fold_change_","differential_abundance_pvalue_","differential_abundance_qvalue_"
"Q9Y5P6",3,3,2,2,6,2,NA,2,1,1,NA,2,1,NA,3,1,3,1,2,3,5,2,NA,2,NA,1,NA,NA,2,3,3,1,NA,NA,3,2,4,3,18.3711798766422,17.6041899130584,17.0611025113515,18.8213404369299,20.5078277644227,16.6608968038334,17.3002443573638,18.7493171449643,18.8625313993164,18.2850565517053,18.1151743979245,18.4098918047844,17.6820490054908,20.1641590627268,18.0776747717299,17.758712996114,18.8807617443009,15.9869635986922,17.7136927586396,17.100333668725,19.4810013658305,18.0420180484536,17.7328720836429,17.9675555700188,17.4749347466556,17.9407587840187,18.3977970585726,17.7632355604053,18.5388510008338,17.9575213873818,16.3210053020858,17.3198048886505,17.837805115519,17.9237921386508,18.2940276979213,17.6441840047796,17.7296273361135,17.0981489543102,-0.106750040197339,0.347311321388694,0.529334378632435
"Q9UH62",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5149050946673,-Inf,-Inf,19.90303334432,-Inf,14.9949355430465,-Inf,14.8996649966789,-Inf,-Inf,-Inf,-Inf,-Inf,18.570546481502,15.564257410141,-Inf,15.7954025462804,-Inf,-Inf,-Inf,-Inf,17.029797433319,-Inf,16.0623310718187,-Inf,-Inf,-Inf,15.2617917895499,-Inf,15.3854865990438,-Inf,13.671134866932,-Inf,-Inf,14.6602840733056,15.4581204461989,-Inf,-Inf,-0.165743523389917,0.872835440069725,1
"E9PAV3",5,4,4,3,4,4,3,3,2,5,2,4,5,4,4,3,4,3,4,3,3,5,5,7,4,3,3,3,4,4,3,4,3,3,3,3,4,5,21.0100291188583,20.5956929178883,20.8041792948832,21.6446375464246,21.767049473618,19.0226539584887,20.0417085878069,21.3429638877038,21.1248942538466,20.1977364209055,19.6939902529489,20.7370342646641,21.185275095813,20.9818122807078,20.5627105362309,19.7357267331776,21.2370291262715,20.0521778049479,19.9878633165084,19.8386615110748,20.7610315830675,20.2673763834445,20.2449835160655,20.2679685078626,20.2680902145833,19.9448970666776,20.1765519714452,19.6886218834139,20.2104644087083,20.8477972343419,19.6990760728256,19.2092571018721,20.6446732554931,19.8224602440718,19.6720161669745,20.0976841723828,20.0394978491449,19.2653775963516,-0.512403894609136,1.05690642188393e-05,7.80493264105451e-05
"P12956",21,11,13,12,20,9,11,10,10,10,8,9,18,8,13,15,15,6,28,11,15,8,19,7,14,8,15,15,17,9,17,7,16,6,15,5,20,12,20.4070104795745,19.8789876699241,20.0139469685353,21.3660640914064,21.8585681274504,18.2379461386953,18.5597541130825,19.8383630256415,20.4912264100282,19.2063093117085,18.9268514331888,20.1741152103058,20.3182400367525,20.473285986387,19.8248924033798,19.1145866772676,20.7358698494312,18.6231450233431,19.8594919133773,19.7708769604952,19.9552534187738,19.6446972836506,19.4949552289842,19.9639549539095,19.8977366079865,19.4699945207807,20.1392043496997,18.71764473489,19.2928656674115,20.6470997818986,19.1772656990909,18.4298258686007,19.1337104453941,19.2840854069328,19.1246584081188,19.5077906020656,19.4671109189851,18.6380248953144,-0.790181227297682,7.29837534211093e-12,5.98389103784535e-10
"P02741",1,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,17.1180868806201,19.047170905404,15.7194627679695,17.7819540756869,20.951486708752,13.8994311653869,17.0198137331863,14.635905535588,-Inf,19.727068338573,-Inf,15.430613906582,-Inf,15.4505837714352,17.9838660168748,14.8676595067954,-Inf,-Inf,18.3163490934536,18.4208061869868,20.1520805789997,15.4488556513662,19.5163650454604,17.3381982877137,-Inf,-Inf,18.3517727490384,-Inf,16.9146099653083,18.4131357746136,14.3706903288741,-Inf,19.0557925164582,17.4715126629391,16.7831235304952,18.7294491073591,21.100937128493,17.2371892227637,-1.07339985855363e-20,0.99999999989016,1
"P57088",2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7047916316706,17.5887792174766,14.0635342951725,19.9525145496479,20.0590635463183,14.493090686763,-Inf,-Inf,16.6101047859975,15.4244751393954,-Inf,13.8282236271091,15.3768487055,15.7301268643617,-Inf,17.7817132821606,16.1542749803276,-Inf,17.5226534227923,15.2190673774179,15.9999701962273,15.6706026498588,15.4105367837888,14.7167465440125,17.8879917398271,-Inf,15.2581390409782,15.3541987779547,15.6979379544044,16.9010062608468,13.3524142836478,14.626298256441,-Inf,15.0662685389402,14.40064950094,15.3198884753274,15.7861937231373,14.1140308070768,-0.0595193092584224,0.626743568835168,0.883803002417768
"Q9NP81",6,4,4,4,NA,1,NA,2,3,5,4,2,6,1,5,4,3,3,NA,3,2,3,4,5,NA,2,2,3,2,3,5,4,1,4,NA,5,NA,3,16.718003226061,17.7051816296756,18.3345988669206,19.0227158332844,18.5223793211648,16.7596144597118,17.7241974260639,18.6730147376205,19.099547154643,18.1282344067222,18.0516491947535,17.9045195371475,18.7920854790604,18.4974822219128,18.5343663956702,17.3925023878879,17.1689692463724,17.9198845295659,16.8317303603952,18.0797668064803,18.9829482276628,18.4311482349392,17.4687340477511,18.4332096310533,16.7082720166271,18.2758877244186,17.3419498706434,17.3016841809464,18.2537585740498,17.5222066913709,17.7229914353991,17.2088751553472,17.9112004536323,18.2203631369537,17.9724390957687,18.3065800729533,18.1393246551391,17.1922293825606,7.70078922160317e-12,0.999994994583945,1
"Q14764",27,12,7,4,3,4,NA,15,4,NA,21,NA,23,NA,17,6,19,NA,5,6,4,10,5,NA,13,7,23,11,16,3,24,NA,21,NA,17,9,13,12,19.255142192024,20.6314283531702,17.8477563220097,20.7687197935679,19.4294441778196,17.9636842662146,17.1780517153904,19.2243520851163,18.7801868052693,19.0669755766461,16.5079372692514,19.6227229578819,20.1510593690458,18.2982398645977,18.7311800708194,17.0009531231373,18.5974934502645,17.0913634337356,19.901179486047,18.8537879300225,19.1923627330854,18.2065541216941,19.370488139801,19.3516786329692,18.841331666714,18.0876104594077,19.324518135546,17.3118211132802,19.5675013858745,18.2085408529387,19.9159070040412,17.1371800441936,17.6071241144043,18.2317169362428,18.6985653122177,19.010005458627,19.8369287210095,17.7190817988748,-0.849624897618484,0.000560690609251738,0.00241582716756788
"O15372",2,4,2,NA,3,NA,3,NA,NA,NA,NA,2,5,NA,2,2,4,3,4,1,3,NA,5,NA,3,NA,3,3,3,2,3,NA,NA,1,2,1,NA,2,17.5687264886522,17.8254042369394,17.4292799720523,17.6437804179439,18.9952250113649,13.6664469302572,16.1510138713933,17.7959091396769,18.2726180292026,16.7087915681944,17.2394832737076,17.887969952992,18.4223714546803,17.7547741711346,18.1847237265959,16.0015330709175,19.2223857206963,17.4878319689736,16.3347001944516,-Inf,18.1784465991374,17.5166240687861,18.0676005171787,17.9860277363543,16.9821191967434,17.7501015090665,16.645041338912,13.3786677595427,17.2088962578744,17.3866147273589,16.2627009205472,16.3821643325119,17.3702448289907,17.3815138211416,15.9047179170118,16.5243432915279,15.6351115167414,16.3268391766756,-0.288080354432754,0.0260946315868109,0.0589566621345969
"Q9BY32",2,2,2,1,2,2,2,2,2,NA,2,NA,3,1,2,NA,3,NA,2,NA,NA,NA,3,2,2,NA,3,2,3,1,2,1,2,3,NA,NA,3,2,18.3706364571571,18.5980177508149,17.9378099357046,17.694167992234,18.6741683391523,16.5700369816279,-Inf,17.9440631703097,14.1469449361745,17.2672981124979,17.2853160121879,17.9700499858732,18.729198635978,-Inf,17.9151898488805,13.842443656618,19.2075964036143,-Inf,16.7154288788833,17.850204976749,14.3731278320182,13.3122387076112,14.4052952131346,16.4435780630172,17.2495023100279,16.7251680604603,13.6012125427402,16.3577652329001,18.2649616293522,18.2703681035191,16.6704752799447,16.8997318259203,16.1913520919344,16.9407553386479,-Inf,16.5287725765066,17.3265026861467,12.7214472559829,-0.822176487586931,1.3250795779421e-05,9.11158398745474e-05
"P13639",23,14,23,21,26,21,23,20,23,17,23,16,27,14,23,19,25,15,21,19,23,22,25,19,25,22,20,22,22,22,16,18,19,20,21,18,23,22,22.3162096873411,22.0656715830988,22.2258270758822,22.6570893483708,23.7880404751031,20.6262571536497,20.7649079493871,20.8700413059743,22.7184461215332,21.7144550723149,21.9316257385046,22.3549124072819,22.6916671160911,22.445071878827,21.1413566147831,21.189197138131,23.0113484958756,20.2291728922896,21.3965268898207,21.6135262444468,22.5819420882955,22.152864550971,22.3168966857109,21.8884148349591,21.5833364992002,22.1919857083801,21.7533937604803,21.2904436771312,22.1345794635611,21.8275282889317,20.349482724359,20.8868028975853,20.5203540170115,21.8813678554882,21.5571584271438,21.7047431884139,21.7873006221826,21.1095247025243,-0.568830380405897,8.23314814343503e-06,6.26938984551941e-05
"P42224",13,NA,5,2,13,NA,19,24,NA,NA,NA,NA,32,3,10,NA,10,NA,35,3,11,3,2,1,16,8,12,8,17,21,14,4,7,4,5,NA,24,3,20.87095661535,19.5660278747895,18.2308247026126,20.1700442043811,20.9002879536991,20.4119607982329,16.0814745707317,17.6821412170201,19.5464521064159,18.8378853135827,18.1106423094168,20.0045395410722,22.7435565821153,19.3716078946972,17.4936274570944,18.578958511111,21.2477012163123,17.5343052275997,18.9201866022988,18.4492307977719,19.7825086565206,19.1634644156202,19.549796854398,19.4806486219784,19.5480462138866,19.0334550274209,18.4665282615891,17.4548333224333,19.4187901983434,22.9745755647916,18.1854409072077,19.9288898565446,17.4067115430085,18.7544676265851,18.0909762344581,19.6326253634315,17.6066085252107,17.6956203218544,-0.973151366489585,0.00506904191100052,0.0155088544181802
"Q9H2W6",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,17.3210670280819,17.8221557318335,18.0224383382107,17.8974697262908,18.969869684361,16.4197795053675,17.0535693479146,17.675705908933,19.2760467661482,17.9308674174973,17.9597290277531,18.333883761138,18.9615481420088,17.7555654710471,17.8905277535215,17.0273647266076,18.9139403155139,18.308803475333,-Inf,-Inf,18.4150056730046,17.6780694009716,17.7120179489212,16.5865756752208,16.8477563920008,17.8421268844134,17.2998876309803,16.3280240156338,17.3931059933686,16.4171467830514,16.8692820650994,15.7626643747046,17.9262012015704,17.2297999559236,16.2219762129339,16.8055599516472,17.9169278800154,16.893344574096,-0.0869667349640095,0.363485549345889,0.550902747476599
"Q15043",NA,NA,1,2,1,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,17.4510116999841,18.1374987228515,16.8336595164699,17.9392532388738,19.0875718640149,17.2962373642701,-Inf,15.5472817014669,18.9394644220117,18.7294962027336,17.5072070526353,16.6579398610998,17.3539969793648,16.9732487186083,15.4930088151252,17.9087022130595,15.8613645957612,-Inf,16.2672397001785,17.7993005032741,18.8890661846465,18.9416199686163,17.4235404332181,18.1262058889314,17.5083569556902,-Inf,18.1248664054593,17.360251794048,16.9883440443052,16.5271381265757,16.1610045987673,16.8601978003323,-Inf,16.6739846488546,18.3444581869098,17.8030294346715,18.0530653790624,17.4440919027327,5.54845847872406e-12,0.999997506290149,1
"Q8IV08",2,NA,3,1,2,1,2,NA,2,NA,1,NA,5,2,2,NA,3,NA,2,2,NA,1,2,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,18.7188852684611,18.8464384848834,18.8857229665409,19.6152325574961,20.7756352482991,16.862836289531,17.6770507702127,18.5004291205827,19.1970782783705,19.1049441715594,18.9492676653807,19.1104118239924,19.0317427573037,18.2478726403447,19.1983632489391,18.9496165146596,20.1126248095992,17.9109215891065,19.9160408315551,19.4558235452441,20.1545447692166,19.1247805075479,18.3777163696278,19.1854615181796,18.8835234397084,18.7542558509695,18.1321632262258,18.5705231275494,18.7813555073853,20.1474831685672,17.2734774085896,18.7375626452646,18.2305787478499,19.1292105097596,17.9685457752089,18.8795808064834,18.9500874240824,17.8155143343193,-0.203325736348783,0.0293941202316452,0.0648436815410543
"P10155",5,1,3,2,8,NA,5,2,4,1,3,NA,4,1,2,NA,3,NA,5,3,4,1,2,2,2,NA,3,2,4,3,3,5,4,2,5,1,5,2,18.2728793097668,18.1366879910839,17.8725996981316,18.7764216824786,20.7069481589961,16.3916095316261,16.7927469278789,16.8168016533919,18.5482591531047,17.6651827622023,17.7365484651921,18.2391740748969,18.6559940785847,19.1502281724113,17.9273413847994,17.4162135971257,20.1564367301574,16.836350599587,18.2659269551113,18.1999641037876,18.6791625694338,18.0847112603624,18.7221709558895,18.296538761039,17.6375124720373,18.2758060105011,18.8154198022032,16.307854285115,18.0472157646295,18.6666756216566,16.762649380633,17.0329510526645,17.1714531684507,17.9149087387623,18.0664361723422,17.6963613880606,17.3984600396096,16.6255869134964,-0.774074678441982,3.64305461212453e-08,6.74785611038562e-07
"P06865",2,NA,NA,3,NA,1,3,NA,NA,1,7,NA,4,NA,2,3,6,NA,1,NA,NA,NA,NA,NA,6,3,NA,2,3,NA,3,NA,NA,NA,2,NA,5,3,19.0855290551635,18.6001919484091,17.8759267760673,19.2828141882859,18.9676280045417,16.886305946919,17.5488206571033,18.386876104778,19.5447827580942,18.6908076848173,17.3940609275093,19.5714508319178,18.7928606283468,18.6501519136915,18.9117422277588,17.4529867505345,18.9618403841907,16.5081756060776,17.9883298106761,17.7073385867517,19.1847995684406,18.8408582162474,18.9333038820086,18.741075104328,17.3575343203026,18.1260773602285,17.286769299922,16.9782082532108,17.9254952018001,17.8795757947055,17.3763713627657,16.7856675891957,17.6879969803382,17.2141016222403,17.5906942140265,18.215484485339,19.698073202706,17.0653179734999,-0.375483806521867,0.0194226848698781,0.0469248414717619
"Q66K14",3,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1,NA,NA,NA,15.7280257830316,14.1039451253811,15.4730736561108,16.4340209034156,16.7767095222678,13.8402184262636,-Inf,-Inf,16.4902562834871,14.5842027125651,14.7615676478576,15.1633574261535,16.8617115240544,14.9193320487677,-Inf,15.6533679532248,-Inf,-Inf,13.8298868176593,-Inf,15.0563672832909,14.7455800604319,14.4668660327369,14.6729212689601,16.1062534180193,14.9185821050518,14.8658612927146,13.8919690698146,14.9397084598358,13.8223650081734,14.8714450022628,13.5315248177032,-Inf,-Inf,15.6764076799435,-Inf,15.3664674221928,13.3787038192805,-0.0678545281238892,0.511982799568675,0.740104528261952
"Q9UM22",NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,20.4505379864665,15.9475854110278,-Inf,16.7702386505484,16.1043328641926,13.5143262267376,15.8037462704717,16.7360197751787,18.5305603583533,15.7778924636945,15.5719526628619,19.3042306448415,16.1103111320744,14.9079823546427,16.3547753296216,15.6986973023344,18.2660626740001,16.0724683925565,15.8626371211057,20.2834409807385,15.865521541656,-Inf,16.8552346421659,-Inf,14.3551369755267,16.0724170272855,15.2536648185522,15.5954899805895,-Inf,-Inf,16.7360028875893,13.6629243757477,14.8752419728847,15.7213006893966,14.5192749171159,15.2203419759001,16.9106036654887,15.2005880594988,-0.887774515439519,0.0030356798843459,0.0099543187276159
"P21980",8,6,15,16,16,12,13,15,14,12,19,9,16,10,15,13,15,12,12,20,12,16,10,14,22,18,20,13,16,13,10,19,19,17,16,17,6,18,20.1112487196166,22.9752868532031,20.8910357843358,20.6289586355546,23.1034240039041,21.4900116250591,20.8889298053571,20.3426709102944,22.7636445531217,22.6132548844843,21.8104131645176,23.6378535459277,22.0350470089843,21.4209638471252,21.5336116665599,21.4810686402529,21.3412234985954,20.527001995993,22.1056703650474,21.6542827297778,23.5929065003697,21.9452841969472,22.2720157072919,21.5869293091989,22.2481414915136,21.9376635793151,22.189115117029,20.8299772902928,21.4627986545955,20.7464362280899,20.2600435659524,21.0015348799201,20.9342589017257,22.4633580091974,21.7720437380048,22.5646539611597,23.0139568240199,21.7008364655926,-1.33938165490719e-21,0.999999999973843,1
"Q9GZT8",1,2,1,NA,3,1,1,NA,NA,1,1,NA,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,18.0239399756546,17.6663588350835,14.3681458891701,17.4886417220965,20.2803907989714,16.0807666257975,17.3138630782406,18.7504089850206,18.6743898982446,17.9205035625922,16.3467113878083,18.3608436686934,18.3389673320581,17.9979451017102,18.4398513899176,16.860103048182,19.3758420583292,18.0187400804062,17.4841892422268,16.9400325791406,18.6398351256375,18.1866260094149,16.4537788440816,18.4160801542544,16.835869004315,18.1985859162197,17.7463124798731,17.3162945270159,16.6691734264748,17.6427721914634,16.6013039874931,17.2836058051189,18.0764282797902,18.3087903794145,17.0241582205292,17.7596408530777,17.8622033231678,17.1138406056477,9.46848393072436e-12,0.999993689775228,1
"Q9Y678",15,NA,12,15,21,8,17,6,8,8,11,4,17,9,13,4,16,NA,17,15,17,12,12,8,14,10,18,12,13,10,12,10,10,13,11,15,10,11,19.8313763858985,20.4491011252205,19.9680482027452,21.0973331695241,22.4040143915442,18.487834467521,18.0113469926741,18.2607423668195,20.4846647233212,19.9526788706866,19.6536663109859,20.6938484745674,20.4223102475959,20.6228449325836,18.5433388807282,18.7358070815053,21.1367942251455,17.8815107868916,19.6855730533971,19.7600094738046,20.7997050353584,19.8137045466326,19.8571668555817,20.052548111475,19.7775272867318,19.6130426866379,19.742772801541,19.1989858092079,19.8778028962059,20.684777951768,19.183870508783,18.4371880005714,17.8157352514185,19.2792318643852,19.1154118145735,19.7574563621738,19.8083043029306,19.1764692091332,-0.764873944504963,7.49531459477808e-07,8.02623271190819e-06
"P55010",4,6,2,3,4,4,3,6,NA,3,3,6,NA,2,5,7,3,5,2,4,5,4,5,3,2,4,3,6,5,2,3,3,6,3,2,4,4,3,18.9021906855399,18.4786840262212,18.4454026642119,19.0430803992051,19.3066237125638,17.2072178168824,18.1010026653711,19.182598998836,18.4637813633023,18.1943014476249,18.1812375762176,17.4643623683641,18.2123852146813,19.0136213994081,18.840414938652,18.0296404890729,19.1134720108656,18.3558253229949,17.7843813840439,17.5961024645036,18.9372523211292,18.6180454038987,17.9740646655936,18.2591543736786,18.5366728786248,18.389148206782,17.5139679434812,18.2375739867172,18.7545895815292,17.1138256738113,16.5290546307654,17.3900645913747,18.5309487318984,18.1442340271926,18.1037988601902,18.2857335737359,17.8727951526769,17.5031265390926,1.11140712993124e-20,0.999999999827827,1
"P05109",1,2,NA,2,NA,2,2,2,NA,3,NA,3,2,2,2,2,2,3,5,3,NA,2,3,2,2,3,2,3,4,1,NA,2,2,2,NA,2,2,3,19.6747825718968,16.9918628127171,17.8516165102743,17.3536362830002,15.3454230925366,17.1881027621775,19.4085764942248,18.687703928916,16.6363660191245,19.1857804867924,18.1282285553343,17.7004929682504,16.2745217081762,13.4225573824199,18.4089957711421,18.6520842817671,17.7007798266583,18.2599240109035,18.5321169554058,17.6528893781678,20.4226180315265,18.035175841607,17.8843507241843,19.013903881977,19.1615570829543,17.4706418861156,16.0128306116369,16.5836113196541,17.8363196479293,23.3284664653721,15.7674462502718,16.2711413399536,19.7419993475258,17.2374441714744,17.6443788933304,18.7437642877429,15.7622680396747,16.4542741095088,4.12188567569751e-09,0.999937810215838,1
"O94760",NA,5,1,7,2,5,2,2,5,5,3,6,NA,5,2,5,2,5,NA,5,3,3,3,5,2,5,5,4,3,4,1,5,3,3,3,5,4,5,18.8777095001734,19.4214720754144,18.7662702716163,17.5046371797164,19.9334675076154,16.9531350352928,19.7176130525359,19.7846262648587,19.4949066537329,19.1674215401501,20.5445047949206,17.7818221732589,15.9235490181409,19.5897002766909,19.8189288863709,18.8579988318889,20.1881748185111,19.7161585210467,17.953029435987,19.8260691473279,21.2355783728095,20.0977934287081,17.9975774252884,19.2507603594077,17.7428971711162,20.7697877990278,19.3918221860868,18.9986262805937,19.514922317345,15.9374932749392,17.111969206055,18.7993740045814,19.4664122984436,19.6676119474246,19.3622325009368,19.6114573561548,18.9517577991885,19.1026991053044,0.952302108200173,1.35869125020845e-05,9.31156403476189e-05
"P07902",2,4,4,3,3,3,2,2,1,3,2,5,2,2,2,3,2,5,1,3,2,2,1,2,2,1,2,2,3,2,2,6,2,3,2,2,NA,4,16.4325716861476,18.3583631403637,18.3131055819674,18.5347533560446,19.1603604442908,17.6537251251102,19.3076720259953,20.3125089530708,19.9558932403212,18.2912792145019,19.0788480353105,17.957213051967,18.2147967550489,18.4479608945858,19.0873155946678,18.6654980330539,19.4595167596207,19.0957203527162,17.103140480598,18.459132501984,19.4591567993408,19.5222610697347,17.0340480809921,18.7120599063832,18.0759282266516,19.9776933378524,18.1209194591295,18.9513639922862,17.5482989899277,16.6617713338046,17.3040588507727,18.2629731403957,19.3024680983542,19.1060172105449,18.8642716473621,18.6792420536524,17.4228526492539,18.5811264224171,1.05131559864115,3.85955089702682e-08,7.06989207947707e-07
"Q96DZ1",2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9055623793417,15.1158815907036,15.1000505067617,17.4262461200449,19.0637952570821,-Inf,-Inf,-Inf,16.042474004699,14.2882651875104,-Inf,15.8758827585063,-Inf,18.6587323565144,-Inf,13.7036387838295,17.678095658347,-Inf,15.1167523457484,15.0684190570834,13.2105727605831,-Inf,-Inf,14.0434418501044,15.767154993942,-Inf,-Inf,-Inf,13.5557019446335,17.0031533227021,14.6574974123258,12.7336549785736,-Inf,14.2878546906705,-Inf,13.6803160417004,15.8111939898858,-Inf,-0.882113061278763,0.0173131354116265,0.0424770959502436
"O43488",2,3,3,4,2,2,5,2,2,3,2,3,1,2,3,3,3,3,NA,4,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,3,3,4,19.5654071104427,19.5310715988588,18.8881411034894,19.7702080241897,19.7529253139516,18.5150334876793,19.7697948061262,20.3920292252909,20.7818303647684,19.947337537734,20.0785552518614,19.7020581623938,19.3954651629725,19.5872126666194,20.2130329096559,19.6015125507052,21.3243966743113,19.8764258382574,18.7812355219766,19.762681533393,20.6745935396895,20.2500008357674,19.2955728449153,19.961265816748,18.8926549957447,20.1704928766927,19.6118456203866,19.6872852381003,20.2175634434481,18.3377358031332,17.7627723029598,19.2979439731571,19.9012676826982,19.8289047893426,19.9670665944461,19.7847860690775,19.3689043361423,19.0558716492774,0.352267750882021,0.000331220064664207,0.0015268799393489
"Q9UMS4",7,NA,5,3,5,NA,4,3,NA,NA,2,NA,6,NA,4,3,4,NA,7,3,7,3,5,NA,3,2,5,2,5,NA,5,3,5,2,5,1,5,4,18.6381593431657,19.2258660188947,19.0001852429547,19.7124798366838,20.8738031505155,17.1104027005738,16.8960062103845,18.4710799958537,19.016130333242,18.0246819333411,17.90286535456,18.7900075536428,19.2277553706571,20.1883165779165,18.4219296615205,17.9552429740784,20.1909855571207,16.1169300525144,18.3076906237255,18.7123123216542,18.8939080479197,18.4571316128251,18.3774988179292,18.7255427123073,18.4122481036921,17.7439511300869,18.3865420553593,17.0098303221156,18.6680104828927,19.9499459063321,18.1486060888932,17.0716083676657,17.7587605112781,17.9508145283394,18.1530656201534,18.0025251760043,18.0741222587558,17.2042607083218,-0.995546047504442,6.96812702994119e-13,9.5509794490394e-11
"Q9NQG5",3,2,1,NA,2,1,3,NA,3,1,NA,3,NA,NA,2,2,NA,NA,3,NA,2,NA,2,NA,NA,1,2,NA,4,NA,1,1,2,NA,NA,NA,NA,1,17.5964091848491,19.0096088738643,17.7508144920002,19.0598622135241,19.5795196882268,16.2830960889945,17.6173873803752,18.9198834185196,18.4277700731159,18.0185295255606,16.7845148447879,17.2252183095059,17.4867950643872,19.2550555125775,18.2416949158584,17.0821714610842,19.6623671629818,17.5470789928992,18.1979424689543,18.6382093544422,18.605934883355,17.4782751775169,17.4036299937256,18.1022595958152,17.6519225709072,17.4723526249502,17.869565379306,17.079711447272,17.7999337203141,18.8895777901593,15.8506137094153,17.0790718875539,18.0842505891763,16.5063662290647,16.8604785012943,17.3550964440168,17.3095782404645,16.887342641995,-0.229984987651792,0.0952826743362884,0.175224667652423
"P49589",NA,NA,1,1,1,2,NA,3,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,5,3,2,NA,NA,NA,3,3,4,NA,1,1,1,NA,4,2,3,2,18.8971041894797,18.0109446041866,17.8938574530934,18.0248977087734,18.4439222397185,16.3103054540317,15.7323036295211,16.4384192811644,16.9791269994857,17.3781184325101,17.606606521709,16.9190830789305,17.3747122788378,18.4689035709409,15.8185879113662,16.8304220585874,17.5732519292588,-Inf,18.0172862348686,17.0438171570094,18.0520468337716,17.8117317068291,17.8081175045508,17.6805614425816,17.1588317987534,17.7199648883426,18.3702260649882,16.8639251139995,18.2479724178279,15.0843231243822,16.2395645991115,16.6579043172118,16.7648690920194,17.423469384981,17.3579982651355,15.9073018732516,16.8246650774793,16.6092046004481,-0.180465911810522,0.090142778182363,0.167571023456545
