"","protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_1","abundance_control_1","abundance_hcc_2","abundance_control_2","abundance_hcc_3","abundance_control_3","abundance_hcc_4","abundance_control_4","abundance_hcc_5","abundance_control_5","abundance_hcc_6","abundance_control_6","abundance_hcc_7","abundance_control_7","abundance_hcc_8","abundance_control_8","abundance_hcc_9","abundance_control_9","abundance_hcc_10","abundance_control_10","abundance_hcc_11","abundance_control_11","abundance_hcc_12","abundance_control_12","abundance_hcc_13","abundance_control_13","abundance_hcc_14","abundance_control_14","abundance_hcc_15","abundance_control_15","abundance_hcc_16","abundance_control_16","abundance_hcc_17","abundance_control_17","abundance_hcc_18","abundance_control_18","abundance_hcc_19","abundance_control_19","log_ratios_control..vs.hcc.","differential_abundance_qvalue_control..vs.hcc."
"496","sp|P35558|PCKGC_HUMAN",1,3,2,7,1,4,2,3,5,4,9,4,3,4,1,6,3,4,1,7,3,2,2,6,1,4,3,2,1,2,1,7,1,6,2,4,NA,8,19.5591982849608,22.4990595011456,22.5426624372317,23.1228805899997,19.7049866543888,21.8134968430074,22.1525424849767,20.6923373164754,21.1829934887625,22.1876240668836,21.9639737925609,22.2347607239689,20.524251511659,22.1234612208784,21.8642982877465,22.5882396315472,21.2586541581974,22.1726081858215,17.9855635239745,23.3211872786296,21.1240406712871,21.5518413061227,21.4780342613428,22.6066207311261,19.6102356797481,22.6346605179107,21.8394598557988,22.3149304445799,20.5108050915416,21.4911547236241,19.4447312021822,22.4859790069154,19.3123674029207,22.6017784946265,20.934765643228,21.3741623267728,NA,22.5693403939095,1.50898390424958,3.06871339292569e-05
"497","sp|P61106|RAB14_HUMAN",6,2,5,7,14,5,2,4,1,1,8,1,6,5,2,1,7,1,4,7,5,5,3,3,4,6,3,6,7,3,4,1,1,2,2,4,6,5,23.0536954121957,20.6371764037767,22.2908930846538,21.9243342814441,23.9970321404879,20.8462599449085,21.9367193427633,20.3780656694696,20.6930807577905,19.3669651401566,22.020459989504,19.1988375325249,21.9512838255211,21.0006313821145,21.0437927843989,19.550875232122,21.4867648212111,19.3275926623499,22.5037591493249,21.9910021580956,21.4628786575615,21.2318140024221,21.0288264018169,21.0902332682315,21.7185204385569,21.7815062978353,20.6722809502523,21.8309418316203,21.8037312704302,20.4582678011531,20.3595637882518,20.3465273890836,20.9096114117079,21.0803296051247,20.7097928091834,20.2524818041922,22.2048367776044,21.2427916341094,-0.963731040656942,0.0186988360317859
"498","sp|P00387|NB5R3_HUMAN",10,1,4,9,13,5,7,4,6,1,7,NA,12,6,11,1,11,1,8,6,3,10,4,5,11,7,4,8,8,5,7,2,7,8,4,4,4,8,22.9934847965617,19.4453666393857,21.7112918110401,22.1076455521829,23.7519477077473,21.2321046846157,21.8104057128859,19.4452290932,20.7209424754731,18.3767079487179,21.204957191896,16.5423259224152,22.1195044521093,21.1324749406253,21.8076445117753,18.8693833465053,22.0436132527622,16.8040769342344,21.6859131954259,21.9365598553621,20.2584734472529,21.4247323196173,19.9864611424618,20.6640053679046,22.6620826710995,21.5973906283562,20.4581029256759,22.1618180113875,21.3549679049535,20.2168478150187,20.4357868526444,18.7635173275131,21.2560583462012,20.9044344245519,20.2125041034474,19.9652859898096,19.7706840542223,21.0962393371522,-1.23993054826737,0.03926858626163
"499","sp|P16930|FAAA_HUMAN",6,11,7,8,7,8,8,9,8,8,7,11,6,9,10,13,9,11,4,9,8,8,6,8,8,9,9,11,7,8,5,12,6,11,11,8,6,8,22.0899198165336,24.0068369389068,22.9319613797363,23.9511317222069,21.8977000746664,23.0943918463011,23.5648303896655,22.1180480505361,22.166889258778,23.213985836678,20.8106295891411,23.5894482797758,21.1457684612688,23.3611282974492,23.5513146878037,24.0723369201056,22.3032219358203,23.5746624685166,19.8385020681217,24.3592290432674,21.7507010579518,23.1054238843245,20.8992317040344,23.55369373734,22.2346708356487,23.3984556251082,23.1714549119857,23.8101178539985,21.93498784916,22.6217492938279,20.2871127700889,24.2205184119355,21.1846495894474,23.7613107854179,22.7141889096945,22.8264524768649,20.2343493842723,23.4973045247914,1.6539021749228,1.71174769166778e-08
"500","sp|Q06323|PSME1_HUMAN",9,11,9,9,4,8,11,9,7,11,7,12,11,8,9,9,10,10,5,10,7,7,7,8,8,10,9,9,10,11,10,10,8,9,8,8,8,8,22.2519134478961,23.2042314204453,22.4453953150827,22.4951012391834,22.1885488543972,21.2275295748424,23.477650323875,21.5765661140646,21.0757905323115,22.7286735030646,20.9287438943906,23.0229053570978,22.6571412379976,21.734171887724,22.8640815517913,22.6970005200033,21.7137061841015,22.4248029137235,20.8468146721673,22.6933040294754,22.3545898574295,21.4677530473014,20.9289347774613,22.1065464874221,21.9740723946997,22.5444773951819,22.0529751031914,22.0560411320476,22.3709403768222,21.9239925064633,22.0928577718299,22.5695935046876,21.4906248162205,21.877280294858,21.7194417783858,20.94138294718,22.0251377031482,21.9308189847208,0.198042750857247,0.270178649624341
"501","sp|P78417|GSTO1_HUMAN",7,10,10,9,8,11,11,9,9,10,3,8,9,7,11,10,11,11,8,9,6,9,7,9,7,10,9,9,8,9,4,9,5,9,9,8,6,10,22.1858164086626,24.3153920044833,23.9958723647131,23.9643566453498,23.9640593989062,23.4579196306912,24.5008049311809,22.3997488659006,23.0478343369709,23.5481611674505,21.6229889444428,23.3967162175531,23.1639387626315,23.4495722303377,23.7458370911404,23.9356750315393,23.4062971456352,23.5718139683659,22.2036353671414,24.2936101448209,21.9966832024185,23.2638959822434,22.1856370757479,23.514176233865,22.5762639326728,23.5773571374026,23.6520046496848,23.8942142005342,22.7325385449985,23.2531743301333,21.5410687211098,23.7432502343938,21.3885787574404,23.6986142776392,22.6494504778421,22.0577067132255,21.7770078365093,23.798846320463,0.7788359677128,7.27208251036401e-05
"502","sp|P08779|K1C16_HUMAN",10,NA,3,7,NA,NA,NA,1,4,NA,1,2,NA,1,NA,1,NA,NA,6,NA,2,1,NA,NA,1,NA,NA,1,NA,NA,NA,5,3,1,NA,1,NA,NA,22.0685024439698,18.2227304819272,20.7859553633019,20.9701945575469,18.6522189436093,17.6697773923732,19.4022362224268,16.9949131240128,20.1322406729266,18.0372570517477,19.1947607492781,19.8816745807451,18.2775665156553,19.3624599573659,18.6013040230531,18.534895915972,17.6895516313727,16.8241470459785,20.6761387293699,18.900083221528,18.9947561827287,18.7109060271141,16.7994584561935,17.1163888416773,18.7089504255003,16.9377528824689,17.6677701176626,18.8866743360119,16.9052957994378,16.7213121745575,16.0802008701687,20.3109727227142,20.4102877835719,19.2045654609518,19.0997678708842,17.5207207992988,18.1558523024906,18.0325788236062,-0.498042616105463,0.509385865838587
"503","sp|Q7Z6Z7|HUWE1_HUMAN",1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,4,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,5,NA,15.3931246204145,NA,14.6076978767167,NA,18.8030823626974,13.845674296426,16.5460247594653,NA,14.3852389041445,NA,15.7851137220145,NA,17.8296594423888,NA,16.6527354785984,NA,15.2064924388841,NA,15.3166234241007,16.2853722346543,18.8937798787981,15.3814533882973,NA,15.9392279553826,NA,NA,14.43199765535,13.5656935572901,15.8777476044258,14.3199267996156,NA,NA,16.0602927346195,14.7460586833865,13.9536690195304,NA,19.1351283842288,NA,-1.31084238842682,0.0421659275723609
"504","sp|P51857|AK1D1_HUMAN",5,7,5,9,2,6,2,4,8,9,2,7,2,7,7,8,7,8,2,12,2,9,2,12,2,9,7,7,3,7,3,12,2,12,10,9,NA,8,21.6566681673101,22.1268777372666,24.1401307760898,22.2300352458991,20.9474246127466,21.6678275026888,21.9956407978946,20.3006081140047,22.4887763273312,22.8226140069712,21.3357926804882,22.1533626118661,21.4141115055496,22.4272827886984,21.4627826987056,21.4648650316474,21.8858943441472,21.1407222911703,18.0550505339748,23.3984564079764,20.400706181344,22.094204808136,22.6209017278542,22.750508580264,21.992978863418,22.1189678374299,23.1807558406141,21.9458482438158,21.7080510835507,21.8297769218329,22.2436797031805,23.1133835432408,20.0910631016298,22.5402685414504,21.7125461016618,21.5852779970582,NA,22.2509214648872,0.473644527108626,0.181091635387595
"505","sp|P58876|H2B1D_HUMAN; sp|P62807|H2B1C_HUMAN; sp|Q5QNW6|H2B2F_HUMAN; sp|Q93079|H2B1H_HUMAN; sp|Q99877|H2B1N_HUMAN; sp|Q99879|H2B1M_HUMAN",4,3,2,2,3,3,5,2,5,4,3,5,3,3,3,3,6,4,8,6,4,3,4,5,2,2,3,3,6,3,2,3,3,2,3,4,3,5,26.0688866620565,25.0214212487352,23.7320479432258,24.0939065601811,26.1194265611522,23.152403533865,24.4185304057478,22.5345389434821,24.0616533370122,22.8091210360428,23.6243017273726,23.8530392722731,24.3365875982067,23.5304112191189,23.7343369914764,24.1563506896319,23.2220612430177,23.3794280790137,24.9301821948244,23.9069038038156,25.0825499451098,23.3618724446505,23.4346674192664,22.2871506899056,24.5680485361264,23.8101089279838,23.8794078765338,23.8044024496788,24.2375757042479,22.7232768042458,22.7086053740658,23.7279031134158,24.0942162469973,23.1164813524097,23.9061290847985,22.2520247975195,23.8491330350964,22.9876080366621,-0.815789204405452,0.00251204857765964
"506","sp|Q9NZ08|ERAP1_HUMAN",3,4,8,9,4,1,5,5,NA,NA,NA,NA,NA,NA,3,2,3,2,2,4,5,2,NA,NA,4,5,NA,3,6,3,2,NA,1,1,2,NA,1,2,20.87177911692,20.0629934282124,21.3922844017319,21.0091113578532,20.5682662652332,17.6792194671803,21.9643267648018,19.246391802989,17.2111166957199,NA,16.5663725069737,17.9628931819239,18.5255973875347,17.772212041699,19.5862503005616,19.6500819880409,19.7570154635083,18.9065277041856,18.8547495210722,20.572315114631,20.5934022934948,19.0667755679345,17.4430456766512,18.1929287663881,19.7630568139786,20.2192512544416,17.1350086073893,19.1500270828072,20.187977089856,19.6941968558753,17.9150566839918,15.1844484514876,18.1177526121191,18.3506629883723,18.2501004668335,15.9428791649315,18.8652514826773,19.525949068555,-0.346909187883686,0.79563443538419
"507","sp|P69849|NOMO3_HUMAN; sp|Q5JPE7|NOMO2_HUMAN",7,NA,3,2,7,3,4,NA,1,NA,2,NA,1,1,NA,NA,2,NA,1,1,3,2,3,NA,4,4,NA,2,5,NA,2,1,1,1,1,NA,2,NA,19.9732152814272,NA,19.6690627105175,18.4689092511625,21.3611213347348,18.5910521435126,20.8993095291287,14.8450087456237,17.0056881393479,15.8637064404028,18.868038430806,NA,17.4572303232703,17.5153634381427,17.830876070802,17.3417476140345,17.5837534377457,16.8839240853677,17.6185777139988,18.1469725773878,18.6172561265022,17.6447056363115,18.2819652429144,16.1398852487382,19.1445357943503,18.6753316845683,16.0381761083906,18.1581860493213,18.6185617272027,17.4915429524403,16.5362903258807,16.2060967056678,13.7870281501916,17.6971525362077,16.9808252750974,16.5834558249847,17.902184836637,17.3232453262496,-0.845211772630738,0.219323070721646
"508","sp|P48637|GSHB_HUMAN",5,7,5,3,2,5,8,4,8,6,1,8,1,3,9,9,2,8,4,3,5,3,3,8,5,5,7,2,3,6,4,6,2,7,4,4,7,3,20.2858345272883,20.6791020572805,20.3131540177421,20.6175245189496,20.9291883240927,19.6986348313323,21.5016772193591,18.7111160518621,21.2702924744816,20.2366556979851,18.7908412587213,20.7258285600413,18.2375141631237,19.1932966005874,20.6677455555503,20.8740339049019,18.8917764659964,20.6120447230106,19.6298456255577,20.6944668185017,19.8066835342804,19.3833261859303,18.6202501510579,20.3886663815105,20.3565101297566,19.9799376470213,20.9136450092598,20.1729009812917,18.871578436284,19.4044463304234,18.6564765737279,20.9044566667811,18.96541950721,20.8392931862649,19.3492150870743,19.2271124887589,20.4785780699108,19.6167312151514,0.285439406163742,0.253546203483625
"509","sp|P17858|PFKAL_HUMAN",6,1,3,5,7,3,5,4,5,3,2,2,3,2,4,2,3,2,3,7,4,3,3,4,4,3,4,4,4,5,2,4,2,3,7,3,4,4,20.6537285351126,18.5232902230041,20.7343819601074,20.8790913882292,21.8162154258564,19.6831525857594,21.4492874609274,18.9566038293436,20.4161166306842,18.8887656303291,18.495375029583,18.1671418315112,19.450380135427,19.3141860254078,20.6173442568556,18.3707727884813,19.1950131712175,17.830090174227,19.5394115923624,21.6675761123512,20.7187409575144,19.845421136598,19.1770414019685,20.5791707878201,20.4050246957671,20.4057708342067,19.9321514734704,20.5230057616497,19.3926009533591,20.0841500069493,17.9106830129506,20.0113948234533,19.299154770615,20.756486894738,20.5513975420194,19.1314681221112,19.4095568017246,20.2628998861986,-0.278061419218621,0.711462596503198
"510","sp|Q03252|LMNB2_HUMAN",7,5,NA,1,2,NA,2,1,NA,NA,1,6,NA,NA,1,2,1,NA,4,3,5,1,1,NA,NA,NA,NA,4,2,NA,NA,NA,5,NA,1,1,5,1,21.1025035845616,20.068564765422,18.2744009044901,18.458736015669,20.6064045349161,17.2802230596131,18.6442942150915,16.7463117165876,16.9733496087057,17.1632497782015,18.2209918697863,19.3289359084007,17.511245212663,17.4729121981538,18.3402100490279,18.6499179019495,18.1217191135739,16.8159379852698,19.4413882725194,19.4072130263818,19.3603654125998,18.1334272726758,17.7477657968872,17.3787856687765,17.4950437355724,17.2823882198942,17.0698663534418,19.3220555050158,18.5165439195919,15.5230307710692,16.4487166042047,17.8151883221595,20.224984823495,16.9852634847689,17.9101279173568,15.2371012614818,19.8951510763168,18.3504226141254,-0.762389869957157,0.196956499726826
"511","sp|Q7Z5P4|DHB13_HUMAN",NA,3,NA,12,NA,7,NA,3,5,4,NA,NA,NA,1,5,3,2,2,NA,6,NA,5,NA,8,NA,4,4,3,NA,8,NA,1,5,5,7,6,NA,1,NA,19.341191534625,18.2076164140466,23.4571026581996,16.8231915700836,21.6206948197674,NA,19.1224815830874,20.9048678583848,19.4371753820745,15.6856385264313,17.2831433503822,15.0793285222915,18.3631712054795,20.7795008577241,19.2458413705012,17.8360867943873,17.6937627861174,14.9769413048497,21.6893958515414,15.7938768366155,20.7999600101873,15.6359269491521,22.2767358326833,14.398030851225,20.5419605968848,19.9431649356743,19.6849273986796,NA,21.2763186815483,14.6771183934386,18.6495870776728,21.4509207523143,20.7530082751058,21.7650615546141,20.768564971566,NA,16.3770732373214,2.31769571595772,0.0179980218248448
"512","sp|P04275|VWF_HUMAN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,18.4557981354605,NA,16.988003492448,NA,17.5596260181974,16.0776106135061,16.0503022975481,14.6435123816339,17.6630063980339,16.422991455257,16.2833108623113,NA,15.4596672669048,NA,NA,16.1769943288031,14.5961955809673,NA,16.3460245453167,NA,NA,NA,NA,NA,NA,NA,15.7374147814392,17.0541584939599,14.899470219132,NA,NA,NA,21.0915033429345,NA,16.4008639301616,NA,16.8003281470339,NA,-0.662911903788657,0.328293840736204
"513","sp|Q9NTX5|ECHD1_HUMAN",3,4,3,3,1,5,2,2,3,4,3,5,NA,2,3,3,2,5,NA,4,NA,3,2,4,5,2,3,5,NA,3,4,5,NA,1,4,4,1,5,20.8143113812666,20.9173126196483,21.6644686606781,20.6383432111808,19.1290246400956,19.7818229371471,21.1163260327869,19.0561167183966,20.012743709256,20.018615012462,19.6339813257713,20.4389636386453,17.8692075274677,19.909514627795,19.6168631068658,21.1221066312366,19.7549430410443,21.129411477352,14.6639494110819,21.4429342601531,17.1932684422735,20.0086423322538,19.5544053481315,20.3699515146616,20.6734521825639,19.8678575774844,20.5383938070176,20.7524133159077,18.6743088712577,19.3664145357481,19.787719456879,20.9441112276011,18.7979074735016,19.4193482848562,20.087300810736,19.4788993255587,18.5062057544317,20.7089190548591,0.909627227360042,0.0454141446788506
"514","sp|P17655|CAN2_HUMAN",1,1,NA,1,5,NA,5,2,1,NA,2,NA,1,NA,6,NA,2,NA,NA,NA,3,2,NA,NA,3,NA,2,3,2,NA,1,1,4,2,1,NA,7,1,19.1330663089315,19.6151882275472,18.4913782641413,19.7474891544722,21.7241370196018,17.1573763463975,21.4039474196984,19.1705091777764,20.1904888963501,19.5318528258424,18.9229239751389,19.4373688299336,18.3801376095866,19.4330575283223,20.1878750288244,19.5157526511407,19.1643739076082,19.413668604234,18.5331536208293,18.6657430474165,19.8701908566965,19.4969988118055,17.2910662606266,19.3261034323808,19.5261442336431,19.3586348478986,19.3892399499363,20.511700302241,18.9197178901055,19.4777939524074,18.1518711313134,19.2462015744019,20.5333406648836,19.311839074737,19.4482627732811,17.8248156394974,21.2110368934001,19.5241893271926,-0.247687860471142,0.755132232773838
"515","sp|P56470|LEG4_HUMAN",8,3,6,5,4,1,NA,6,3,1,NA,NA,NA,1,8,6,6,7,NA,4,11,6,9,5,7,5,8,7,5,5,7,7,8,7,7,6,NA,NA,23.3943622062221,21.9042964173068,22.8982461711248,22.7550417941991,22.0390868869035,20.3620449398973,20.4800016230373,21.2956704382223,21.0737857677202,20.2754874273441,20.8907846232457,20.7935676859559,20.185106809441,20.3919014596308,22.6448913464939,22.3327542000726,21.9154665728144,22.2518874506376,19.6833072461608,22.1283409914277,24.2441255657387,21.842713069547,23.0768292944485,21.3569846355597,22.2551174868942,21.8747389178312,23.2823780836553,22.8473398405507,21.2177369147411,21.2454824925591,22.3518151516256,22.4924942885932,21.9846553971417,22.2215201565227,21.599407230986,21.2889084469893,21.0859132752505,21.4486452954982,-0.27332619501579,0.540357299248682
"516","sp|O43175|SERA_HUMAN",NA,8,NA,10,NA,8,2,7,3,7,NA,7,NA,7,7,6,7,7,10,8,2,8,3,8,NA,9,2,8,NA,10,6,9,4,9,NA,8,4,7,16.1368275423828,22.7405405672642,15.9398346842446,22.8319150923374,18.6667737867974,22.7350263565041,20.2255393158011,20.4364917052548,20.5300593141471,22.3747197983024,16.4185987820626,21.9480876205808,16.4470782204316,22.4843115555216,21.4051321121201,21.9171551580101,20.6526923681476,21.1219542867141,22.8917994603638,22.7252353915499,18.74443351501,22.4398684131041,19.2412229676223,22.7394288613695,17.154769266987,22.4005103651919,19.6040423397752,22.7622060191261,15.3132345126535,22.0640883281762,19.3181258439846,23.3746216395039,19.8459130363416,22.4151798079035,15.4322926433717,21.5619792831481,20.0847877863274,22.1478033271394,3.64041926727001,6.42855536121698e-09
"517","sp|P50416|CPT1A_HUMAN",8,NA,1,1,6,1,1,2,NA,1,4,NA,3,3,2,NA,4,NA,3,2,NA,2,8,1,NA,1,2,1,3,1,2,NA,2,1,3,2,1,2,21.6919198315824,16.2599951396691,19.4557666763453,19.1806996933199,21.9297521552977,18.9977779799338,20.4296515331273,18.6531203874938,18.7504393801507,17.0528798284087,19.9997276363248,16.8660011902388,19.8452339945696,20.1876596986368,19.0064089515491,17.7279306224013,19.7106352561653,17.1741230303457,19.480844189149,20.6418535277534,18.3274383501791,18.6971822374336,21.1433900653001,18.8921346649074,16.6182253181952,19.4717940318185,19.1858779392115,19.6640342311899,19.3690028737397,18.7972967851368,19.0570636240363,18.8332926633736,17.9711355941006,19.0367402474787,19.3956073494407,19.0251825041427,18.2359997525409,20.1668817521797,-0.751449487112794,0.186886197203838
"518","sp|P06133|UD2B4_HUMAN",10,1,14,13,NA,10,10,11,2,NA,3,NA,5,13,2,NA,13,NA,NA,11,10,10,5,7,NA,12,12,12,13,14,8,NA,6,12,8,9,NA,7,22.2882473736778,19.2921116559234,24.0658969677885,23.3549779902436,17.9626353245234,22.1179187327511,22.6231986501756,21.1968900871651,21.0243148873483,16.7945429139773,19.0732393918375,NA,19.8626427448951,23.4366523292559,18.9886517385284,17.4307945631401,21.862405520358,15.5750114935876,17.6268646617866,22.3515381825774,22.7267818306676,21.8558609915339,19.7166782983563,21.330041120258,17.3886982664182,22.3057316884378,23.5201725215939,23.2253160121001,22.3070786248856,22.5847353510857,20.7211169248185,18.0005703743263,21.0038064535537,22.1795419445548,21.13005973699,20.9735532131833,15.1324065458705,20.6308221266071,0.338150492076428,0.985908582809527
"519","sp|P48449|LSS_HUMAN",6,NA,3,4,5,6,2,3,5,NA,1,NA,3,2,4,NA,2,NA,NA,7,7,6,5,4,NA,7,9,7,1,4,5,3,5,NA,2,1,NA,4,20.7153056638852,18.2342141398655,20.1691249456637,20.1757484128194,21.6224391876138,20.6336198761524,20.5979464938127,18.5520996167578,20.599127848777,16.9856411782098,18.3860274557157,16.976386572398,19.0852095130951,20.4082637840979,20.483963466176,17.6818804170187,19.8588342549328,17.9909570756184,18.4529280400882,21.8914886420597,21.2553595672044,20.7370204514613,20.6388434245685,20.533900254669,17.0072919864343,20.6454524061008,22.2211081222152,21.5276990358215,18.2872149697802,19.6107770506427,19.7867735459814,19.7114355018318,19.5812090793337,18.0816492436248,18.9999956247547,19.3569691982849,18.3407612268404,20.3856920717206,-0.314135236195684,0.801482409346628
"520","sp|P20618|PSB1_HUMAN",7,4,2,5,7,3,5,2,4,7,3,4,7,3,5,5,5,5,3,5,4,4,1,5,2,2,5,1,2,2,3,7,2,4,2,5,5,3,20.5841764405561,20.9453831931695,20.3989071338497,20.7455470348945,21.4251380284539,19.6011717351298,21.6113563734215,18.58188738628,20.6086086868154,20.7024451759477,19.6705118963305,20.7747485560827,20.3732079429118,20.0449393576655,20.6328439207235,21.1305064641686,19.9972143717097,20.8992609387304,19.4120552392309,21.4777625889186,20.245110918175,19.7505346393412,18.7063691372308,20.7089847076883,19.1514606958028,20.5017033349151,20.7242481061966,20.4365190227632,18.7364187453088,19.9436916726598,18.4320185822346,21.0610949277891,18.7434349509862,20.1408562884565,19.0800288065267,20.0846288544664,20.7287829872954,20.4551251259281,0.459205160065005,0.0573442881034962
"521","sp|Q16762|THTR_HUMAN",9,11,11,10,8,7,6,6,9,9,8,10,7,7,12,10,10,8,5,9,9,8,8,9,7,9,9,9,8,10,6,8,7,9,9,8,2,10,22.7869519682129,23.4046505827492,25.1036758391412,23.0889229430115,23.4486602914367,22.5369486398596,24.0312682439344,21.7796733734109,23.7678673117238,22.7068979276237,21.9921087031487,23.2652149875969,22.8259065507001,22.0522385112533,23.8003845077457,23.7197620929208,22.1422356276296,23.40093492557,20.8517147338196,24.2881958267986,22.778348390014,23.0226791897327,22.8104214037128,23.5572631533778,21.9864139213452,23.4144091098225,23.6844926708167,23.4163004168908,21.904145527412,22.162918026567,21.129251568346,24.0357510538381,21.6209441123894,23.5232891508264,22.924750718754,23.0711433320738,19.2571786131671,23.0928753492655,0.562807783670484,0.0373811721451729
"522","sp|P54886|P5CS_HUMAN",6,NA,NA,NA,5,NA,NA,NA,NA,NA,7,NA,4,NA,2,NA,2,NA,11,1,1,NA,1,NA,NA,NA,1,NA,4,NA,2,1,NA,NA,1,NA,9,NA,20.7240119807325,18.7587034561323,17.7608386946739,17.3210610198047,20.9212410353746,NA,18.860263490162,16.8510457708866,18.0633968720158,17.9766122832981,20.8893115940207,17.5356506751999,19.7069768463905,18.1507789052604,18.6342395157551,17.2727919624242,19.0551700383658,17.6834517294084,20.9971843885804,18.3972604938343,18.4065417273037,17.665184332965,18.8347745217744,18.2758292370522,17.9176367559817,17.1890969677962,19.161232482256,17.3487766431544,18.9260815044454,14.2793972948015,17.5915349835375,19.737122081636,17.7874881228482,18.4019139682063,19.0328043052207,18.0999708716866,20.798557723725,14.1176991005036,-1.6580776883333,0.00316571282117584
"523","sp|Q9P2M7|CING_HUMAN",NA,2,1,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,2,1,NA,5,NA,2,2,NA,NA,NA,2,2,1,NA,NA,1,NA,NA,1,4,2,NA,1,16.8501967287869,18.5469347292381,18.2624408748214,18.4254779417761,19.7771682107485,18.2976709819428,19.127182153411,15.7905915899356,20.104591715536,18.2457299777326,18.1150239333032,17.5571154310833,16.0654321233921,18.0750020093509,17.9790068942589,18.8537379746503,18.3580607875637,17.4262920310527,20.3715683487118,19.2724096773753,19.9007326042665,18.4184013388737,15.9286088184466,NA,17.7278000964732,19.0759721347338,19.0667970850393,18.7821342945233,16.8786275257498,17.4161483270982,17.7044310812953,17.9504513270275,16.7494752138839,18.912492105471,19.3195001345046,18.7774532996838,NA,19.2564641308708,0.0441019429015053,0.868545516983017
"524","sp|P30048|PRDX3_HUMAN",7,8,10,7,11,8,10,7,11,9,8,9,10,6,9,8,9,10,9,10,6,10,9,10,7,8,8,5,7,5,7,10,4,9,8,10,6,7,23.3805325379148,24.3784930490079,24.4819146992143,23.6719737730102,24.3729774156608,23.2089962098015,24.0537684837424,21.8701098452413,23.725514482463,23.6609320857996,23.2225063184932,23.8417487958143,23.363119593052,23.2469707554851,23.2227340367082,23.7928041924488,23.4941915095181,23.6310928845489,22.649531611316,24.1304723713315,22.9251709303731,22.9603053190037,22.9005050550512,23.5052564697787,23.1895572023914,23.3519674282527,23.6773479129974,23.2951943952431,22.1147361787935,22.2824912072835,23.3764337148789,23.5679890231991,21.3228225401029,23.255627969487,22.8726157999476,22.7948513164775,22.5458527261633,23.3807294992265,0.154535465350464,0.321501990648125
"525","sp|Q8WVM8|SCFD1_HUMAN",5,4,2,2,4,2,3,2,2,3,2,2,6,2,4,1,4,1,1,4,9,2,1,1,2,2,4,1,7,2,5,3,4,1,2,1,2,2,19.5416026272273,19.1867355617122,19.4660447076681,17.7190259756996,20.8887630295831,16.5566142707031,20.3664094662235,16.4614687357473,18.8428858646797,17.617452255388,17.2114045844693,17.686911779999,19.7110282398873,17.8329348134411,19.3161717121306,18.0778283840853,18.2857338098711,16.9593152075013,18.5981419023084,20.0582041628035,20.744053339025,18.2421806355885,18.2122774545819,16.9668296343338,18.7979504918285,18.756072889183,19.488496996145,18.8775135810136,19.3382255044539,17.4602477387447,18.8707424792577,18.1670928167051,18.7185771903675,16.919806297652,18.1573686976123,16.957586139457,17.5598890148137,18.7211365469633,-1.20477945712697,0.00551217962450657
"526","sp|P39060|COIA1_HUMAN",5,5,9,6,7,NA,8,4,11,2,6,3,5,5,3,5,3,NA,1,2,10,5,6,4,8,3,6,4,3,1,7,6,7,2,9,3,4,4,22.1949066605553,20.4632529483987,23.0377342788526,20.638724909117,23.0415418514374,17.6694321635942,23.0369083921182,19.3581388692407,22.35451009302,18.0530695892427,20.9117221375521,18.4169244141522,20.7901267259961,20.1866544113464,19.8716798591,20.4888653079575,19.4702341016599,16.2053446279292,18.3649457633319,19.1802186221629,23.7554824649171,20.2891352119445,20.8790888597533,19.2643735977275,22.5372738635302,19.6588198937698,21.2200880782814,20.5232741976941,19.8872700816978,18.3401846604804,20.8336949377624,20.5335139114149,21.4253625476415,19.55887282997,22.8419614288568,18.79872175512,20.7519817103976,20.3374438754086,-2.06534463367317,4.15584449927457e-06
